0001;3;0;21.25
0005;7.1;100;10
0006;8.5;100;NA
0008;8.5;100;10
0009;7.725;95;10
0010;8.375;100;10
0017;7.05;100;10
0032;7.05;100;10
0034;6.9;100;10
0037;5.8;68;10
0038;6.825;100;18.25
0046;6.55;100;10
0052;7.525;100;10
0059;6.75;NA;13.25
0083;5.125;39;NA
0080;4.55;NA;25
0071;6.275;NA;NA
0100;6.125;98;10
0118;6.7;100;10
0153;7.6;100;10
0158;6.375;100;10
0159;8.5;NA;NA
0211;8.5;100;NA
0274;6.15;100;10
0283;6.6;100;10
0299;8.5;100;NA
0300;6.75;100;10
0302;5.25;48;NA
0304;6.525;100;10
0311;8.5;100;NA
0317;8.5;100;NA
0332;7.65;100;13.75
0342;7.475;100;13
0352;NA;79;40
0359;8.5;100;NA
0374;4.725;51;25.75
0392;7.975;0;NA
0419;6.425;100;10
0420;6.925;100;10
0423;6.65;100;12.5
0427;7.275;100;10
0429;8.5;100;NA
0446;5.075;50;20.25
0452;6.725;89;NA
3953;7.4;100;10
0463;7.9;100;10
0467;6.825;NA;NA
0531;5.15;40;10
9369;5.15;51;10.75
9411;3.25;0;26.75
0591;8.5;100;NA
0600;3;39;32.25
0599;3;0;40
0616;4.05;0;24.5
0634;8.5;100;10
0635;8.5;100;NA
0636;6.925;100;10
9412;6.35;70;10
0649;8;100;11.25
5001;6.525;100;12
0656;8.5;100;NA
0653;7.075;100;11.25
0682;6.025;67;17.5
0699;8.175;100;10.75
0716;7.25;100;10
0722;4.725;46;22.25
0727;7.375;100;NA
0732;6.475;100;NA
0749;3.275;10;32.5
0752;6.225;100;10
0771;7.6;100;NA
0778;6.45;100;12.75
0779;8.5;100;NA
0785;7.05;100;10
0801;5.875;NA;10
1412;6.8;100;10
0804;6.45;100;13.25
1411;6.675;100;13.25
0808;6.15;100;10
0830;8.5;100;10
0831;8.5;100;NA
0834;4.8;NA;37.75
0841;4.775;51;10
0855;6.725;100;NA
0930;5.575;NA;16.5
0861;5.45;NA;10
0920;7.675;100;NA
0873;7.45;100;10
0877;8.5;100;NA
0883;8.125;100;NA
0898;7.225;90;NA
