Donnee;Type;used Rap.Valid.;used Memento;used TS;Used Groupes_OCRE PRO & GP
ABG;Variable;;;;ONF_PRO
AFFROC;Donnée levée;;;;DSF_PRO
ANPYR;Donnée levée;;;;DSF+, DSF_PRO
ASPERITE_0X;Donnée calculée;;;;DRAAF_PRO, DSF_PRO, MAA-DGPE_PRO, GRAND_PUBLIC, DSF+, FIBOIS, ONF_DT
BILAN_F_FP;Variable virtuelle;;;;DRAAF_PRO, DSF_PRO, MAA-DGPE_PRO, ONF_PRO, FIBOIS
BILAN_F_FPHP;Variable virtuelle;;;;DRAAF_PRO, DSF_PRO, MAA-DGPE_PRO, ONF_PRO, FIBOIS
BILAN_F_P;Variable virtuelle;;;;DRAAF_PRO, DSF_PRO, MAA-DGPE_PRO, ONF_PRO, FIBOIS
BILANEW_FP;Variable virtuelle;;;;DRAAF_PRO, DSF_PRO, MAA-DGPE_PRO, ONF_PRO, GRAND_PUBLIC, FIBOIS, ONF_DT
BILANEW_FPHP;Variable virtuelle;;;;DRAAF_PRO, DSF_PRO, MAA-DGPE_PRO, ONF_PRO, GRAND_PUBLIC, FIBOIS, ONF_DT
BILANEW_P;Variable virtuelle;;;;DRAAF_PRO, DSF_PRO, MAA-DGPE_PRO, ONF_PRO, GRAND_PUBLIC, FIBOIS, ONF_DT
CAC;Donnée calculée;oui;;;DSF+, MAA-DGPE_PRO, ONF_PRO
CL_PENT2;Donnée calculée;;;oui;
CLAC;Donnée calculée;;;;DSF+, ONF_DT, ONF_PRO
CLAD;Donnée calculée;oui;oui;oui;DRAAF_PRO, DSF_PRO, MAA-DGPE_PRO, ONF_PRO, GRAND_PUBLIC, DSF+, FIBOIS, ONF_DT
CLALTI;Donnée calculée;oui;;oui;DRAAF_PRO, DSF_PRO, MAA-DGPE_PRO, ONF_PRO, GRAND_PUBLIC, DSF+, FIBOIS, ONF_DT
CLDM;Donnée calculée;oui;oui;oui;DRAAF_PRO, DSF_PRO, MAA-DGPE_PRO, GRAND_PUBLIC, DSF+, FIBOIS, ONF_DT
CLG_AM;Donnée calculée;;;;GRAND_PUBLIC
CLG_NM;Donnée calculée;oui;;;
CLPCALC;Donnée calculée;;;;DSF_PRO
CLPCALF;Donnée calculée;;;;DSF_PRO
CLPGLEY;Donnée calculée;;;;DSF_PRO
CLPOX;Donnée calculée;;;;DSF_PRO
CLPPSEUDO;Donnée calculée;;;;DSF_PRO
CODESP;Donnée levée;;oui;;
COMP_R;Donnée calculée;oui;oui;;DRAAF_PRO, DSF_PRO, MAA-DGPE_PRO, ONF_PRO, GRAND_PUBLIC, DSF+, FIBOIS, ONF_DT
COMP3;Donnée levée;;;;GRAND_PUBLIC
COMP3_R;Donnée calculée;oui;oui;oui;DRAAF_PRO, DSF_PRO, MAA-DGPE_PRO, ONF_PRO, GRAND_PUBLIC, MAA-SSP_PRO, DSF+, FIBOIS, ONF_DT
CSP1;Donnée calculée;;oui;;
CSP2;Donnée calculée;oui;;;DSF_PRO, MAA-DGPE_PRO, MAA-SSP_PRO
DATEMORT;Donnée levée;oui;oui;;DRAAF_PRO, DSF+, DSF_PRO, FIBOIS, GRAND_PUBLIC, MAA-DGPE_PRO, ONF_DT, ONF_PRO
DCA;Donnée calculée;oui;;;
DECOMP;Donnée levée;oui;oui;oui;DRAAF_PRO, DSF+, DSF_PRO, FIBOIS, GRAND_PUBLIC, MAA-DGPE_PRO, ONF_DT, ONF_PRO
DIST;Donnée levée;oui;;;DRAAF_PRO, DSF+, DSF_PRO, FIBOIS, GRAND_PUBLIC, MAA-DGPE_PRO, ONF_DT, ONF_PRO
DIV_R;Donnée calculée;oui;oui;oui;DRAAF_PRO, DSF_PRO, ONF_PRO, MAA-DGPE_PRO, GRAND_PUBLIC, DSF+, FIBOIS, ONF_DT
DPYR;Donnée levée;;;;DSF+, DSF_PRO
ESPAR;Donnée levée;;;;DSF+, DSF_PRO
ESS;Donnée levée;oui;oui;oui;DRAAF_PRO, DSF_PRO, ONF_PRO, MAA-DGPE_PRO, GRAND_PUBLIC, MAA-SSP_PRO, DSF+, FIBOIS, ONF_DT
ESS_AGE_1;Donnée calculée;;;;ONF_PRO, MAA-DGPE_PRO
ESSPRE;Donnée calculée;oui;oui;oui;DRAAF_PRO, DSF_PRO, ONF_PRO, MAA-DGPE_PRO, GRAND_PUBLIC, DSF+, FIBOIS, ONF_DT
ESSPRE_FR;Donnée calculée;;;;DRAAF_PRO, DSF_PRO, ONF_PRO, MAA-DGPE_PRO, DSF+, ONF_DT
EXP5;Donnée calculée;;;;DRAAF_PRO, DSF_PRO, MAA-DGPE_PRO
EXPL;Donnée calculée;oui;;oui;DRAAF_PRO, DSF_PRO, ONF_PRO, MAA-DGPE_PRO, GRAND_PUBLIC, DSF+, FIBOIS, ONF_DT
EXPN;Donnée calculée;;;;GRAND_PUBLIC
FR;Donnée calculée;;oui;;ONF_DT
GCHAB_AN;Variable;oui;;;
GEST;Donnée levée;;;;DSF+, DSF_PRO, FIBOIS, ONF+
GMORT_AN;Variable;oui;;;
GPR_AN_ACT;Variable;oui;;;
GRECO;Donnée géographique;oui;;oui;ONF_PRO, MAA-SSP_PRO, ONF_DT
GTOT;Variable;oui;;;DRAAF_PRO, DSF_PRO, ONF_PRO, MAA-DGPE_PRO, GRAND_PUBLIC, DSF+, FIBOIS, ONF_DT
HUMUS;Donnée levée;oui;;;DSF_PRO, ONF_PRO, MAA-DGPE_PRO, GRAND_PUBLIC, DSF+, FIBOIS, ONF_DT
HYDR;Donnée calculée;oui;;;DSF_PRO, MAA-DGPE_PRO, GRAND_PUBLIC, DSF+, FIBOIS, ONF_DT
INCID;Donnée levée;oui;;;
INDIC_ACID;Donnée calculée;;;;DSF_PRO
INDIC_CAIL;Donnée calculée;;;;DSF_PRO
INDIC_HYDRO;Donnée calculée;;;;DSF_PRO, MAA-DGPE_PRO
