"donnee";"codage";"operation";"famille";"année_début";"année_fin";"nb_unite"
ABG;"1";CC;INV_EXP_NM;2005;NULL;1
AFFROC;"1";LT;INV_EXP_NM;2005;NULL;1
ANPYR;"1";CT;INV_EXP_NM;2018;2022;1
ASPERITE_0X;"1";CC;INV_EXP_NM;2008;NULL;1
BILANEW_FP;"1";FO;NULL;NULL;NULL;1
BILANEW_FPHP;"1";FO;NULL;NULL;NULL;1
BILANEW_P;"1";FO;NULL;NULL;NULL;1
BILAN_F_FP;"1";FO;NULL;NULL;NULL;1
BILAN_F_FPHP;"1";FO;NULL;NULL;NULL;1
BILAN_F_P;"1";FO;NULL;NULL;NULL;1
CAC;"1";CC;INV_EXP_NM;2005;NULL;1
CLAC;"1";CC;INV_EXP_NM;2005;NULL;1
CLAD;"1";CC;INV_EXP_NM;2005;NULL;1
CLALTI;"1";CC;INV_EXP_NM;2005;NULL;1
CLDM;"1";CC;INV_EXP_NM;2008;NULL;1
CLG_AM;"1";DI;NULL;NULL;NULL;1
CLG_NM;"1";CC;INV_EXP_NM;2005;NULL;1
CLPCALC;"1";CC;INV_EXP_NM;2005;NULL;1
CLPCALF;"1";CC;INV_EXP_NM;2005;NULL;1
CL_PENT2;"1";CC;INV_EXP_NM;2005;NULL;1
CLPGLEY;"1";CC;INV_EXP_NM;2005;NULL;1
CLPOX;"1";CC;INV_EXP_NM;2005;NULL;1
CLPPSEUDO;"1";CC;INV_EXP_NM;2005;NULL;1
CODESP;"1";LT;INV_EXP_NM;2005;2013;1
COMP3;"1";LT;INV_EXP_NM;2005;2006;1
COMP3_R;"1";CC;INV_EXP_NM;2005;NULL;1
COMP_R;"1";CC;INV_EXP_NM;2005;NULL;1
CSP1;"1";CC;INV_EXP_NM;2005;NULL;1
CSP2;"1";CC;INV_EXP_NM;2005;NULL;1
DATEMORT;"1";LT;INV_EXP_NM;2008;NULL;1
DCA;"1";CC;INV_EXP_NM;2005;NULL;1
DECOMP;"1";LT;INV_EXP_NM;2008;NULL;1
DIST;"1";LT;INV_EXP_NM;2005;NULL;1
DIV_R;"1";CC;INV_EXP_NM;2005;NULL;1
DPYR;"1";LT;INV_EXP_NM;2018;2022;1
ESPAR;"0";LT;INV_EXP_NM;2005;2007;3
ESS;"1";LT;INV_EXP_NM;2005;2007;1
ESS_AGE_1;"1";CC;INV_EXP_NM;2005;NULL;1
ESSPRE;"1";LT;INV_EXP_NM;2005;NULL;1
ESSPRE_FR;"1";CC;INV_EXP_NM;2005;NULL;1
EXP5;"1";CC;INV_EXP_NM;2005;2014;1
EXPL;"1";CC;INV_EXP_NM;2008;NULL;1
EXPN;"1";CC;INV_EXP_NM;2005;2014;1
FR;"1";CC;INV_EXP_NM;2005;NULL;1
GCHAB_AN;"1";CC;INV_EXP_NM;2010;NULL;1
GEST;"1";LT;INV_EXP_NM;2008;NULL;1
GMORT_AN;"1";CC;INV_EXP_NM;2010;NULL;1
GPR_AN_ACT;"1";CC;INV_EXP_NM;2005;NULL;1
GRECO;"1";CC;INV_EXP_NM;2005;NULL;1
GTOT;"1";CC;INV_EXP_NM;2005;NULL;1
HUMUS;"0";LT;INV_EXP_NM;2005;NULL;2
HYDR;"1";CC;INV_EXP_NM;2005;NULL;1
INCID;"0";LT;INV_EXP_NM;2008;NULL;2
INDIC_ACID;"1";CC;INV_EXP_NM;2005;NULL;1
INDIC_CAIL;"1";CC;INV_EXP_NM;2005;NULL;1
INDIC_HYDRO;"1";CC;INV_EXP_NM;2005;NULL;1
INDIC_RAYO;"1";CC;INV_EXP_NM;2005;NULL;1
INDIC_TEXT;"1";CC;INV_EXP_NM;2005;NULL;1
INDIC_TOPO;"1";CC;INV_EXP_NM;2005;NULL;1
INSENSE;"1";CC;INV_EXP_NM;2005;NULL;1
INSENSE_CA;"1";CC;INV_EXP_NM;2005;NULL;1
INSENSE_K;"1";CC;INV_EXP_NM;2005;NULL;1
INSENSE_MG;"1";CC;INV_EXP_NM;2005;NULL;1
INSENSE_N;"1";CC;INV_EXP_NM;2005;NULL;1
INSENSE_P;"1";CC;INV_EXP_NM;2005;NULL;1
