npp,a,essence_fr,ess,espar,c13,r,v,v_amael,ratio,u_v0,u_v0_amael
18-27-121-1-074T,4,chene pedoncule,2,2,3.87,0,6.41939517570477,5.6251408424802,0.876272715499654,18.1706824028605,18.1706831921731
18-29-027-1-140T,11,chene pedoncule,2,2,3.9,0.8,1.14354145256654,1.01450788052497,0.887163187873977,16.1379430452077,16.1379422154715
18-35-068-1-119T,8,chene pedoncule,2,2,3.26,0,9.3787904444467,9.15446624554758,0.976081755933469,15.3080008616897,15.3080009509085
18-45-172-1-111T,1,chene pedoncule,2,2,3.903,0,8.31075045726819,7.39863812205987,0.890249100860605,19.3851333199178,19.3851323087363
18-51-214-1-055T,1,chene pedoncule,2,2,3.809,0,14.2523082526744,13.1308124093466,0.921311283516668,23.1584233441268,23.1584225660433
18-56-047-1-140T,4,chene pedoncule,2,2,4.5,0.3,5.30665434983122,4.4009012992549,0.829317496323248,20.8248136075398,20.8248134134429
18-56-047-1-140T,11,chene pedoncule,2,2,4.57,0.9,0.67311192869868,0.53025131438211,0.787760982645545,21.7264038783259,21.726402152042
18-64-156-1-277T,4,chene pedoncule,2,2,3.112,0,7.47842077388601,7.38955457223482,0.988116982938229,14.0371878127948,14.037188129593
18-67-278-1-051T,3,chene pedoncule,2,2,3.071,0,7.04343894595904,6.99871194265931,0.993649834456876,11.97190791709,11.9719070249554
18-67-281-1-044T,16,chene pedoncule,2,2,3.142,0,5.73043139115128,5.64841541582608,0.985687643786846,11.5737427970217,11.5737428841379
18-72-124-1-117T,3,chene pedoncule,2,2,3.571,0,11.001971375741,10.3896464953668,0.944344076214895,18.7705811005726,18.7705798017695
18-72-124-1-117T,8,chene pedoncule,2,2,3.355,0,10.7125614835373,10.3364786727576,0.964893288000484,17.895416520605,17.8954165640135
18-82-191-1-248T,13,chene pedoncule,2,2,3.033,0,5.99407032021207,5.9749774481105,0.996814706688177,11.2429107335475,11.2429107915304
18-85-091-1-182T,5,chene pedoncule,2,2,3.654,0,7.2177301353456,6.64941367640476,0.921261054613587,16.7826013846142,16.7826011155226
18-90-276-1-077T,3,chene pedoncule,2,2,3.075,0,8.42711902565101,8.36658741422138,0.992817045630259,14.0905021992892,14.0905015553289
18-10-205-1-092T,5,chene rouvre,3,3,3.135,0,5.15919816768294,5.01131808760097,0.971336615637623,13.9327373422394,13.9327372105398
18-18-179-1-124T,5,chene rouvre,3,3,3.11,0,5.31406267743924,5.18335485776723,0.975403410233205,14.6350552189798,14.6350561978906
18-37-133-1-138T,7,chene rouvre,3,3,3.134,0,4.69981368133254,4.59820966109091,0.978381266337176,11.1159387847176,11.1159385375279
18-41-155-1-124T,1,chene rouvre,3,3,3.147,0,5.96761143006356,5.8401051454935,0.978633614794738,12.0687891583786,12.068788791594
18-45-167-1-106T,2,chene rouvre,3,3,3.553,0,11.5145177606565,10.6506150566926,0.924972741201914,19.0741849582933,19.0741857743474
18-45-169-1-108T,2,chene rouvre,3,3,3.52,0,8.79613971129915,8.08632560740422,0.919303907487608,17.3829828977307,17.3829828224558
18-49-107-1-144T,4,chene rouvre,3,3,3.475,0,10.472598792096,9.80510952270907,0.936263263528179,17.5501614211823,17.5501623759657
18-57-240-1-043T,5,chene rouvre,3,3,3.116,0,8.46716981407646,8.3373751596772,0.984670833672961,14.0732065331875,14.0732073145943
18-85-112-1-177T,3,chene rouvre,3,3,3.217,0,6.81896718507215,6.63376138988872,0.97283961190063,12.1805101394367,12.1805103060974
18-2B-353-1-223T,3,chene vert,6,6,3.455,0.4,3.82010457570096,3.88633446101031,1.0173371916912,12.453124918534,12.4531254741075
18-15-203-1-190T,1,hetre,9,9,4.63,0,8.29826702387319,6.14708906529307,0.740767807014234,37.4710367195477,37.4710348844827
18-19-196-1-183T,8,hetre,9,9,3.072,0,7.45235067642583,7.39844938493857,0.992767209458115,17.2924192041372,17.2924191353271
18-19-196-1-183T,9,hetre,9,9,3.691,0.2,6.85029782064538,6.3419135747261,0.925786548376464,23.2124114275678,23.2124116494423
18-35-085-1-116T,2,hetre,9,9,3.025,0,9.02465965624605,9.00460159410745,0.9977774162237,18.1513028390298,18.1513015426341
18-64-134-1-295T,1,hetre,9,9,3.93,0,8.43924780552947,7.3726949343348,0.873619913080896,28.9922453260732,28.9922441876716
18-64-134-1-295T,2,hetre,9,9,3.08,0,4.75164996708456,4.70041686410999,0.989217828895336,15.2338378810269,15.2338390203813
18-74-271-1-140T,5,hetre,9,9,3.011,0,4.01090778629302,4.00399433581743,0.99827633771606,14.7723075334684,14.7723081916261
18-76-122-1-063T,3,hetre,9,9,3.16,0,7.38529248641222,7.27407630255236,0.984940855888311,16.5751641610653,16.5751632748991
18-76-123-1-058T,8,hetre,9,9,3.257,0,9.56535506878577,9.31486805906995,0.97381309863413,22.3612743898287,22.3612745552998
18-07-250-1-193T,5,chataignier,10,10,3.8,0.6,1.32366020158025,1.23310293453729,0.93158571441912,20.0163292923608,20.0163298336743
18-07-250-1-193T,9,chataignier,10,10,3.508,0,4.15611297830426,3.71761238372769,0.894492619217613,16.8482681332816,16.8482691991779
18-07-250-1-207T,11,chataignier,10,10,3.42,0.7,0.564798968420668,0.498083413583205,0.881877342970336,11.3935901649316,11.3935895832832
18-18-175-1-126T,2,chataignier,10,10,3.806,0,3.76242199238115,3.07709481670619,0.817849465832718,17.6680344982305,17.668034400545
18-19-182-1-195T,3,chataignier,10,10,3.13,0,1.45760168018289,1.40021083163165,0.960626521407388,9.24628234830806,9.24628151999039
18-19-187-1-194T,16,chataignier,10,10,3.383,0,2.89386381865299,2.59892686635454,0.898081951749983,15.1179745417321,15.1179754118191
18-2B-360-1-226T,3,chataignier,10,10,6.26,0.4,5.57420182610698,4.02287630542137,0.72169548769836,53.468915431772,53.4689107580797
18-2B-360-1-226T,5,chataignier,10,10,3.819,0,7.44959097550738,6.69719091444697,0.899001158112688,18.7079271927651,18.7079274459279
18-2B-360-1-226T,7,chataignier,10,10,8.696,0.2,16.1838516575426,8.79705700522313,0.543570046943874,105.033477978297,105.033474994722
18-2B-360-1-226T,10,chataignier,10,10,5.94,0.4,4.46766440924276,2.94761271067994,0.659765918089524,44.0108285651618,44.0108276114392
18-2B-360-1-228T,9,chataignier,10,10,5.27,0.7,2.70731947985904,1.68624260195486,0.62284581280472,34.4939589208595,34.4939593377597
18-2B-360-1-228T,11,chataignier,10,10,3.24,0.8,0.335848874173091,0.313370629754804,0.933070359477514,9.91516951718788,9.91516945024894
18-2B-361-1-229T,2,chataignier,10,10,3.226,0,2.60448870175326,2.44881756523697,0.940229674864209,13.4886514258368,13.4886506704127
18-2B-361-1-229T,21,chataignier,10,10,6.224,0.3,7.09471114312354,5.49026686293791,0.77385347369065,56.6055504169665,56.6055505038035
18-56-033-1-140T,5,chataignier,10,10,3.83,0.1,2.67493398046736,2.07345513292481,0.775142544849852,17.3760808426503,17.3760819261184
18-74-285-1-122T,2,chataignier,10,10,3.011,0,1.90557562087313,1.89977069444809,0.996953715002723,10.5199078163538,10.5199084468579
18-38-285-1-162T,4,grand erable,15,15S,3.45,0,4.55471834598376,4.35156396979204,0.955396939885239,17.0769188784864,17.0769185046021
18-01-248-1-141T,7,frene,17,17C,3.05,0,3.35079258745777,3.33539445005139,0.995404628306742,13.9423823831674,13.9423829497922
18-79-119-1-176T,4,frene,17,17C,3.05,0,6.00840953096561,5.96280716630419,0.992410243605,14.4624330118632,14.4624336978803
18-78-141-1-076T,8,saule,25,25B,4.74,0,5.14937755449487,4.44297808286463,0.86281847385348,31.0240279483809,31.0240312011122
18-52-223-1-072T,3,platane,26,26E,3.15,0,7.58289722950129,7.38335057642259,0.973684642289181,15.2490302746117,15.2490292984026
18-52-223-1-072T,5,platane,26,26E,3.807,0,13.8484061097638,12.0829823304249,0.872517908173259,25.4228173395455,25.4228184256429
18-26-266-1-199T,10,peuplier non cultive,33,33N,3.28,0,8.31887750102734,8.07028608954989,0.970117192920949,17.9240526790044,17.9240527676584
18-51-184-1-051T,12,peuplier non cultive,33,33G,3.857,0,13.8725708864854,12.6657516584442,0.913006807612217,27.0449382160349,27.0449362629393
18-67-282-1-035T,1,peuplier non cultive,33,33G,3.053,0,6.45411441234944,6.41878634189793,0.99452627143022,14.2731064424109,14.2731067063954
18-67-282-1-035T,5,peuplier non cultive,33,33G,3.016,0,6.61151535279327,6.59989127321911,0.998241843366628,14.7945641849957,14.7945640557758
18-34-245-1-252T,8,pin d'alep,57,57A,3.715,0,6.71590795416583,6.5812834917498,0.979954391374212,15.6317803664087,15.6317810408394
18-65-178-1-291T,11,sapin pectine,61,61,3.11,0,12.5638568286795,12.2433780574156,0.974492007061689,14.4974324036412,14.4974331789906
18-74-282-1-127T,5,sapin pectine,61,61,3.26,0,15.2545714076594,14.3780968905155,0.942543484590867,16.1790217968114,16.17902167242
18-88-266-1-067T,9,sapin pectine,61,61,3.102,0,11.9876851012975,11.708526531577,0.976712887654154,13.8788645929338,13.8788644210102
18-09-203-1-280T,1,epicea commun,62,62,3.219,0,7.14379946577842,6.72818321365352,0.941821399926486,8.64165961638532,8.64165973752724
