,"idp","annee"
"1",1059,2005
"2",1893,2005
"3",7047,2005
"4",9659,2005
"5",11636,2005
"6",12899,2005
"7",18495,2005
"8",29562,2005
"9",31082,2005
"10",34554,2005
"11",34796,2005
"12",39356,2005
"13",44465,2005
"14",47034,2005
"15",51637,2005
"16",51870,2005
"17",54447,2005
"18",101257,2006
"19",101394,2006
"20",102638,2006
"21",104277,2006
"22",106320,2006
"23",109526,2006
"24",111739,2006
"25",111939,2006
"26",114005,2006
"27",120398,2006
"28",121536,2006
"29",122589,2006
"30",124041,2006
"31",131746,2006
"32",131911,2006
"33",132368,2006
"34",139629,2006
"35",140357,2006
"36",141686,2006
"37",142807,2006
"38",143958,2006
"39",144756,2006
"40",145057,2006
"41",151386,2006
"42",152575,2006
"43",154654,2006
"44",200105,2007
"45",202132,2007
"46",202608,2007
"47",204464,2007
"48",207194,2007
"49",209715,2007
"50",210858,2007
"51",217613,2007
"52",217698,2007
"53",219853,2007
"54",222144,2007
"55",222301,2007
"56",223908,2007
"57",225891,2007
"58",228365,2007
"59",229458,2007
"60",233121,2007
"61",233840,2007
"62",235376,2007
"63",237826,2007
"64",239189,2007
"65",239585,2007
"66",240549,2007
"67",241642,2007
"68",244466,2007
"69",246455,2007
"70",247395,2007
"71",247840,2007
"72",253676,2007
"73",254397,2007
"74",254517,2007
"75",258556,2007
"76",262603,2007
"77",268437,2007
"78",268541,2007
"79",269389,2007
"80",270876,2007
"81",273507,2007
"82",274728,2007
"83",275502,2007
"84",276615,2007
"85",279655,2007
"86",300194,2008
"87",301736,2008
"88",304183,2008
"89",307148,2008
"90",313283,2008
"91",314575,2008
"92",315382,2008
"93",315511,2008
"94",322267,2008
"95",322673,2008
"96",331433,2008
"97",331880,2008
"98",334333,2008
"99",334441,2008
"100",335915,2008
"101",335972,2008
"102",340466,2008
"103",342619,2008
"104",343670,2008
"105",351595,2008
"106",357499,2008
"107",358785,2008
"108",361290,2008
"109",370048,2008
"110",373617,2008
"111",374323,2008
"112",376205,2008
"113",405932,2009
"114",409643,2009
"115",412267,2009
"116",432066,2009
"117",439253,2009
"118",444019,2009
"119",449629,2009
"120",449809,2009
"121",453853,2009
"122",465454,2009
"123",465556,2009
"124",472718,2009
"125",474957,2009
"126",477788,2009
"127",503345,2010
"128",503345,2015
"129",510968,2010
"130",510968,2015
"131",525050,2010
"132",533937,2010
"133",533937,2015
"134",534503,2010
"135",534503,2015
"136",541718,2010
"137",549553,2010
"138",549553,2015
"139",551306,2010
"140",551306,2015
"141",553853,2010
"142",553853,2015
"143",556749,2010
"144",556749,2015
"145",572560,2010
"146",572560,2015
"147",579668,2010
"148",579668,2015
"149",602338,2011
"150",615360,2011
"151",615360,2016
"152",632598,2011
"153",632598,2016
"154",635497,2011
"155",635497,2016
"156",635685,2011
"157",635685,2016
"158",642810,2011
"159",642810,2016
"160",675782,2011
"161",680782,2011
"162",680782,2016
"163",702106,2012
"164",703483,2012
"165",703483,2017
"166",708623,2012
"167",708623,2017
"168",709223,2012
"169",709223,2017
"170",717000,2012
"171",725509,2012
"172",726443,2012
"173",726443,2017
"174",727459,2012
"175",727459,2017
"176",733326,2012
"177",733326,2017
"178",735726,2012
"179",735726,2017
"180",737430,2012
"181",738495,2012
"182",760427,2012
"183",765673,2012
"184",765673,2017
"185",767290,2012
"186",767290,2017
"187",771211,2012
"188",771211,2017
"189",774945,2012
"190",774945,2017
"191",777202,2012
"192",777202,2017
"193",778197,2012
"194",778197,2017
"195",849304,2013
"196",849304,2018
"197",849386,2013
"198",855289,2013
"199",855289,2018
"200",867623,2013
"201",874375,2013
"202",874375,2018
"203",900513,2014
"204",913213,2014
"205",928522,2014
"206",928522,2019
"207",938299,2014
"208",938299,2019
"209",940715,2014
"210",949661,2014
"211",950070,2014
"212",950070,2019
"213",950156,2014
"214",950771,2014
"215",954641,2014
"216",960255,2014
"217",964279,2014
"218",964279,2019
"219",972710,2014
"220",972710,2019
"221",979599,2014
"222",979599,2019
"223",1001622,2015
"224",1005417,2015
"225",1006129,2015
"226",1006193,2015
"227",1006193,2020
"228",1006752,2015
"229",1008544,2015
"230",1008544,2020
"231",1010829,2015
"232",1010974,2015
"233",1010974,2020
"234",1011149,2015
"235",1016494,2015
"236",1016494,2020
"237",1017041,2015
"238",1017162,2015
"239",1017162,2020
"240",1019662,2015
"241",1021261,2015
"242",1022273,2015
"243",1022273,2020
"244",1022406,2015
"245",1022406,2020
"246",1022614,2015
"247",1023995,2015
"248",1025124,2015
"249",1025124,2020
"250",1027777,2015
"251",1027777,2020
"252",1028281,2015
"253",1100152,2016
"254",1101654,2016
"255",1101744,2016
"256",1101814,2016
"257",1101997,2016
"258",1102946,2016
"259",1107099,2016
"260",1111341,2016
"261",1111970,2016
"262",1114984,2016
"263",1115074,2016
"264",1115792,2016
"265",1116013,2016
"266",1116122,2016
"267",1118553,2016
"268",1120022,2016
"269",1121683,2016
"270",1121749,2016
