"lib_ess";"ess";"pro_2015";"cld5";"tau_k";"seuil"
"Chêne pédonculé";"02";"1";10;0.95;75
"Chêne pédonculé";"02";"1";15;0.999081704322057;75
"Chêne pédonculé";"02";"1";20;0.950395933356393;75
"Chêne pédonculé";"02";"1";25;0.9724914160398;75
"Chêne pédonculé";"02";"1";30;0.954177910937349;75
"Chêne pédonculé";"02";"1";40;1.00523873701124;75
"Chêne pédonculé";"02";"1";45;0.991588244374665;75
"Chêne pédonculé";"02";"1";55;0.999961309757934;75
"Chêne pédonculé";"02";"1";60;1.00470401565218;75
"Chêne pédonculé";"02";"1";65;1.01798856346483;75
"Chêne pédonculé";"02";"1";70;0.978592220942289;75
"Chêne pédonculé";"02";"2";10;1.0057189020019;75
"Chêne pédonculé";"02";"2";15;0.99677792274114;75
"Chêne pédonculé";"02";"2";25;0.990349604199579;75
"Chêne pédonculé";"02";"2";40;0.999355049519498;75
"Chêne pédonculé";"02";"2";45;0.985305743026974;75
"Chêne pédonculé";"02";"2";65;1.01517941174212;75
"Chêne pédonculé";"02";"3";10;1.00775768885888;75
"Chêne pédonculé";"02";"3";15;1.00151036160281;75
"Chêne pédonculé";"02";"3";20;1.00745504946044;75
"Chêne pédonculé";"02";"3";25;0.998860700547212;75
"Chêne pédonculé";"02";"3";30;0.999836272837949;75
"Chêne pédonculé";"02";"3";35;0.999054668397517;75
"Chêne pédonculé";"02";"3";40;1.00017495631975;75
"Chêne pédonculé";"02";"3";45;0.998219703515842;75
"Chêne pédonculé";"02";"3";50;0.997501589810375;75
"Chêne pédonculé";"02";"3";55;0.995809813812801;75
"Chêne pédonculé";"02";"3";60;1.00657281833414;75
"Chêne pédonculé";"02";"3";65;1.00112992643446;75
"Chêne pédonculé";"02";"3";70;1.00188493532113;75
"Chêne rouvre";"03";"1";10;1.01553169727168;85
"Chêne rouvre";"03";"1";15;0.994346147561838;85
"Chêne rouvre";"03";"1";20;0.992571423688101;85
"Chêne rouvre";"03";"1";40;1.00198327739593;85
"Chêne rouvre";"03";"1";45;1.00049802161861;85
"Chêne rouvre";"03";"1";50;0.996349308045747;85
"Chêne rouvre";"03";"1";55;1.00375663438533;85
"Chêne rouvre";"03";"1";60;0.987251459980331;85
"Chêne rouvre";"03";"1";65;0.9914775457351;85
"Chêne rouvre";"03";"1";80;0.998895331636089;85
"Chêne rouvre";"03";"2";10;0.975497636768572;85
"Chêne rouvre";"03";"2";15;0.994710724464836;85
"Chêne rouvre";"03";"2";20;0.959548352320419;85
"Chêne rouvre";"03";"2";25;0.995077463565806;85
"Chêne rouvre";"03";"2";30;0.998233763634851;85
"Chêne rouvre";"03";"2";40;0.99333928996941;85
"Chêne rouvre";"03";"2";45;1.00038946531532;85
"Chêne rouvre";"03";"2";50;0.997426305090266;85
"Chêne rouvre";"03";"2";55;0.99810363188732;85
"Chêne rouvre";"03";"2";60;1.0017916988279;85
"Chêne rouvre";"03";"2";65;0.999283409458787;85
"Chêne rouvre";"03";"2";70;0.998485600669597;85
"Chêne rouvre";"03";"2";75;1.00322508451326;85
"Chêne rouvre";"03";"3";10;0.993145635445101;85
"Chêne rouvre";"03";"3";15;1.00125129835134;85
"Chêne rouvre";"03";"3";20;0.995423745983839;85
"Chêne rouvre";"03";"3";25;1.00170553540955;85
"Chêne rouvre";"03";"3";30;1.00306819352629;85
"Chêne rouvre";"03";"3";35;0.999090256664075;85
"Chêne rouvre";"03";"3";40;0.995094473459064;85
"Chêne rouvre";"03";"3";45;0.99649901356667;85
"Chêne rouvre";"03";"3";50;0.996485005195845;85
"Chêne rouvre";"03";"3";55;1.0005539535683;85
"Chêne rouvre";"03";"3";60;0.993340462771196;85
"Chêne rouvre";"03";"3";65;0.985308554700565;85
"Chêne rouvre";"03";"3";70;1.00102226287391;85
"Chêne rouvre";"03";"3";75;0.995479820321605;85
"Chêne rouge d'Amérique";"04";"1";15;1.02569545902018;40
"Chêne rouge d'Amérique";"04";"1";20;0.966983634205493;40
"Chêne rouge d'Amérique";"04";"1";30;1.05;40
"Chêne pubescent";"05";"2";10;0.997929856209546;50
"Chêne pubescent";"05";"2";15;1.00787678523352;50
"Chêne pubescent";"05";"2";20;1.00439901347185;50
"Chêne pubescent";"05";"2";25;0.995901850822888;50
"Chêne pubescent";"05";"3";10;0.997423928699057;50
"Chêne pubescent";"05";"3";15;1.00141989173172;50
"Chêne pubescent";"05";"3";20;0.999477223257273;50
"Chêne pubescent";"05";"3";25;0.996461242658473;50
"Chêne pubescent";"05";"3";30;0.998502058150702;50
"Chêne pubescent";"05";"3";35;0.99111553988505;50
"Chêne pubescent";"05";"3";40;0.990217908782305;50
"Chêne pubescent";"05";"3";45;0.989844060965731;50
"Chêne vert";"06";"2";10;1.00397281468565;25
"Chêne vert";"06";"2";15;1.01971923148668;25
"Chêne vert";"06";"3";10;0.999382718520612;25
"Chêne vert";"06";"3";15;0.998814261643354;25
"Chêne vert";"06";"3";20;1.00011687878314;25
"Chêne tauzin";"07";"3";10;0.993140815697269;40
"Chêne tauzin";"07";"3";25;0.998431259707821;40
"Chêne tauzin";"07";"3";30;1.01240091005073;40
"Chêne tauzin";"07";"3";35;1.00333949446949;40
"Hêtre";"09";"1";10;0.995018049339018;75
"Hêtre";"09";"1";15;0.991235595098841;75
"Hêtre";"09";"1";20;0.965650635342723;75
"Hêtre";"09";"1";25;0.993760723875874;75
"Hêtre";"09";"1";30;1.00718291795173;75
"Hêtre";"09";"1";35;1.00733511382946;75
"Hêtre";"09";"1";40;0.987896407414004;75
"Hêtre";"09";"1";45;1.00161438390215;75
"Hêtre";"09";"1";50;0.975492390821566;75
"Hêtre";"09";"1";55;0.998680687609937;75
"Hêtre";"09";"1";60;0.993317007456728;75
"Hêtre";"09";"1";65;0.973615251819808;75
"Hêtre";"09";"1";70;0.967715211144148;75
"Hêtre";"09";"2";10;1.00088803931084;75
"Hêtre";"09";"2";15;0.992916640240321;75
"Hêtre";"09";"2";20;0.995510821537243;75
"Hêtre";"09";"2";25;0.998386234605416;75
"Hêtre";"09";"2";30;0.992899493592661;75
"Hêtre";"09";"2";35;0.995209888586756;75
"Hêtre";"09";"2";40;1.00274090453361;75
"Hêtre";"09";"2";45;0.994832283763253;75
"Hêtre";"09";"2";50;0.996453841626819;75
"Hêtre";"09";"2";55;0.997438308123646;75
"Hêtre";"09";"2";60;0.984453779155653;75
"Hêtre";"09";"2";65;0.972718251420985;75
"Hêtre";"09";"2";70;0.95;75
"Hêtre";"09";"3";10;1.00006216070994;75
"Hêtre";"09";"3";15;1.002386681256;75
"Hêtre";"09";"3";20;0.997969043608138;75
"Hêtre";"09";"3";25;0.993979922703003;75
"Hêtre";"09";"3";30;0.988412519580247;75
"Hêtre";"09";"3";35;0.987818862602404;75
"Hêtre";"09";"3";40;1.00207382381712;75
"Hêtre";"09";"3";45;1.00182653378231;75
"Hêtre";"09";"3";50;0.9919997184344;75
"Hêtre";"09";"3";55;1.01054320656144;75
"Hêtre";"09";"3";60;1.00023698921773;75
"Hêtre";"09";"3";70;0.998763682210011;75
"Châtaignier";"10";"1";10;0.95;50
"Châtaignier";"10";"1";15;0.95;50
"Châtaignier";"10";"1";20;1.00096204923393;50
"Châtaignier";"10";"1";30;0.95;50
"Châtaignier";"10";"2";10;1.01281264374363;50
"Châtaignier";"10";"2";25;0.966759662991471;50
"Châtaignier";"10";"2";30;1.00371418898022;50
"Châtaignier";"10";"2";40;0.95;50
"Châtaignier";"10";"3";10;1.00401211732;50
"Châtaignier";"10";"3";15;1.00473938226153;50
"Châtaignier";"10";"3";20;1.00738948116082;50
"Châtaignier";"10";"3";25;0.996368148950581;50
"Châtaignier";"10";"3";30;1.00071827104328;50
"Châtaignier";"10";"3";35;1.00248351033033;50
"Châtaignier";"10";"3";40;1.00545907704432;50
"Châtaignier";"10";"3";45;1.0049345999834;50
"Charme";"11";"1";10;1.00424177062399;50
"Charme";"11";"1";15;0.993488673851673;50
"Charme";"11";"1";20;1.01723921455649;50
"Charme";"11";"1";25;1.00749426940284;50
"Charme";"11";"1";30;1.01434870029295;50
"Charme";"11";"1";35;0.986160250515988;50
"Charme";"11";"1";40;0.959354980167872;50
"Charme";"11";"1";45;0.970069058511271;50
"Charme";"11";"2";10;0.985331417690075;50
"Charme";"11";"2";15;1.00738401337249;50
"Charme";"11";"2";20;1.00435024646425;50
"Charme";"11";"2";25;1.01492893729101;50
"Charme";"11";"2";30;1.00219235793822;50
"Charme";"11";"2";35;1.02378532643899;50
"Charme";"11";"2";40;0.991398002967452;50
"Charme";"11";"2";45;0.982947623680282;50
"Charme";"11";"3";10;1.00465872243453;50
"Charme";"11";"3";15;1.00037329923083;50
"Charme";"11";"3";20;1.00175539511664;50
"Charme";"11";"3";25;0.996983740519943;50
"Charme";"11";"3";30;0.996656688362839;50
"Charme";"11";"3";35;0.992055197886817;50
"Charme";"11";"3";40;1.00034773272516;50
"Charme";"11";"3";45;0.994577323172175;50
"Bouleau";"12";"1";10;1.00030066221166;55
"Bouleau";"12";"1";20;1.00142458799981;55
"Bouleau";"12";"1";25;1.05;55
"Bouleau";"12";"1";30;1.05;55
"Bouleau";"12";"2";10;0.980286885895256;55
"Bouleau";"12";"2";15;0.971775259160826;55
"Bouleau";"12";"2";25;1.00175793497563;55
"Bouleau";"12";"2";30;0.964919308678382;55
"Bouleau";"12";"3";10;0.986347789299353;55
"Bouleau";"12";"3";15;0.9682360514615;55
"Bouleau";"12";"3";20;0.993149838093834;55
"Bouleau";"12";"3";25;1.00074816630217;55
"Bouleau";"12";"3";30;0.993725812063264;55
"Bouleau";"12";"3";35;0.988947477330948;55
"Bouleau";"12";"3";40;0.987127137571004;55
"Bouleau";"12";"3";45;0.983080066740233;55
"Bouleau";"12";"3";50;0.958776378936074;55
"Grand aulne";"13";"1";10;1.01531678196094;40
"Grand aulne";"13";"3";10;1.0005474742387;40
"Grand aulne";"13";"3";15;0.99630608949514;40
"Grand aulne";"13";"3";20;0.97990983904455;40
"Grand aulne";"13";"3";25;0.985505406171825;40
"Grand aulne";"13";"3";30;1.01037585820067;40
