OBJECTID,DEP,DEPB,CYCCARTE,TFIFN,FAO2,NUM_DEP,ZPOPCODE,CODE_ONF,FREQUENCY,SUM_Shape_Area
1,01,01,3,00,0,01,1,,6,2822927608.586955500000000
2,01,01,3,00,0,01,1,1O,1,523707.670462230980000
3,01,01,3,00,0,01,1,2M,1,14459352.644668402000000
4,01,01,3,00,0,01,1,2O,2,19794633.931687929000000
5,01,01,3,00,0,01,2,,6,1030747706.069594000000000
6,01,01,3,00,0,01,2,1O,1,26596.948695130865000
7,01,01,3,00,0,01,2,2M,1,692761.430283643770000
8,01,01,3,00,0,01,2,2O,2,1597120.269397488100000
9,01,01,3,CVM,1,01,1,,2,6985176.690558835900000
10,01,01,3,CVM,1,01,1,2O,1,16961666.159177437000000
11,01,01,3,CWG,1,01,1,,2,62450211.769983217000000
12,01,01,3,CWG,1,01,1,1O,1,8582143.844137197400000
13,01,01,3,CWG,1,01,1,2O,2,97173973.901156560000000
14,01,01,3,CWG,1,01,2,,1,586140.549621794260000
15,01,01,3,CWJ,1,01,1,,2,36070507.390929468000000
16,01,01,3,CWJ,1,01,1,1O,1,1107091.002369578900000
17,01,01,3,CWJ,1,01,1,2O,2,32514650.181172155000000
18,01,01,3,CWJ,1,01,2,,1,2428881.143193249100000
19,01,01,3,CWJ,1,01,2,2O,1,573778.939242258780000
20,01,01,3,FW,1,01,1,,2,107105253.279670610000000
21,01,01,3,FW,1,01,1,1O,1,7563778.728021135600000
22,01,01,3,FW,1,01,1,2O,2,161765431.396198990000000
23,01,01,3,FW,1,01,2,,1,165536.961789029130000
24,01,01,3,FW,1,01,2,2O,1,628921.624498401880000
25,01,01,3,HA,1,01,1,,3,119843359.623088050000000
26,01,01,3,HA,1,01,1,1O,1,7056440.685048701200000
27,01,01,3,HA,1,01,1,2M,1,470045.406250000000000
28,01,01,3,HA,1,01,1,2O,2,13149182.693180276000000
29,01,01,3,HA,1,01,2,,2,41685132.750054814000000
30,01,01,3,HA,1,01,2,1O,1,3205163.668179419800000
31,01,01,3,HA,1,01,2,2O,1,4835382.503029789800000
32,01,01,3,HH,1,01,1,,2,108120254.858602580000000
33,01,01,3,HH,1,01,1,1O,1,2228466.360010644400000
34,01,01,3,HH,1,01,1,2O,1,65705127.566723689000000
35,01,01,3,HH,1,01,2,,1,162788.525166278650000
36,01,01,3,HH,1,01,2,2O,1,513276.946177573230000
37,01,01,3,HIM,1,01,1,,2,121607550.284034860000000
38,01,01,3,HIM,1,01,1,1O,1,157739.464260823970000
39,01,01,3,HIM,1,01,1,2O,2,92907592.412981033000000
40,01,01,3,HIM,1,01,2,,1,7604982.915972136000000
41,01,01,3,HIM,1,01,2,2O,1,2511693.289407367800000
42,01,01,3,LF,1,01,1,,2,50114153.331541799000000
43,01,01,3,LF,1,01,1,1O,1,24246.032699354662000
44,01,01,3,LF,1,01,1,2O,1,1063250.898070363300000
45,01,01,3,LF,1,01,2,,2,20679939.655360576000000
46,01,01,3,LF,1,01,2,2O,1,580926.726828464420000
47,01,01,3,MP,1,01,1,,2,40232957.738953084000000
48,01,01,3,MP,1,01,1,1O,1,381781.290601691350000
49,01,01,3,MP,1,01,1,2O,2,23032941.651863754000000
50,01,01,3,MP,1,01,2,,1,3970187.057202821600000
51,01,01,3,MP,1,01,2,2O,1,455853.703383842480000
52,01,01,3,P5,5,01,2,,3,21275635.208004314000000
53,01,01,3,P5,5,01,2,1O,1,886.090422656792840
54,01,01,3,P5,5,01,2,2O,1,1516794.913305257700000
55,01,01,3,QB,1,01,1,,2,119974596.842219870000000
56,01,01,3,QB,1,01,1,1O,1,828909.459702044030000
57,01,01,3,QB,1,01,1,2O,2,78050528.716191098000000
58,01,01,3,QB,1,01,2,,1,22090483.780178979000000
