npp	a	pds	w	wac
17-01-254-1-149T	1	1	88,414324297405	88,414324297405
17-01-254-1-149T	2	1	88,412347856131	88,412347856131
17-02-184-1-026T	1	1	88,4154621923876	88,4154621923876
17-07-250-1-200T	1	1	88,414810256844	88,414810256844
17-07-250-1-200T	2	1	88,4151424441735	88,4151424441735
17-07-250-1-200T	3	1	88,4149112191335	88,4149112191335
17-07-250-1-200T	4	1	88,4141085659714	88,4141085659714
17-07-250-1-200T	5	1	88,4119654918474	88,4119654918474
17-07-250-1-200T	6	1	88,4149779053809	88,4149779053809
17-10-187-1-080T	1	1	14,1318367506437	14,1318367506437
17-11-224-1-266T	1	1	88,4133182439772	88,4133182439772
17-11-224-1-266T	2	1	88,415077001828	88,415077001828
17-11-224-1-266T	3	1	88,4156174017416	88,4156174017416
17-12-202-1-218T	1	1,00008427496768	39,2886403719144	44,8726031024211
17-12-202-1-218T	2	1	39,2887647885549	44,8765268511331
17-12-202-1-218T	3	1,00126415704763	39,3364179496447	44,8742293097446
17-12-202-1-218T	4	1,02193160372176	40,1528831075167	44,8792682565676
17-12-202-1-218T	5	1,18243702243494	46,4582248795259	44,8782026782625
17-12-202-1-218T	6	2,37566984823033	33,6033784424642	21,6088828940005
17-12-202-1-218T	7	2,01326391789332	28,4756196703346	21,6076696859012
17-12-202-1-218T	8	1,09338712187904	96,6645349215894	88,9391922537075
17-12-202-1-218T	9	1,08118955079752	95,5788962751874	88,9324262244817
17-12-202-1-218T	10	1,23069683369434	48,3521202502952	44,8761201764676
17-12-202-1-218T	11	1,42121026561034	20,1005406003599	21,606521824456
17-12-202-1-218T	12	1,20580255495491	17,0550705299922	21,6079108106703
17-12-202-1-218T	13	1,00911167137218	39,64017152812	44,8690793702574
17-13-276-1-224T	1	1	88,3920741109082	88,3920741109082
17-13-276-1-224T	2	1	88,4107114945663	88,4107114945663
17-17-140-1-218T	1	1	88,4143598173008	88,4143598173008
17-17-140-1-218T	2	1	88,414810256844	88,414810256844
17-17-140-1-218T	3	1	88,410618192619	88,410618192619
17-17-140-1-218T	4	1	88,4138139586554	88,4138139586554
17-17-140-1-218T	5	1	88,408750951055	88,408750951055
17-17-140-1-218T	6	1	88,4126382860034	88,4126382860034
17-17-140-1-218T	7	1	88,4136636698686	88,4136636698686
17-17-140-1-218T	8	1	88,4119223851005	88,4119223851005
17-17-140-1-218T	9	1	88,4143598173008	88,4143598173008
17-17-140-1-218T	10	1	88,4153357858133	88,4153357858133
17-17-140-1-218T	11	1	88,4130823631257	88,4130823631257
17-17-140-1-218T	12	1	88,4137765730278	88,4137765730278
17-17-140-1-218T	13	1	88,4147763539705	88,4147763539705
17-17-140-1-218T	14	1	88,4158592681458	88,4158592681458
17-19-190-1-210T	1	1	88,3936181331783	88,3936181331783
17-19-190-1-210T	2	1	88,4137765730278	88,4137765730278
17-19-190-1-210T	3	1	88,3929734834872	88,3929734834872
17-21-216-1-104T	1	1,80594964090248	159,647150225251	168,694823124712
17-22-035-1-135T	1	1,27238052680865	112,487465722189	134,462657918161
17-22-035-1-135T	2	1,25492342930049	110,951747809285	134,471885197942
17-22-035-1-135T	3	1,13367499159272	100,232273382269	134,472533565648
17-22-035-1-135T	4	1,02258331604656	14,4530986626753	25,0798187794202
17-22-035-1-135T	5	1,13839506375685	100,649548487709	134,472475568983
17-22-035-1-135T	6	1,13200698005922	100,084969752474	134,472763660579
17-22-035-1-135T	7	1,07464869169146	95,0156944741295	134,475573682763
17-22-035-1-135T	8	1,11051952653552	98,1834041605233	134,470326510849
17-22-035-1-135T	9	1,08079314597781	95,5548591616398	134,469802762253
17-22-035-1-135T	10	1,11764746507164	98,8156407938812	134,47310312773
17-22-035-1-135T	11	1,12357241475457	99,3407784021436	134,474848458724
17-22-035-1-135T	12	1,09729779926569	97,0166465482964	134,473380814647
17-22-035-1-135T	13	1,10855719052942	98,0121359982098	134,473380814647
17-22-035-1-135T	14	1,0045589970559	14,2050125759721	25,0915970390358
17-22-036-1-118T	1	1	88,4151424441735	88,4151424441735
17-26-278-1-204T	1	1	88,4156786147188	88,4156786147188
17-26-278-1-204T	2	1	88,3970216016829	88,3970216016829
17-26-278-1-204T	3	1	39,2899454164289	39,2899454164289
17-26-286-1-200T	1	1	88,4153675740467	88,4153675740467
17-26-286-1-200T	2	1	39,2891543187511	39,2891543187511
17-26-286-1-200T	3	1	39,2871406521226	39,2871406521226
17-26-286-1-200T	4	1	88,4154621923876	88,4154621923876
17-26-286-1-200T	5	1	88,4037999083716	88,4037999083716
17-26-286-1-200T	6	1	88,3961172344398	88,3961172344398
17-26-286-1-200T	7	1	88,41200847423	88,41200847423
17-28-143-1-093T	1	1,00312132545445	14,189054621566	23,1443177010122
17-28-143-1-093T	2	1,05430596632162	14,9130048317901	23,1442376056242
17-28-143-1-103T	1	1,44221922847572	127,510642380837	162,999722322423
17-29-021-1-149T	1	1	88,4151424441735	88,4151424441735
17-29-021-1-149T	2	1	88,4152073889543	88,4152073889543
17-29-021-1-149T	3	1	88,4141085659714	88,4141085659714
17-29-021-1-149T	4	1	88,4147763539705	88,4147763539705
17-29-021-1-149T	5	1	88,4155866086601	88,4155866086601
17-29-021-1-149T	6	1	88,4148776894258	88,4148776894258
17-29-021-1-149T	7	1	88,4126792785079	88,4126792785079
17-29-021-1-149T	8	1	88,412347856131	88,412347856131
17-29-029-1-151T	1	1,55198869101472	137,214303692547	136,033851671328
17-29-029-1-151T	2	1,55237959363054	137,251684318008	136,036646879124
17-29-029-1-151T	3	1,61767573694602	63,5547192483121	65,4265268595162
17-29-029-1-151T	4	1,73945721344625	68,33463622241	65,4221285238465
17-29-029-1-151T	5	1,73530710774439	68,1798524372602	65,4300489160921
17-29-029-1-151T	6	1,81883881842606	160,810946567727	136,037159418131
17-29-029-1-151T	7	1,87765764977591	26,5591877497581	25,0081062864157
17-29-029-1-151T	8	1,87974832436095	73,854954154255	65,4300813408375
17-29-029-1-151T	9	1,7555562868128	68,9770626560406	65,4315896486728
17-2A-349-1-242T	1	1	14,1438590541732	14,1438590541732
17-32-156-1-266T	1	1	39,2892553539082	39,2892553539082
17-32-156-1-266T	2	1	39,2885352210507	39,2885352210507
17-32-156-1-266T	3	1	39,2908066189745	39,2908066189745
17-32-156-1-266T	4	1	39,2884931624226	39,2884931624226
17-32-156-1-266T	5	1	39,2883875863275	39,2883875863275
17-32-169-1-263T	1	1	39,287230757622	39,287230757622
17-32-169-1-263T	2	1	14,1435234562693	14,1435234562693
17-32-169-1-263T	3	1	88,4149446244519	88,4149446244519
17-32-169-1-263T	4	1	88,4141809739823	88,4141809739823
17-33-136-1-229T	1	1	88,4155246493126	88,4155246493126
17-33-136-1-229T	2	1	88,4146394985983	88,4146394985983
17-33-136-1-229T	3	1	88,4139990210876	88,4139990210876
17-33-136-1-229T	4	1	88,4138139586554	88,4138139586554
17-33-136-1-229T	5	1	88,4149112191335	88,4149112191335
17-33-138-1-228T	1	1	88,4071499879493	88,4071499879493
17-33-138-1-228T	2	1	88,4154934830471	88,4154934830471
17-33-138-1-228T	3	1	88,4110797281739	88,4110797281739
17-33-138-1-228T	4	1	88,4113954038521	88,4113954038521
17-33-138-1-228T	5	1	88,414252884461	88,414252884461
17-33-138-1-228T	6	1	88,4062503890602	88,4062503890602
17-33-138-1-228T	7	1	88,4056134537655	88,4056134537655
17-33-138-1-228T	8	1	88,4141448321682	88,4141448321682
17-33-138-1-228T	9	1	88,4117923186773	88,4117923186773
17-33-138-1-228T	10	1	88,4106649057694	88,4106649057694
17-33-138-1-228T	11	1	88,4129226217449	88,4129226217449
17-33-138-1-228T	12	1	88,4104773070518	88,4104773070518
17-35-071-1-139T	1	1,02712765240148	14,5285481350242	15,276172779032
17-35-071-1-139T	2	1	88,4102400107428	88,4102400107428
17-35-071-1-139T	3	1	88,4097070161542	88,4097070161542
17-35-071-1-139T	4	1	88,4099996056894	88,4099996056894
17-35-080-1-121T	1	1	88,4134730103674	88,4134730103674
17-35-080-1-121T	2	1	88,4155866086601	88,4155866086601
17-35-080-1-121T	3	1	88,4119223851005	88,4119223851005
17-35-080-1-121T	4	1	88,412720146642	88,412720146642
17-35-080-1-121T	5	1	88,4158592681458	88,4158592681458
17-35-080-1-121T	6	1	88,415077001828	88,415077001828
17-35-080-1-121T	7	1	88,4158592681458	88,4158592681458
17-35-080-1-121T	8	1	88,4156480704279	88,4156480704279
17-35-080-1-121T	9	1	88,4123058686762	88,4123058686762
17-35-080-1-121T	10	1	88,414810256844	88,414810256844
17-36-158-1-136T	1	1	88,4142169914133	88,4142169914133
17-36-159-1-155T	1	1	88,4153992378871	88,4153992378871
17-36-159-1-155T	2	1	88,4152073889543	88,4152073889543
17-36-159-1-155T	3	1	88,4159772158229	88,4159772158229
17-41-165-1-131T	1	1	88,4147763539705	88,4147763539705
17-41-165-1-131T	2	1	88,4135877792019	88,4135877792019
17-41-165-1-131T	3	1	88,414288653125	88,414288653125
17-41-165-1-131T	4	1	88,4142169914133	88,4142169914133
17-41-165-1-131T	5	1	88,4139253692571	88,4139253692571
17-41-165-1-131T	6	1	88,4139253692571	88,4139253692571
17-42-233-1-171T	1	1	88,4120940659007	88,4120940659007
17-42-233-1-171T	2	1	88,4155246493126	88,4155246493126
17-42-233-1-171T	3	1	88,4152396747573	88,4152396747573
17-42-233-1-171T	4	1	88,4159772158229	88,4159772158229
17-42-233-1-171T	5	1	88,4152073889543	88,4152073889543
17-44-085-1-148T	1	1	88,4153357858133	88,4153357858133
17-44-085-1-148T	2	1	88,4130426143404	88,4130426143404
17-44-085-1-148T	3	1	88,414252884461	88,414252884461
17-44-085-1-148T	4	1	88,4073151195737	88,4073151195737
17-44-087-1-140T	1	1,10838280043298	43,5484062733185	45,6182103155599
17-45-173-1-111T	1	1,02793834832078	90,8861735844008	132,411855822555
17-45-173-1-111T	2	1,02108978688482	90,2796985314249	132,410458378484
17-45-173-1-111T	3	1	88,4154621923876	132,411084522944
17-47-155-1-242T	1	1	88,4026580846289	88,4026580846289
17-47-155-1-242T	2	1	88,4032974027854	88,4032974027854
17-47-155-1-242T	3	1	88,3958883473974	88,3958883473974
17-48-223-1-203T	1	1	39,2902130210282	39,2902130210282
17-48-223-1-203T	2	1	39,2907155265684	39,2907155265684
17-48-230-1-204T	1	1	14,144812981903	14,144812981903
17-48-230-1-204T	2	1	39,2907155265684	39,2907155265684
17-48-230-1-204T	3	1	39,287230757622	39,287230757622
17-48-230-1-204T	4	1	39,2854028857992	39,2854028857992
17-48-230-1-204T	5	1	14,144692996746	14,144692996746
17-48-230-1-204T	6	1	14,1448320479501	14,1448320479501
17-48-230-1-204T	7	1	88,3981269023712	88,3981269023712
17-48-230-1-204T	8	1	39,2895745424313	39,2895745424313
17-48-230-1-204T	9	1	88,3973931413056	88,3973931413056
17-48-230-1-204T	10	1	88,406647879647	88,406647879647
17-48-230-1-204T	11	1	14,1439851112648	14,1439851112648
17-48-230-1-204T	12	1	39,2868221909595	39,2868221909595
17-48-238-1-216T	1	1	39,286265068296	39,286265068296
17-48-238-1-216T	2	1	88,4013421631319	88,4013421631319
17-48-238-1-216T	3	1	14,1439717244376	14,1439717244376
17-48-238-1-216T	4	1	39,290550013423	39,290550013423
17-49-099-1-135T	1	1	88,4146394985983	88,4146394985983
17-49-099-1-135T	2	1	88,4154934830471	88,4154934830471
17-49-099-1-135T	3	1	88,4148440353293	88,4148440353293
17-49-099-1-135T	4	1	88,4127608904054	88,4127608904054
17-49-099-1-135T	5	1	88,4152073889543	88,4152073889543
17-49-099-1-135T	6	1	88,415077001828	88,415077001828
17-49-102-1-136T	1	1	14,1438499546651	15,4892554610717
17-49-102-1-136T	2	1	14,1366841773081	15,4814080534411
17-54-249-1-053T	1	1	14,1430554245866	14,1430554245866
17-59-145-1-011T	1	1,11706067953156	98,7626442418197	88,4129627436496
17-59-145-1-011T	2	1,019079743112	40,0409555907189	39,2912879108404
17-59-162-1-017T	1	1	88,415077001828	88,415077001828
17-61-126-1-109T	1	1,5896539175201	140,541835862596	124,261786248916
17-61-126-1-109T	2	1,52989977169328	135,259312931464	124,262118023953
17-61-126-1-109T	3	1,74452984949769	154,227839080403	124,256444783569
17-61-126-1-109T	4	1,7578084917596	69,0526931211407	61,1359808926935
17-61-126-1-109T	5	1,43458022854264	56,3647167746015	61,1463178647527
17-61-126-1-109T	6	1,30153400853719	18,4063372539752	24,1327878579388
17-61-126-1-109T	7	1,544294912284	21,8406745635669	24,1341188748705
17-61-126-1-109T	8	1	88,4132401145262	124,265868997301
17-61-126-1-109T	9	1,09589002438468	15,4945327837809	24,1272126546997
17-63-199-1-181T	1	1	88,4137765730278	88,4137765730278
17-63-199-1-181T	2	1	88,4115730540526	88,4115730540526
17-63-199-1-181T	3	1	88,4108042990986	88,4108042990986
17-64-125-1-283T	1	1	88,4113058325932	88,4113058325932
17-64-125-1-283T	2	1	88,4128420048186	88,4128420048186
17-64-125-1-283T	3	1	88,4149779053809	88,4149779053809
17-66-228-1-284T	1	1	88,403675027737	88,403675027737
17-66-228-1-284T	2	1	88,4064782724456	88,4064782724456
17-66-228-1-284T	3	1	88,4060781712004	88,4060781712004
17-66-228-1-284T	4	1	88,390907720637	88,390907720637
17-66-228-1-284T	5	1	88,4057886551476	88,4057886551476
17-66-228-1-284T	6	1	88,4085958902042	88,4085958902042
17-67-276-1-050T	1	1	88,4153357858133	88,4153357858133
17-67-276-1-050T	2	1	88,4096578160208	88,4096578160208
17-67-276-1-050T	3	1	88,4151749787596	88,4151749787596
17-67-276-1-050T	4	1	88,3919916045719	88,3919916045719
17-67-276-1-050T	5	1	88,3959647673078	88,3959647673078
17-67-276-1-050T	6	1	88,4149446244519	88,4149446244519
17-67-276-1-050T	7	1	88,4145703245896	88,4145703245896
17-67-276-1-050T	8	1	88,414810256844	88,414810256844
17-67-276-1-050T	9	1	88,4139253692571	88,4139253692571
17-67-276-1-050T	10	1	88,4156786147188	88,4156786147188
17-67-276-1-050T	11	1	39,2890526699228	39,2890526699228
17-67-276-1-050T	12	1	88,4125559278848	88,4125559278848
17-67-276-1-050T	13	1	88,4130426143404	88,4130426143404
17-77-168-1-079T	1	1,18282436172997	16,7226072652656	26,5746656776734
17-77-168-1-079T	2	1,10446473086601	15,6116301965372	26,5693226816679
17-77-183-1-082T	1	1	14,1442681286371	14,1442681286371
17-77-183-1-082T	2	1	88,4083349687408	88,4083349687408
17-82-180-1-240T	1	1,01050641445735	89,344912117104	88,4159772158229
17-87-159-1-181T	1	1	14,1422579995609	14,1422579995609
17-87-159-1-181T	2	1,17061400213036	16,5580168242446	14,144728146179
17-87-169-1-193T	1	1,21703582765871	47,8188196992825	53,0110694228901
17-87-169-1-193T	2	1,19662472836949	47,0163507978486	53,0105147480388
17-87-169-1-193T	3	1,21039716169429	47,5564850443046	53,0094048033495
17-87-169-1-193T	4	1,03585529434298	91,5669076915396	104,110343778174
17-87-169-1-193T	5	1,15153489159781	45,2451878861262	53,0110456709994
17-87-169-1-193T	6	1,19451310739635	46,9264587572384	53,0026933531688
17-87-169-1-193T	7	1,0105392063932	89,3230701566985	104,10339599463
17-87-169-1-193T	8	1	39,2910405865036	53,0108304132088
17-87-169-1-193T	9	1,36468826783123	53,6191750839594	53,0099930012855
17-87-169-1-193T	10	1,52143056834143	59,7745538546847	53,0072510286895
17-89-193-1-098T	1	1,60258024031234	22,6592324374883	17,3932402612843
17-89-193-1-098T	2	1,30246884620267	18,4172118123136	17,3944869589571
17-89-193-1-098T	3	1,34891259128663	19,0800697690766	17,4000796057283
17-89-193-1-098T	4	1,28590104641003	18,1847491149194	17,3962183177858
