essence,ess,pro_2015,cld,tau_k,seuil
Chêne pédonculé,2,1,15,0.976248003567872,60
Chêne pédonculé,2,1,30,1.00102062823877,60
Chêne pédonculé,2,1,35,0.987028638927788,60
Chêne pédonculé,2,1,40,1.02344358101965,60
Chêne pédonculé,2,1,45,0.985081403122517,60
Chêne pédonculé,2,1,55,1.0074579225005,60
Chêne pédonculé,2,2,10,0.984254704586011,60
Chêne pédonculé,2,2,15,0.998099001206656,60
Chêne pédonculé,2,2,25,1.00335768456974,60
Chêne pédonculé,2,2,30,0.999210015532343,60
Chêne pédonculé,2,2,35,1.00267272020454,60
Chêne pédonculé,2,2,40,1.00967767866193,60
Chêne pédonculé,2,2,45,0.99641589089938,60
Chêne pédonculé,2,2,50,1.00045144380971,60
Chêne pédonculé,2,2,55,1.00317301382748,60
Chêne pédonculé,2,3,10,0.989520415547012,60
Chêne pédonculé,2,3,15,1.00271479879195,60
Chêne pédonculé,2,3,20,1.00339737670029,60
Chêne pédonculé,2,3,25,1.00034714412474,60
Chêne pédonculé,2,3,30,0.99965737559354,60
Chêne pédonculé,2,3,35,0.995573356285685,60
Chêne pédonculé,2,3,40,0.997471298509804,60
Chêne pédonculé,2,3,45,0.998300542764781,60
Chêne pédonculé,2,3,50,0.997109298139411,60
Chêne pédonculé,2,3,55,0.996247443807476,60
Chêne rouvre,3,1,10,0.95,60
Chêne rouvre,3,1,15,1.00462138206559,60
Chêne rouvre,3,1,20,1.01019029148994,60
Chêne rouvre,3,1,25,0.993194753210067,60
Chêne rouvre,3,1,30,0.99910854979507,60
Chêne rouvre,3,1,35,0.999478918017454,60
Chêne rouvre,3,1,40,0.997846935198912,60
Chêne rouvre,3,1,45,1.00564359986646,60
Chêne rouvre,3,1,55,1.00271736256776,60
Chêne rouvre,3,2,10,1.00987981200677,60
Chêne rouvre,3,2,15,1.00358232755105,60
Chêne rouvre,3,2,20,1.0089075936166,60
Chêne rouvre,3,2,25,0.995677462621041,60
Chêne rouvre,3,2,30,0.99791866150833,60
Chêne rouvre,3,2,40,0.993990116002769,60
Chêne rouvre,3,2,45,0.994919233676248,60
Chêne rouvre,3,2,50,0.99845004672072,60
Chêne rouvre,3,2,55,0.998919893582357,60
Chêne rouvre,3,3,10,1.00294850038615,60
Chêne rouvre,3,3,15,0.994762628376786,60
Chêne rouvre,3,3,20,0.993101962142335,60
Chêne rouvre,3,3,25,0.998200592317111,60
Chêne rouvre,3,3,30,0.997321823201855,60
Chêne rouvre,3,3,35,1.00129095635555,60
Chêne rouvre,3,3,40,0.99520665764008,60
Chêne rouvre,3,3,45,0.993690150770484,60
Chêne rouvre,3,3,50,1.00022345000837,60
Chêne rouvre,3,3,55,0.997006942378809,60
Chêne rouge d'Amérique,4,1,10,1.05,30
Chêne rouge d'Amérique,4,1,15,1.01634190880822,30
Chêne rouge d'Amérique,4,1,25,0.978700249281682,30
Chêne rouge d'Amérique,4,2,25,0.95,30
Chêne rouge d'Amérique,4,3,10,1.01121038973973,30
Chêne rouge d'Amérique,4,3,15,0.990364067785987,30
