OBJECTID,DEP,DEPB,CYCCARTE,TFIFN,FAO2,NUM_DEP,ZPOPCODE,CODE_ONF,FREQUENCY,SUM_Shape_Area
1,01,01,3,00,0,01,1,,1,2822734762.451489900000000
2,01,01,3,00,0,01,1,1O,1,526364.891358763910000
3,01,01,3,00,0,01,1,2M,1,14459352.644668402000000
4,01,01,3,00,0,01,1,2O,1,19117517.452243399000000
5,01,01,3,00,0,01,1,2S,1,867089.180068464950000
6,01,01,3,00,0,01,2,,1,1030716150.565836300000000
7,01,01,3,00,0,01,2,1O,1,26596.948695130865000
8,01,01,3,00,0,01,2,2M,1,692761.430283643770000
9,01,01,3,00,0,01,2,2O,1,1628534.272213706300000
10,01,01,3,00,0,38,1,,1,8.293067826649011
11,01,01,3,00,0,38,2,,1,24.633543968409157
12,01,01,3,00,0,38,2,2O,1,0.616021156607133
13,01,01,3,00,0,39,1,,1,169.156582729593790
14,01,01,3,00,0,39,1,2O,1,1.675237845700590
15,01,01,3,00,0,39,2,,1,53.459306312492203
16,01,01,3,00,0,69,1,,1,19.022521048046578
17,01,01,3,00,0,69,2,,1,20.694664683964437
18,01,01,3,00,0,71,1,,1,17.703755132634573
19,01,01,3,00,0,71,2,,1,37.963126778309331
20,01,01,3,00,0,73,1,,1,0.255449810356749
21,01,01,3,00,0,73,2,,1,4.141287271193179
22,01,01,3,CVM,1,01,1,,1,6947729.510320731400000
23,01,01,3,CVM,1,01,1,2O,1,16999102.105403494000000
24,01,01,3,CVM,1,39,1,,1,11.296509235910889
25,01,01,3,CWG,1,01,1,,1,62549292.035852104000000
26,01,01,3,CWG,1,01,1,1O,1,8600770.808219635900000
27,01,01,3,CWG,1,01,1,2O,1,97056207.445400313000000
28,01,01,3,CWG,1,01,2,,1,586140.549621794260000
29,01,01,3,CWG,1,39,1,,1,51.537133566438669
30,01,01,3,CWG,1,39,1,2O,1,7.616270457824364
31,01,01,3,CWJ,1,01,1,,1,35546395.817589618000000
32,01,01,3,CWJ,1,01,1,1O,1,1110631.949920407000000
33,01,01,3,CWJ,1,01,1,2O,1,32937825.841145355000000
34,01,01,3,CWJ,1,01,1,2S,1,97387.988356750313000
35,01,01,3,CWJ,1,01,2,,1,2414694.480988106200000
36,01,01,3,CWJ,1,01,2,2O,1,587965.597026923900000
37,01,01,3,CWJ,1,39,1,,1,5.883736043771625
38,01,01,3,CWJ,1,39,1,2O,1,1.079648207682619
39,01,01,3,FW,1,01,1,,1,107128310.538257350000000
40,01,01,3,FW,1,01,1,1O,1,7581167.259711585900000
41,01,01,3,FW,1,01,1,2O,1,161724967.323701050000000
42,01,01,3,FW,1,01,2,,1,164456.926878754220000
43,01,01,3,FW,1,01,2,2O,1,630001.656805504700000
44,01,01,3,FW,1,39,1,,1,16.101226546757761
45,01,01,3,FW,1,39,1,2O,1,2.228547591307347
46,01,01,3,HA,1,01,1,,1,119839650.058600540000000
47,01,01,3,HA,1,01,1,1O,1,7056649.725107906400000
48,01,01,3,HA,1,01,1,2M,1,470045.406250000000000
49,01,01,3,HA,1,01,1,2O,1,13152668.443202833000000
50,01,01,3,HA,1,01,2,,1,41679464.749594979000000
51,01,01,3,HA,1,01,2,1O,1,3205163.668179419800000
52,01,01,3,HA,1,01,2,2O,1,4841049.971539281300000
53,01,01,3,HA,1,39,1,,1,6.850243765644905
54,01,01,3,HA,1,39,1,2O,1,7.665705964286475
55,01,01,3,HA,1,71,1,,1,0.303749935701489
56,01,01,3,HA,1,71,2,,1,0.537879417320012
57,01,01,3,HH,1,01,1,,1,108025801.561784880000000
58,01,01,3,HH,1,01,1,1O,1,2229697.010053354300000
59,01,01,3,HH,1,01,1,2O,1,65798346.135482661000000
60,01,01,3,HH,1,01,2,,1,162788.525166278650000
61,01,01,3,HH,1,01,2,2O,1,513276.946177573230000
62,01,01,3,HH,1,39,1,,1,4.111894813989942
63,01,01,3,HIM,1,01,1,,1,121589257.416882140000000
64,01,01,3,HIM,1,01,1,1O,1,157739.464260823970000
65,01,01,3,HIM,1,01,1,2O,1,92925803.854617998000000
66,01,01,3,HIM,1,01,2,,1,7600834.914593296100000
67,01,01,3,HIM,1,01,2,2O,1,2515841.284613540400000
68,01,01,3,HIM,1,39,1,,1,31.914046654069317
69,01,01,3,HIM,1,39,1,2O,1,49.515456834704167
70,01,01,3,LF,1,01,1,,1,50000743.128772333000000
71,01,01,3,LF,1,01,1,1O,1,134774.743269744210000
72,01,01,3,LF,1,01,1,2O,1,1066128.964967930200000
73,01,01,3,LF,1,01,2,,1,20527098.923615031000000
74,01,01,3,LF,1,01,2,2O,1,733764.009187100920000
75,01,01,3,LF,1,71,1,,1,3.410412442296547
76,01,01,3,LF,1,71,2,,1,3.453092943063090
77,01,01,3,MP,1,01,1,,1,39966278.250288233000000
78,01,01,3,MP,1,01,1,1O,1,381523.340434389540000
79,01,01,3,MP,1,01,1,2O,1,23299870.095598929000000
80,01,01,3,MP,1,01,2,,1,3967214.149253014500000
81,01,01,3,MP,1,01,2,2O,1,458826.610045910580000
82,01,01,3,MP,1,39,1,,1,6.613982429188342
83,01,01,3,MP,1,39,1,2O,1,2.430436462940015
84,01,01,3,P5,5,01,2,,1,21248637.576594353000000
85,01,01,3,P5,5,01,2,1O,1,886.090422656792840
86,01,01,3,P5,5,01,2,2O,1,1543790.395298281500000
87,01,01,3,P5,5,38,2,,1,0.198626979835338
88,01,01,3,P5,5,71,2,,1,1.947115088153921
