donnee;libelle;definition;lib_en;def_en
A;Numéro identifiant unique;Numéro identifiant unique de l'arbre inventorié ou de la pièce de bois mort inventoriée.;tree number;Unique identifying number of the tree or piece of dead wood inventoried.
ABOND;Indicateur d'abondance;Indicateur d'abondance-dominance d'une espèce basé sur le taux de surface couverte par une espèce végétale sur la placette de relevé floristique de 15 m de rayon (700 m²).;abundance factor;abundance-dominance factor of a species based on the relative area covered by a plant species on the 15m radius (700 m2) floristic survey plot.
ABROU;Traces d'abroutissement;Indicateur de dégâts de gibier par abroutissement dans le peuplement non recensable.;;
ACCES;Accessibilité;Indicateur de la nécessité et la possibilité de création d’une piste forestière pour l’exploitation du bois sur la placette inventoriée;accessibility;indication of the necessity and the possibility to create a forest trail for logging purposes on the inventory plot
ACCI;Nature de l'accident;Caractérisation de l'accident ayant pu affecter l'arbre vivant sur pied.;Damage information;information on visible damages to the tree (no damage / broken tree stem / partially uprooted / curved stem / burned tree)
AFFROC;Indice d'affleurement rocheux;Proportion en dixièmes sur la placette de 7 ares de blocs (taille > 20 cm) affleurant.;rock outcrop index;proportion, in 1/10th on the 7 ares plot of exposed blocks (size > 20cm)
AFPLA;Affleurement en place;Indicateur d'affleurement rocheux en place basé sur la proportion de blocs (> 20 cm) affleurant en place exprimée en 1/10 de la surface de la placette de 15 m de rayon (700 m²);exposed outcrop;indication of the exposed rock outcrop, based on the proportion of exposed blocks (> 20cm) in 1/10th of the area of the 15m-radius inventory plot
AGE;Âge;Âge réel de l'arbre ou de l'essence ou du peuplement;age;Observed age of the tree, species or stand
AGE13;Âge à 1,30 m;Age réel de l'arbre à 1,30 m au-dessus du niveau de base (par sondage à la tarière ou décompte de verticilles).;Tree age at 1.30m;tree age, corresponding to the number of growth increments on a wood core taken at a height of 1.30m in the stem or, for poplars, the number of whorls above 1.30m.
ALLIANCE;Code de l’alliance;Correspondance entre l’habitat codé sur la placette et les alliances phytosociologiques selon le prodrome des végétations de France;Phytosociological alliance code;Correspondence between the habitat observed on the plot and phytosociological alliances according to the French vegetation prodrome
ANDAIN;Présence d'andain;Indicateur de présence ou d'absence d'andain(s).;presence of slash pile;indication of the presence or absence of slash pile
ANPYR;Année de défoliation des buis;Année de la dernière défoliation totale des buis par la pyrale.;box-tree moth defoliation year;year when box-tree plots experienced a total defoliation by the box-tree moth
ASPERITE;Aspérité du terrain;Indicateur du caractère accidenté du terrain dans les premiers 200 mètres de débardage, sur le trajet réel ou suppose des engins d'exploitation.;terrain roughness;indication of the terrain roughness within the first 200m, on the true or projected route of logging trucks
ASSOCIATION;Code de l’association;Correspondance entre l’habitat codé sur la placette et les associations phytosociologiques selon le prodrome des végétations de France;Phytosociological association code;Correspondence between the habitat observed on the plot and the phytosociological association according to the French vegetation prodrome
AUTUT;Utilisation secondaire;Autre utilisation compatible avec la production de bois.;secondary land use;other use compatible with wood production
BOIS;Disponibilité pour production de bois;Indicateur de disponibilité pour la production de bois (traces d'exploitation de moins de 20 ans ou pas de contrainte physique ou d'utilisation autre).;availability for wood production;index of the availability for wood production (signs of exploitation less than 20 years old or no physical constraint or no other utilisaiton)
BORD;Piquet en bordure;Indicateur de position du point dans une bordure ou proche d'une bordure non individualisable de moins de 20 mètres de large, de nature nettement différente du peuplement auquel elle est rattachée.;stack in the edge;indication of the location of the inventory plot within or near a non-individually distinguishable edge less than 20m wide, with a composition clearly different from the associated stand.
BPLANT;Base de plantation;Espacement des plants dans le rang;planting spacing;spacing between seedlings in the planting line
C0;Circonférence à la souche (en m);Circonférence d'arbre à 0,10 m au-dessus du niveau de base;stump girth;tree girth measured at 0.10m aboveground
C13;Circonférence à 1,30 m (en m);Circonférence de l'arbre à 1,30 m au-dessus du niveau de base;girth at height 1.30 m;Tree girth in m, measured at a height of 1.30m 
CAI40;Charge en éléments grossiers dans les 40 premiers cm;Proportion en dixièmes du volume total des éléments grossiers (taille > 2 mm) dans les 40 premiers centimètres du sol.;coarse elements load within the first 40 cm;proportion, in 1/10th, of the volume of coarse elements (> 2mm) within the first 40cm of soil
CAILLOUX;Charge en éléments grossiers;Proportion de cailloux, blocs et gravillons exprimée en 1/10 du volume total dans le profil du sol de la placette de description du point d'inventaire.;coarse elements load;proportion, in 1/10th of pebbles, blocks and gravels relative to the total volume within the soil profile of the forest inventory plot
CAM;Classe d'âge du peuplement;Classe d'âge mesuré du sous-peuplement équienne.;Measured age class;CAM corresponds to the stand age (NOT the age measured from the increment core), and is representative of the "target" (climax) stand. A forested edge should not be taken into account when determining CAM.
CAMPAGNE;Campagne annuelle d'inventaire (opérations terrain);Année des opérations terrain pour une campagne annuelle d'inventaire forestier national;Campaign;Year of field operations for an annual national forest inventory campaign
CB_IFN;Code Corine Biotope;Correspondance entre l’habitat codé sur la placette et la nomenclature CORINE;Corine Biotope code;Correspondence between the habitat observed on the plot and the CORINE nomenclature
