donnee;unite;campagnes;type;libelle;definition
A;1;2005 - ;Quantitatif;1;Unite
ABOND;ABOND;2005 - ;Qualitatif;Coefficient d'abondance-dominance;Taux de surface couverte par une espece vegetale sur un site
ABROU;ABROU;2005 - ;Qualitatif;Indicateur de dégâts par abroutissement;Indicateur de dégâts de gibier par abroutissement dans le peuplement non recensable
ACCES;EXP11;2005 - ;Qualitatif;Accessibilité;Nécessite et possibilité de création de piste pour l'exploitation forestière
ACCI;ACCI;2005 - ;Qualitatif;Accident de l'arbre;Caractérisation de l'accident ayant pu affecter l'arbre vivant sur pied
AFFROC;1/10PCT;2005 - 2016;Qualitatif;1/10 (en %);Dixième (en pourcentage)
AFFROC;1/10PCT_X;2017 - ;Qualitatif;1/10 (en %);Dixième (en pourcentage) avec prise en compte de l'absence
AFPLA;1/10PCT;2005 - ;Qualitatif;1/10 (en %);Dixième (en pourcentage)
AGE;AN;2005 - ;Quantitatif;an;MILLESIME
AGE13;AN;2005 - ;Quantitatif;an;MILLESIME
ALLIANCE;HAB_ALLIANCE;2011 - ;Qualitatif;Alliances végétales;Alliances végétales selon la classification phytosociologique des végétations
ANDAIN;ANDAIN;2005 - ;Qualitatif;Présence d'andain;Indicateur de présence d'andain
ANPYR;1;2005 - ;Quantitatif;1;Unite
ASPERITE;ASPERITE;2008 - 2013;Qualitatif;Toutes modalités de l'aspérité du terrain (3 modalités);Indicateur du caractère accidenté du terrain dans les 200 premiers mètres de débardage, sur le trajet réel ou supposé des engins d'exploitation
ASPERITE;ASPERITE2;2014 - 2015;Qualitatif;Indicateur d'asperite;Indicateur caracterisant la zone la plus delicate en quantite et importance d'obstacles que devra franchir un engin sur l'itineraire suppose de debusquage
ASPERITE;ASPERITE3;2016 - ;Qualitatif;Indicateur d'asperite;Indicateur caracterisant la zone la plus delicate en quantite et importance d'obstacles que devra franchir un engin sur l'itineraire suppose de debusquage
ASSOCIATION;HAB_ASSO;2011 - ;Qualitatif;Associations végétales;Associations végétales selon la classification phytosociologique des végétations
AUTUT;AUTUT;2015 - 2015;Qualitatif;Autre utilisation éventuelle;Autre utilisation éventuelle
AUTUT;AUTUT1;2016 - ;Qualitatif;Autre utilisation éventuelle;Autre utilisation éventuelle
BOIS;BOIS;2005 - ;Qualitatif;Disponibilité pour la production de bois;Disponibilité pour la production de bois
BORD;BORD;2008 - 2016;Qualitatif;Point dans une bordure arboree;Indicateur de position du point dans une bordure arboree de moins de 20 metres de large, par consequent non individualisable, de nature nettement differente du reste du peuplement
BORD;BORD1;2017 - ;Qualitatif;Point dans une bordure arboree;Indicateur de position du point dans une bordure arboree de moins de 20 metres de large, par consequent non individualisable, de nature nettement differente du reste du peuplement
BPLANT;M;2005 - ;Quantitatif;m;METRE
C0;M;2005 - ;Quantitatif;m;METRE
C13;M;2005 - ;Quantitatif;m;METRE
CAI40;1/10PCT;2005 - 2016;Qualitatif;1/10 (en %);Dixième (en pourcentage)
CAI40;1/10PCT_X;2017 - ;Qualitatif;1/10 (en %);Dixième (en pourcentage) avec prise en compte de l'absence
CAILLOUX;1/10PCT;2005 - 2016;Qualitatif;1/10 (en %);Dixième (en pourcentage)
CAILLOUX;1/10PCT_X;2017 - ;Qualitatif;1/10 (en %);Dixième (en pourcentage) avec prise en compte de l'absence
CAM;CAM;2005 - 2007;Qualitatif;Classe d'age mesure;Caracteristique discretisee en 20 classes de l'age
CAM;CAM2;2008 - ;Qualitatif;Classe d'age mesure;Caracteristique discretisee en 7 classes d'age
CB_IFN;CORINE_IFN;2011 - ;Qualitatif;Code Corine proposé par l’inventaire;Correspondance avec la Nomenclature CORINE, proposée par l’inventaire
CD_HAB;CD_HAB;2011 - ;Qualitatif;Nomenclature HABREF;Correspondance avec la nomenclature HABREF du Muséum 
CD_REF;CDREF13;2005 - ;Qualitatif;Identifiant unique de taxon de référence (TAXREF v13);Identifiant unique de taxon de référence selon le référentiel TAXREF version 13
CIBLE;CIBLE;2005 - ;Qualitatif;Indicateur d'appartenance au peuplement cible;Indicateur d'appartenance au peuplement cible
CLASSE;HAB_CLASSE;2011 - ;Qualitatif;Classes végétales;Classes végétales selon la classification phytosociologique des végétations
CLON;ESS19;2005 - 2013;Qualitatif;Cultivar de peuplier;Espece (ou groupe d'especes) botanique(s) de cultivar de peuplier cultive
CSA;CS;2005 - 2005;Qualitatif;Couverture du sol;Caracteristique spatiale hierarchique deduite des taux de recouvrement des elements biophysiques presents sur le site
CSA;CSG2;2006 - 2006;Qualitatif;Couverture du sol;Couverture du sol detaillee en 9 postes
CSA;CSG3;2007 - 2014;Qualitatif;Couverture du sol;Couverture du sol detaillee en 10 postes
CSA;CSG5;2015 - 2017;Qualitatif;Couverture du sol;Couverture du sol détaillée en 
CSA;CSG13;2018 - ;Qualitatif;Couverture du sol;Couverture du sol sur la placette d'observation
CSLISI;CSLISI;2007 - 2014;Qualitatif;Couverture du sol au-dela de la lisiere;Caracterisation fine de la couverture du sol au-dela de la lisiere
