"id_ech";"id_point";"rid";"angle_gams"
114;1229050;51;1.0
115;941618;54;2.0
114;1228960;277;20.0
115;936653;277;8.0
114;1228976;278;33.0
114;1229190;281;27.0
115;942571;283;17.0
114;1229035;392;27.0
115;937582;392;22.0
114;1229058;393;27.0
114;1229130;394;31.0
114;1229153;394;32.0
115;939054;394;32.0
114;1229192;395;21.0
114;1229268;396;10.0
115;941040;396;12.0
114;1227270;397;37.0
114;1227308;399;30.0
115;937021;505;26.0
114;1229015;506;24.0
114;1229039;506;21.0
115;937605;506;23.0
114;1229086;507;26.0
114;1229112;507;30.0
114;1229134;507;31.0
115;938090;507;26.0
114;1229155;508;33.0
114;1227292;511;13.0
114;1227320;513;12.0
115;947044;516;14.0
114;1228986;619;12.0
114;1229043;619;28.0
114;1229041;620;29.0
114;1229116;620;29.0
115;937410;620;21.0
115;938889;621;30.0
114;1229198;622;30.0
114;1229257;623;25.0
114;1229343;625;15.0
114;1229388;626;13.0
115;942964;626;18.0
115;943356;626;12.0
114;1227331;627;16.0
114;1227379;629;25.0
114;1227390;629;18.0
114;1227401;630;17.0
115;936250;733;7.0
115;936838;733;20.0
115;937406;734;3.0
114;1229161;735;27.0
115;938226;735;29.0
114;1229315;737;23.0
114;1229347;738;35.0
115;941354;738;36.0
114;1229378;739;30.0
114;1229392;739;28.0
114;1229406;740;28.0
114;1229477;741;16.0
115;943890;741;16.0
115;945575;742;17.0
114;1227381;743;26.0
114;1227405;743;22.0
115;946233;743;25.0
114;1227403;744;23.0
114;1227499;746;15.0
114;1227536;746;18.0
114;1238444;846;3.0
114;1229096;848;20.0
115;937142;848;20.0
114;1229206;849;11.0
115;938710;849;24.0
114;1229242;850;28.0
115;939068;850;27.0
115;939259;850;13.0
115;940842;851;23.0
114;1229366;852;32.0
114;1229394;853;27.0
115;942935;854;33.0
115;943544;854;35.0
114;1227407;857;15.0
114;1227452;858;12.0
114;1227453;858;16.0
114;1227504;859;14.0
115;947469;859;11.0
114;1227503;860;12.0
114;1227520;860;13.0
115;948563;860;14.0
115;948620;860;13.0
115;948938;860;17.0
114;1227572;861;12.0
115;949415;861;13.0
114;1238450;960;5.0
115;935918;960;7.0
114;1238467;961;3.0
115;936706;961;6.0
