"dir";"type_point";"npp";"nph";"nom_site"
DIRCE;nouveau;"20-74-283-1-126R";"202831126";Grand Marais d'Orcier
DIRCE;nouveau;"25-01-260-1-137T";"252601137";Protection Des Oiseaux Rupestres
DIRCE;nouveau;"25-01-263-1-140T";"252631140";Protection Des Oiseaux Rupestres
DIRCE;nouveau;"25-01-263-1-150T";"252631150";Protection Des Oiseaux Rupestres
DIRCE;nouveau;"25-01-264-1-149T";"252641149";Protection Des Oiseaux Rupestres
DIRCE;nouveau;"25-01-267-1-154T";"252671154";Protection Des Oiseaux Rupestres
DIRCE;nouveau;"25-07-258-1-207T";"252581207";Massif de la dent de Rez
DIRCE;nouveau;"25-25-261-1-110T";"252611110";Corniches Calcaires Du D�partement Du Doubs
DIRCE;nouveau;"25-25-263-1-106T";"252631106";Ecrevisse À Pattes Blanches Et Faune Patrimoniale Associée (25)
DIRCE;nouveau;"25-25-264-1-105T";"252641105";Ecrevisse À Pattes Blanches Et Faune Patrimoniale Associée (25)
DIRCE;nouveau;"25-25-268-1-111T";"252681111";Bassin Du Drugeon Du Doubs
DIRCE;nouveau;"25-25-268-1-113T";"252681113";Bassin Du Drugeon Du Doubs
DIRCE;nouveau;"25-39-257-1-122T";"252571122";Reculées De La Haute Seille
DIRCE;nouveau;"25-39-263-1-132T";"252631132";Corniches Calcaires Du Departement Du Jura
DIRCE;nouveau;"25-39-266-1-119T";"252661119";Foret Du Paradis
DIRCE;nouveau;"25-39-269-1-124T";"252691124";Forêts d'altitude du Haut-Jura
DIRCE;nouveau;"25-39-269-1-128T";"252691128";Forêts d'altitude du Haut-Jura
DIRCE;nouveau;"25-69-251-1-158T";"252511158";Iles de Crépieux Charmy
DIRCE;nouveau;"25-73-286-1-155T";"252861155";Tourbieres De Montendry Et De Montgilbert
DIRCE;nouveau;"25-74-270-1-139T";"252701139";Versant Ouest Du Massif Du Vuache
DIRCE;nouveau;"25-74-279-1-132T";"252791132";Massif Des Voirons
DIRCE;nouveau;"25-74-282-1-147T";"252821147";Marais De Giez
DIRCE;nouveau;"25-74-287-1-132T";"252871132";Plateau De Loex
DIRCE;nouveau;"25-74-289-1-126T";"252891126";Mont De Grange
DIRCE;visite2;"20-03-219-1-161T";"202191161";Ecrevisse à pieds blancs et espèces patrimoniales associées
DIRCE;visite2;"20-07-256-1-206T";"202561206";Rivière Ardèche
DIRCE;visite2;"20-25-265-1-103T";"202651103";Ecrevisse À Pattes Blanches Et Faune Patrimoniale Associée (25)
DIRCE;visite2;"20-25-267-1-103T";"202671103";Ecrevisse À Pattes Blanches Et Faune Patrimoniale Associée (25)
DIRCE;visite2;"20-38-266-1-156T";"202661156";Marais de la Roche et de l'Epau
DIRCE;visite2;"20-38-283-1-163T";"202831163";Marais De La Frette
DIRCE;visite2;"20-39-268-1-132T";"202681132";Corniches Calcaires Du Departement Du Jura
DIRCE;visite2;"20-39-271-1-123T";"202711123";Forêts d'altitude du Haut-Jura
DIRCE;visite2;"20-39-271-1-127T";"202711127";Forêts d'altitude du Haut-Jura
DIRCE;visite2;"20-43-230-1-200T";"202301200";Stations À Bouleau Nain De Margeride
DIRCE;visite2;"20-74-281-1-131T";"202811131";Massif Des Voirons
DIRCE;visite2;"20-74-289-1-131T";"202891131";Plateau De Loex
DIRNE;nouveau;"25-08-195-1-034T";"251951034";Biotopes A Ecrevisse A Pieds Blancs & Truite Fario (Parties Des Ruisseaux Du Moulinet & De La Rosiere) A Dommery, Grandchamp, Signy-L'Abbaye, Viel-Saint-Remy & Wagnon
DIRNE;nouveau;"25-51-193-1-072T";"251931072";Ancien aérodrome de Marigny
DIRNE;nouveau;"25-57-269-1-030T";"252691030";Forêt de Hanau, Mouterhouse, Sturzelbronn et Goendersberg
DIRNE;nouveau;"25-67-282-1-033T";"252821033";Cours Inferieur De La Moder
DIRNE;nouveau;"25-68-276-1-065T";"252761065";Carrieres De L'Ostbourg
DIRNE;nouveau;"25-68-281-1-076T";"252811076";Le Buxberg
DIRNE;nouveau;"25-70-267-1-082T";"252671082";Biotope De L'Écrevisse À Pattes Blanches Et De La Truite Fario
DIRNE;nouveau;"25-70-267-1-084T";"252671084";Biotope De L'Écrevisse À Pattes Blanches Et De La Truite Fario
DIRNE;visite2;"20-51-195-1-071T";"201951071";Ancien aérodrome de Marigny
DIRNE;visite2;"20-55-233-1-051T";"202331051";Prairies, Etangs Et Bois Du Secteur De La Ferme De Bricourt En Woevre
DIRNE;visite2;"20-67-284-1-032T";"202841032";Cours Inferieur De La Moder
DIRNE;visite2;"20-67-285-1-031T";"202851031";Cours Inferieur De La Moder
DIRNE;visite2;"20-68-273-1-061T";"202731061";Tete Des Faux Etang Du Devin Et Tourbiere De Surcenord
DIRNE;visite2;"20-70-268-1-074T";"202681074";Biotope De L'Écrevisse À Pattes Blanches Et De La Truite Fario
DIRNE;visite2;"20-70-270-1-076T";"202701076";Forêt De Saint-Antoine
DIRNO;nouveau;"20-56-045-1-143R";"200451143";Bassin versant du ruisseau de Brandifrout
DIRNO;nouveau;"25-22-035-1-132T";"250351132";Landes De Locarn
DIRNO;nouveau;"25-29-022-1-149T";"250221149";Site De Toulven
DIRNO;nouveau;"25-41-162-1-125T";"251621125";Etangs De Saint Viatre
DIRNO;nouveau;"25-56-042-1-143T";"250421143";Bassin versant du ruisseau de Brandifrout
DIRNO;nouveau;"25-56-045-1-144T";"250451144";Bassin versant du ruisseau de Brandifrout
DIRNO;nouveau;"25-61-108-1-101T";"251081101";Rivière la Cance et ses affluents
DIRNO;nouveau;"25-87-173-1-180T";"251731180";Forêt D'Epagne
DIRNO;visite2;"20-14-095-1-091T";"200951091";Bassin Hydrographique Du Ruisseau Du Vingt Bec
DIRNO;visite2;"20-41-165-1-125T";"201651125";Etangs De Saint Viatre
DIRNO;visite2;"20-56-044-1-142T";"200441142";Bassin versant du ruisseau de Brandifrout
DIRNO;visite2;"20-56-046-1-144T";"200461144";Bassin versant du ruisseau de Brandifrout
DIRNO;visite2;"20-61-115-1-091T";"201151091";Rivière la Touques et ses affluents
DIRNO;visite2;"20-77-167-1-075T";"201671075";Etang De Beaubourg
DIRSE;nouveau;"25-84-280-1-217T";"252801217";Grands rapaces du Lubéron
DIRSE;nouveau;"25-84-280-1-221T";"252801221";Grands rapaces du Lubéron
DIRSE;nouveau;"25-84-282-1-215T";"252821215";Grands rapaces du Lubéron
DIRSE;nouveau;"25-84-282-1-221T";"252821221";Grands rapaces du Lubéron
DIRSE;nouveau;"25-84-284-1-221T";"252841221";Grands rapaces du Lubéron
DIRSE;visite2;"20-04-306-1-190T";"203061190";Plateau de Dormillouse
DIRSE;visite2;"20-30-254-1-216T";"202541216";Vallée De L'Avène
DIRSE;visite2;"20-84-282-1-216T";"202821216";Grands rapaces du Lubéron
DIRSE;visite2;"20-84-282-1-220T";"202821220";Grands rapaces du Lubéron
DIRSE;visite2;"20-84-284-1-220T";"202841220";Grands rapaces du Lubéron
DIRSE;visite2;"20-84-287-1-215T";"202871215";Colline de Perréal
DIRSO;nouveau;"25-40-127-1-283T";"251271283";Barthe De Saint Martin De Seignanx
DIRSO;nouveau;"25-82-195-1-242T";"251951242";Parois De Bruniquel
DIRSO;visite2;"20-16-143-1-203T";"201431203";Chaumes Et Bois De Clérignac
DIRSO;visite2;"20-40-129-1-282T";"201291282";Barthe De Saint Martin De Seignanx
