"dir";"type_point";"npp";"nph";"camp"
DIRCE;nouveau;"25-25-266-1-099T";"252661099";camp du valdahon
DIRCE;nouveau;"25-25-266-1-101T";"252661101";camp du valdahon
DIRCE;nouveau;"25-25-267-1-100T";"252671100";camp du valdahon
DIRCE;nouveau;"25-26-262-1-173T";"252621173";terrain de manoeuvre de chambaran
DIRCE;visite2;"20-38-266-1-172T";"202661172";terrain de manoeuvre de chambaran
DIRCE;visite2;"20-71-239-1-127T";"202391127";champ de tir
DIRNE;nouveau;"20-10-205-1-069R";"202051069";camp de mailly
DIRNE;nouveau;"25-02-184-1-041T";"251841041";camp de sissonne
DIRNE;nouveau;"25-02-185-1-042T";"251851042";camp de sissonne
DIRNE;nouveau;"25-10-202-1-067T";"252021067";camp de mailly
DIRNE;nouveau;"25-10-203-1-068T";"252031068";camp de mailly
DIRNE;nouveau;"25-10-203-1-070T";"252031070";camp de mailly
DIRNE;nouveau;"25-21-233-1-102T";"252331102";terrain militaire d' epagny
DIRNE;nouveau;"25-51-197-1-050T";"251971050";camp de moronvilliers
DIRNE;nouveau;"25-51-201-1-052T";"252011052";camp de mourmelon (camp de chalons)
DIRNE;nouveau;"25-51-203-1-048T";"252031048";Suippes
DIRNE;nouveau;"25-51-203-1-050T";"252031050";Suippes
DIRNE;nouveau;"25-51-204-1-049T";"252041049";Suippes
DIRNE;nouveau;"25-51-205-1-048T";"252051048";Suippes
DIRNE;nouveau;"25-51-205-1-068T";"252051068";camp de mailly
DIRNE;nouveau;"25-54-242-1-051T";"252421051";Enceinte militaire
DIRNE;nouveau;"25-57-266-1-029T";"252661029";Bitche
DIRNE;nouveau;"25-57-267-1-028T";"252671028";Bitche
DIRNE;nouveau;"25-67-278-1-033T";"252781033";camp dOberhausen
DIRNE;visite2;"20-02-186-1-040T";"201861040";camp de sissonne
DIRNE;visite2;"20-02-187-1-041T";"201871041";camp de sissonne
DIRNE;visite2;"20-10-204-1-068T";"202041068";camp de mailly
DIRNE;visite2;"20-10-205-1-067T";"202051067";camp de mailly
DIRNE;visite2;"20-21-235-1-101T";"202351101";terrain militaire d' epagny
DIRNE;visite2;"20-51-198-1-048T";"201981048";camp de moronvilliers
DIRNE;visite2;"20-51-199-1-049T";"201991049";camp de moronvilliers
DIRNE;visite2;"20-51-202-1-052T";"202021052";camp de mourmelon (camp de chalons)
DIRNE;visite2;"20-51-203-1-051T";"202031051";camp de mourmelon (camp de chalons)
DIRNE;visite2;"20-51-205-1-047T";"202051047";Suippes
DIRNE;visite2;"20-51-205-1-049T";"202051049";Suippes
DIRNE;visite2;"20-51-206-1-048T";"202061048";Suippes
DIRNE;visite2;"20-51-206-1-068T";"202061068";camp de mailly
