"dir";"type_point";"npp";"nph";"nom"
DIRCE;nouveau;"25-38-285-1-172T";"252851172";Ecrins [aire d'adhésion]
DIRCE;nouveau;"25-38-286-1-173T";"252861173";Ecrins [aire d'adhésion]
DIRCE;nouveau;"25-38-287-1-174T";"252871174";Ecrins [aire d'adhésion]
DIRCE;nouveau;"25-38-288-1-173T";"252881173";Ecrins [aire d'adhésion]
DIRCE;nouveau;"25-38-289-1-172T";"252891172";Ecrins [aire d'adhésion]
DIRCE;nouveau;"25-38-289-1-174T";"252891174";Ecrins
DIRCE;nouveau;"25-38-290-1-179T";"252901179";Ecrins [aire d'adhésion]
DIRCE;nouveau;"25-73-293-1-156T";"252931156";Vanoise [aire d'adhésion]
DIRCE;nouveau;"25-73-293-1-158T";"252931158";Vanoise [aire d'adhésion]
DIRCE;nouveau;"25-73-300-1-153T";"253001153";Vanoise
DIRCE;visite2;"20-38-292-1-178T";"202921178";Ecrins [aire d'adhésion]
DIRCE;visite2;"20-38-294-1-174T";"202941174";Ecrins [aire d'adhésion]
DIRNE;nouveau;"25-21-220-1-089T";"252201089";Forêts [aire d'adhésion]
DIRNE;nouveau;"25-21-220-1-093T";"252201093";Forêts
DIRNE;nouveau;"25-21-221-1-088T";"252211088";Forêts [aire d'adhésion]
DIRNE;nouveau;"25-21-221-1-092T";"252211092";Forêts [aire d'adhésion]
DIRNE;nouveau;"25-21-221-1-094T";"252211094";Forêts
DIRNE;nouveau;"25-21-221-1-096T";"252211096";Forêts
DIRNE;nouveau;"25-21-222-1-091T";"252221091";Forêts [aire d'adhésion]
DIRNE;nouveau;"25-21-222-1-093T";"252221093";Forêts
DIRNE;nouveau;"25-21-222-1-095T";"252221095";Forêts
DIRNE;nouveau;"25-21-223-1-090T";"252231090";Forêts
DIRNE;nouveau;"25-21-223-1-092T";"252231092";Forêts
DIRNE;nouveau;"25-21-223-1-094T";"252231094";Forêts
DIRNE;nouveau;"25-21-223-1-096T";"252231096";Forêts [aire d'adhésion]
DIRNE;nouveau;"25-21-224-1-089T";"252241089";Forêts
DIRNE;nouveau;"25-21-225-1-088T";"252251088";Forêts [aire d'adhésion]
DIRNE;nouveau;"25-21-225-1-090T";"252251090";Forêts
DIRNE;nouveau;"25-21-225-1-094T";"252251094";Forêts
DIRNE;nouveau;"25-21-225-1-096T";"252251096";Forêts
DIRNE;nouveau;"25-21-226-1-089T";"252261089";Forêts [aire d'adhésion]
DIRNE;nouveau;"25-21-226-1-091T";"252261091";Forêts
DIRNE;nouveau;"25-21-227-1-092T";"252271092";Forêts [aire d'adhésion]
DIRNE;nouveau;"25-21-227-1-098T";"252271098";Forêts [aire d'adhésion]
DIRNE;nouveau;"25-21-230-1-097T";"252301097";Forêts [aire d'adhésion]
DIRNE;nouveau;"25-21-230-1-099T";"252301099";Forêts [aire d'adhésion]
DIRNE;nouveau;"25-21-231-1-096T";"252311096";Forêts [aire d'adhésion]
DIRNE;nouveau;"25-21-232-1-097T";"252321097";Forêts [aire d'adhésion]
DIRNE;nouveau;"25-52-223-1-084T";"252231084";Forêts [aire d'adhésion]
DIRNE;nouveau;"25-52-223-1-086T";"252231086";Forêts [aire d'adhésion]
DIRNE;nouveau;"25-52-225-1-084T";"252251084";Forêts
DIRNE;nouveau;"25-52-227-1-084T";"252271084";Forêts
DIRNE;nouveau;"25-52-227-1-088T";"252271088";Forêts
DIRNE;nouveau;"25-52-228-1-085T";"252281085";Forêts
DIRNE;nouveau;"25-52-229-1-090T";"252291090";Forêts [aire d'adhésion]
DIRNE;nouveau;"25-52-229-1-092T";"252291092";Forêts
DIRNE;nouveau;"25-52-229-1-094T";"252291094";Forêts [aire d'adhésion]
DIRNE;nouveau;"25-52-230-1-083T";"252301083";Forêts [aire d'adhésion]
DIRNE;nouveau;"25-52-230-1-085T";"252301085";Forêts [aire d'adhésion]
DIRNE;nouveau;"25-52-230-1-091T";"252301091";Forêts [aire d'adhésion]
DIRNE;nouveau;"25-52-231-1-086T";"252311086";Forêts [aire d'adhésion]
DIRNE;nouveau;"25-52-231-1-090T";"252311090";Forêts
DIRNE;nouveau;"25-52-231-1-092T";"252311092";Forêts
DIRNE;nouveau;"25-52-232-1-089T";"252321089";Forêts
DIRNE;nouveau;"25-52-232-1-093T";"252321093";Forêts
DIRNE;nouveau;"25-52-233-1-084T";"252331084";Forêts [aire d'adhésion]
DIRNE;nouveau;"25-52-233-1-092T";"252331092";Forêts
DIRNE;nouveau;"25-52-233-1-094T";"252331094";Forêts [aire d'adhésion]
DIRNE;nouveau;"25-52-234-1-083T";"252341083";Forêts [aire d'adhésion]
DIRNE;nouveau;"25-52-234-1-089T";"252341089";Forêts [aire d'adhésion]
DIRNE;nouveau;"25-52-234-1-093T";"252341093";Forêts [aire d'adhésion]
DIRNE;nouveau;"25-52-235-1-094T";"252351094";Forêts [aire d'adhésion]
DIRNE;nouveau;"25-52-237-1-094T";"252371094";Forêts [aire d'adhésion]
DIRNE;visite2;"20-21-221-1-093T";"202211093";Forêts [aire d'adhésion]
DIRNE;visite2;"20-21-222-1-092T";"202221092";Forêts
DIRNE;visite2;"20-21-223-1-093T";"202231093";Forêts
DIRNE;visite2;"20-21-223-1-095T";"202231095";Forêts
DIRNE;visite2;"20-21-224-1-090T";"202241090";Forêts [aire d'adhésion]
DIRNE;visite2;"20-21-224-1-092T";"202241092";Forêts [aire d'adhésion]
DIRNE;visite2;"20-21-224-1-094T";"202241094";Forêts
DIRNE;visite2;"20-21-225-1-089T";"202251089";Forêts
DIRNE;visite2;"20-21-225-1-091T";"202251091";Forêts
DIRNE;visite2;"20-21-225-1-093T";"202251093";Forêts
DIRNE;visite2;"20-21-225-1-095T";"202251095";Forêts
DIRNE;visite2;"20-21-227-1-089T";"202271089";Forêts
DIRNE;visite2;"20-21-227-1-091T";"202271091";Forêts
DIRNE;visite2;"20-21-227-1-093T";"202271093";Forêts
DIRNE;visite2;"20-21-227-1-095T";"202271095";Forêts
DIRNE;visite2;"20-21-228-1-088T";"202281088";Forêts
DIRNE;visite2;"20-21-228-1-096T";"202281096";Forêts [aire d'adhésion]
DIRNE;visite2;"20-21-229-1-097T";"202291097";Forêts [aire d'adhésion]
DIRNE;visite2;"20-21-231-1-093T";"202311093";Forêts [aire d'adhésion]
DIRNE;visite2;"20-21-231-1-095T";"202311095";Forêts [aire d'adhésion]
DIRNE;visite2;"20-21-233-1-097T";"202331097";Forêts [aire d'adhésion]
DIRNE;visite2;"20-52-226-1-088T";"202261088";Forêts
DIRNE;visite2;"20-52-228-1-084T";"202281084";Forêts
DIRNE;visite2;"20-52-228-1-086T";"202281086";Forêts [aire d'adhésion]
DIRNE;visite2;"20-52-229-1-083T";"202291083";Forêts
DIRNE;visite2;"20-52-229-1-087T";"202291087";Forêts
DIRNE;visite2;"20-52-230-1-084T";"202301084";Forêts
DIRNE;visite2;"20-52-230-1-088T";"202301088";Forêts
DIRNE;visite2;"20-52-231-1-087T";"202311087";Forêts
DIRNE;visite2;"20-52-231-1-089T";"202311089";Forêts
DIRNE;visite2;"20-52-231-1-091T";"202311091";Forêts
DIRNE;visite2;"20-52-232-1-086T";"202321086";Forêts [aire d'adhésion]
DIRNE;visite2;"20-52-232-1-094T";"202321094";Forêts [aire d'adhésion]
DIRNE;visite2;"20-52-233-1-087T";"202331087";Forêts [aire d'adhésion]
DIRNE;visite2;"20-52-233-1-089T";"202331089";Forêts
DIRNE;visite2;"20-52-233-1-091T";"202331091";Forêts
DIRNE;visite2;"20-52-234-1-088T";"202341088";Forêts
DIRNE;visite2;"20-52-234-1-092T";"202341092";Forêts [aire d'adhésion]
DIRNE;visite2;"20-52-235-1-083T";"202351083";Forêts [aire d'adhésion]
