"dir";"type_point";"npp";"nph";"nom"
DIRCE;nouveau;"20-07-250-1-187R";"202501187";Monts d'Ardèche
DIRCE;nouveau;"20-25-279-1-096R";"202791096";Doubs Horloger
DIRCE;nouveau;"20-26-271-1-186R";"202711186";Vercors
DIRCE;nouveau;"20-63-207-1-166R";"202071166";Volcans d'Auvergne
DIRCE;nouveau;"20-63-232-1-180R";"202321180";Livradois-Forez
DIRCE;nouveau;"25-01-266-1-137T";"252661137";Haut-Jura
DIRCE;nouveau;"25-01-267-1-136T";"252671136";Haut-Jura
DIRCE;nouveau;"25-01-267-1-138T";"252671138";Haut-Jura
DIRCE;nouveau;"25-01-269-1-130T";"252691130";Haut-Jura
DIRCE;nouveau;"25-01-269-1-132T";"252691132";Haut-Jura
DIRCE;nouveau;"25-01-269-1-136T";"252691136";Haut-Jura
DIRCE;nouveau;"25-01-270-1-131T";"252701131";Haut-Jura
DIRCE;nouveau;"25-01-270-1-133T";"252701133";Haut-Jura
DIRCE;nouveau;"25-01-270-1-137T";"252701137";Haut-Jura
DIRCE;nouveau;"25-01-271-1-128T";"252711128";Haut-Jura
DIRCE;nouveau;"25-01-272-1-129T";"252721129";Haut-Jura
DIRCE;nouveau;"25-07-244-1-199T";"252441199";Monts d'Ardèche
DIRCE;nouveau;"25-07-244-1-201T";"252441201";Monts d'Ardèche
DIRCE;nouveau;"25-07-245-1-198T";"252451198";Monts d'Ardèche
DIRCE;nouveau;"25-07-246-1-193T";"252461193";Monts d'Ardèche
DIRCE;nouveau;"25-07-246-1-195T";"252461195";Monts d'Ardèche
DIRCE;nouveau;"25-07-246-1-197T";"252461197";Monts d'Ardèche
DIRCE;nouveau;"25-07-246-1-199T";"252461199";Monts d'Ardèche
DIRCE;nouveau;"25-07-246-1-201T";"252461201";Monts d'Ardèche
DIRCE;nouveau;"25-07-247-1-194T";"252471194";Monts d'Ardèche
DIRCE;nouveau;"25-07-247-1-196T";"252471196";Monts d'Ardèche
DIRCE;nouveau;"25-07-247-1-198T";"252471198";Monts d'Ardèche
DIRCE;nouveau;"25-07-248-1-189T";"252481189";Monts d'Ardèche
DIRCE;nouveau;"25-07-248-1-191T";"252481191";Monts d'Ardèche
DIRCE;nouveau;"25-07-248-1-193T";"252481193";Monts d'Ardèche
DIRCE;nouveau;"25-07-248-1-197T";"252481197";Monts d'Ardèche
DIRCE;nouveau;"25-07-248-1-199T";"252481199";Monts d'Ardèche
DIRCE;nouveau;"25-07-248-1-201T";"252481201";Monts d'Ardèche
DIRCE;nouveau;"25-07-248-1-203T";"252481203";Monts d'Ardèche
DIRCE;nouveau;"25-07-248-1-205T";"252481205";Monts d'Ardèche
DIRCE;nouveau;"25-07-248-1-207T";"252481207";Monts d'Ardèche
DIRCE;nouveau;"25-07-250-1-189T";"252501189";Monts d'Ardèche
DIRCE;nouveau;"25-07-250-1-191T";"252501191";Monts d'Ardèche
DIRCE;nouveau;"25-07-250-1-195T";"252501195";Monts d'Ardèche
DIRCE;nouveau;"25-07-250-1-197T";"252501197";Monts d'Ardèche
DIRCE;nouveau;"25-07-250-1-199T";"252501199";Monts d'Ardèche
DIRCE;nouveau;"25-07-250-1-203T";"252501203";Monts d'Ardèche
DIRCE;nouveau;"25-07-250-1-205T";"252501205";Monts d'Ardèche
DIRCE;nouveau;"25-07-250-1-207T";"252501207";Monts d'Ardèche
DIRCE;nouveau;"25-07-251-1-186T";"252511186";Monts d'Ardèche
DIRCE;nouveau;"25-07-251-1-188T";"252511188";Monts d'Ardèche
DIRCE;nouveau;"25-07-252-1-189T";"252521189";Monts d'Ardèche
DIRCE;nouveau;"25-07-252-1-191T";"252521191";Monts d'Ardèche
DIRCE;nouveau;"25-07-252-1-193T";"252521193";Monts d'Ardèche
DIRCE;nouveau;"25-07-252-1-195T";"252521195";Monts d'Ardèche
DIRCE;nouveau;"25-07-252-1-199T";"252521199";Monts d'Ardèche
DIRCE;nouveau;"25-07-252-1-201T";"252521201";Monts d'Ardèche
DIRCE;nouveau;"25-07-252-1-203T";"252521203";Monts d'Ardèche
DIRCE;nouveau;"25-07-253-1-188T";"252531188";Monts d'Ardèche
DIRCE;nouveau;"25-07-254-1-187T";"252541187";Monts d'Ardèche
DIRCE;nouveau;"25-07-254-1-189T";"252541189";Monts d'Ardèche
DIRCE;nouveau;"25-07-254-1-191T";"252541191";Monts d'Ardèche
DIRCE;nouveau;"25-07-254-1-193T";"252541193";Monts d'Ardèche
DIRCE;nouveau;"25-07-254-1-195T";"252541195";Monts d'Ardèche
DIRCE;nouveau;"25-07-254-1-199T";"252541199";Monts d'Ardèche
DIRCE;nouveau;"25-07-255-1-190T";"252551190";Monts d'Ardèche
DIRCE;nouveau;"25-07-255-1-192T";"252551192";Monts d'Ardèche
DIRCE;nouveau;"25-07-256-1-193T";"252561193";Monts d'Ardèche
DIRCE;nouveau;"25-07-256-1-195T";"252561195";Monts d'Ardèche
DIRCE;nouveau;"25-07-257-1-192T";"252571192";Monts d'Ardèche
DIRCE;nouveau;"25-12-217-1-208T";"252171208";Aubrac
DIRCE;nouveau;"25-15-201-1-190T";"252011190";Volcans d'Auvergne
DIRCE;nouveau;"25-15-202-1-189T";"252021189";Volcans d'Auvergne
DIRCE;nouveau;"25-15-203-1-190T";"252031190";Volcans d'Auvergne
DIRCE;nouveau;"25-15-203-1-192T";"252031192";Volcans d'Auvergne
DIRCE;nouveau;"25-15-203-1-198T";"252031198";Volcans d'Auvergne
DIRCE;nouveau;"25-15-205-1-190T";"252051190";Volcans d'Auvergne
DIRCE;nouveau;"25-15-205-1-192T";"252051192";Volcans d'Auvergne
DIRCE;nouveau;"25-15-206-1-191T";"252061191";Volcans d'Auvergne
DIRCE;nouveau;"25-15-206-1-201T";"252061201";Volcans d'Auvergne
DIRCE;nouveau;"25-15-206-1-203T";"252061203";Volcans d'Auvergne
DIRCE;nouveau;"25-15-207-1-190T";"252071190";Volcans d'Auvergne
DIRCE;nouveau;"25-15-207-1-200T";"252071200";Volcans d'Auvergne
DIRCE;nouveau;"25-15-207-1-204T";"252071204";Volcans d'Auvergne
DIRCE;nouveau;"25-15-208-1-191T";"252081191";Volcans d'Auvergne
DIRCE;nouveau;"25-15-208-1-201T";"252081201";Volcans d'Auvergne
DIRCE;nouveau;"25-15-208-1-203T";"252081203";Volcans d'Auvergne
DIRCE;nouveau;"25-15-210-1-199T";"252101199";Volcans d'Auvergne
DIRCE;nouveau;"25-15-210-1-201T";"252101201";Volcans d'Auvergne
DIRCE;nouveau;"25-15-211-1-202T";"252111202";Volcans d'Auvergne
DIRCE;nouveau;"25-15-212-1-203T";"252121203";Volcans d'Auvergne
DIRCE;nouveau;"25-15-213-1-200T";"252131200";Volcans d'Auvergne
DIRCE;nouveau;"25-15-214-1-189T";"252141189";Volcans d'Auvergne
DIRCE;nouveau;"25-15-214-1-191T";"252141191";Volcans d'Auvergne
DIRCE;nouveau;"25-15-214-1-193T";"252141193";Volcans d'Auvergne
DIRCE;nouveau;"25-15-215-1-190T";"252151190";Volcans d'Auvergne
DIRCE;nouveau;"25-15-215-1-194T";"252151194";Volcans d'Auvergne
DIRCE;nouveau;"25-15-216-1-205T";"252161205";Aubrac
DIRCE;nouveau;"25-15-217-1-206T";"252171206";Aubrac
DIRCE;nouveau;"25-15-218-1-205T";"252181205";Aubrac
DIRCE;nouveau;"25-15-218-1-207T";"252181207";Aubrac
DIRCE;nouveau;"25-15-218-1-209T";"252181209";Aubrac
DIRCE;nouveau;"25-15-219-1-204T";"252191204";Aubrac
DIRCE;nouveau;"25-25-269-1-096T";"252691096";Doubs Horloger
DIRCE;nouveau;"25-25-269-1-098T";"252691098";Doubs Horloger
DIRCE;nouveau;"25-25-269-1-116T";"252691116";Haut-Jura
DIRCE;nouveau;"25-25-269-1-118T";"252691118";Haut-Jura
DIRCE;nouveau;"25-25-269-1-122T";"252691122";Haut-Jura
DIRCE;nouveau;"25-25-270-1-099T";"252701099";Doubs Horloger
DIRCE;nouveau;"25-25-270-1-101T";"252701101";Doubs Horloger
DIRCE;nouveau;"25-25-270-1-115T";"252701115";Haut-Jura
DIRCE;nouveau;"25-25-270-1-119T";"252701119";Haut-Jura
DIRCE;nouveau;"25-25-271-1-102T";"252711102";Doubs Horloger
DIRCE;nouveau;"25-25-272-1-097T";"252721097";Doubs Horloger
DIRCE;nouveau;"25-25-272-1-099T";"252721099";Doubs Horloger
DIRCE;nouveau;"25-25-272-1-105T";"252721105";Doubs Horloger
DIRCE;nouveau;"25-25-273-1-092T";"252731092";Doubs Horloger
DIRCE;nouveau;"25-25-273-1-094T";"252731094";Doubs Horloger
DIRCE;nouveau;"25-25-273-1-102T";"252731102";Doubs Horloger
DIRCE;nouveau;"25-25-273-1-104T";"252731104";Doubs Horloger
DIRCE;nouveau;"25-25-274-1-099T";"252741099";Doubs Horloger
DIRCE;nouveau;"25-25-274-1-101T";"252741101";Doubs Horloger
DIRCE;nouveau;"25-25-274-1-103T";"252741103";Doubs Horloger
DIRCE;nouveau;"25-25-275-1-100T";"252751100";Doubs Horloger
DIRCE;nouveau;"25-25-276-1-093T";"252761093";Doubs Horloger
DIRCE;nouveau;"25-25-276-1-097T";"252761097";Doubs Horloger
DIRCE;nouveau;"25-25-276-1-101T";"252761101";Doubs Horloger
DIRCE;nouveau;"25-25-277-1-094T";"252771094";Doubs Horloger
DIRCE;nouveau;"25-25-278-1-093T";"252781093";Doubs Horloger
