"dir";"type_point";"npp";"nph";"id_ech";"id_point";"nom_site";"type_reserve"
DIRCE;nouveau;"25-38-276-1-181T";"252761181";138;1269308;Vercors (Du);integrale
DIRCE;nouveau;"25-26-278-1-187T";"252781187";138;1260481;Archiane (D');dirigee
DIRCE;visite2;"20-63-204-1-168T";"202041168";139;1000006;Meandres De La Sioule (Des);integrale
DIRNE;nouveau;"25-10-207-1-088T";"252071088";138;1250390;Haut Tuileau;integrale
DIRNE;nouveau;"25-52-231-1-092T";"252311092";138;1278155;Bois Des Ronces (Du);integrale
DIRNE;nouveau;"25-67-271-1-052T";"252711052";138;1287163;Champ Du Feu (Du);dirigee
DIRNE;visite2;"20-88-267-1-071T";"202671071";139;1021016;Longegoutte (De);dirigee
DIRNO;nouveau;"25-85-101-1-188T";"251011188";138;1296302;Pointe D'Arcay (De La);dirigee
DIRNO;nouveau;"25-62-124-1-029T";"251241029";138;1283947;Cote D'Opale (De La);dirigee
DIRNO;nouveau;"25-79-124-1-189T";"251241189";138;1293150;Sylve D'Argenson (De La);integrale
DIRNO;nouveau;"25-41-149-1-128T";"251491128";138;1271388;Coteau (Du);dirigee
DIRNO;nouveau;"25-77-171-1-090T";"251711090";138;1292166;Mont Merle (Du);dirigee
DIRSE;nouveau;"25-13-297-1-238T";"252971238";138;1252615;Falaises Rocheuses De La Gardiole Et Vallon D'En Vau (Des);dirigee
DIRSE;visite2;"20-83-320-1-230T";"203201230";139;1021011;Maures (Des);integrale
DIRSO;nouveau;"25-33-119-1-232T";"251191232";138;1265344;Vire Vieille, Vignotte Et Batejin (De);dirigee
DIRSO;nouveau;"25-65-160-1-289T";"251601289";138;1286164;Saint-Pe-De-Bigorre (De);integrale
DIRSO;nouveau;"25-65-161-1-290T";"251611290";138;1286182;Saint-Pe-De-Bigorre (De);integrale
DIRSO;nouveau;"25-31-183-1-290T";"251831290";138;1264096;Burat (Du);dirigee
