"dir";"type_point";"npp";"nph";"type_res";"nom_site"
DIRCE;nouveau;"25-01-270-1-131T";"252701131";réserve naturelle nationale;Haute Chaîne du Jura
DIRCE;nouveau;"25-01-271-1-128T";"252711128";réserve naturelle nationale;Haute Chaîne du Jura
DIRCE;nouveau;"25-03-207-1-150T";"252071150";réserve naturelle nationale;Val D'Allier
DIRCE;nouveau;"25-15-195-1-208T";"251951208";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;nouveau;"25-15-196-1-197T";"251961197";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;nouveau;"25-15-196-1-209T";"251961209";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;nouveau;"25-15-197-1-192T";"251971192";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;nouveau;"25-15-197-1-206T";"251971206";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;nouveau;"25-15-197-1-212T";"251971212";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;nouveau;"25-15-198-1-195T";"251981195";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;nouveau;"25-15-198-1-199T";"251981199";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;nouveau;"25-15-198-1-203T";"251981203";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;nouveau;"25-15-198-1-205T";"251981205";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;nouveau;"25-15-198-1-207T";"251981207";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;nouveau;"25-15-199-1-194T";"251991194";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;nouveau;"25-15-199-1-206T";"251991206";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;nouveau;"25-15-199-1-208T";"251991208";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;nouveau;"25-15-200-1-193T";"252001193";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;nouveau;"25-15-200-1-197T";"252001197";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;nouveau;"25-15-200-1-199T";"252001199";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;nouveau;"25-15-200-1-201T";"252001201";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;nouveau;"25-15-200-1-207T";"252001207";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;nouveau;"25-15-201-1-190T";"252011190";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;nouveau;"25-15-201-1-192T";"252011192";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;nouveau;"25-15-201-1-202T";"252011202";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;nouveau;"25-15-201-1-204T";"252011204";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;nouveau;"25-15-202-1-189T";"252021189";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;nouveau;"25-15-202-1-193T";"252021193";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;nouveau;"25-15-202-1-209T";"252021209";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;nouveau;"25-15-203-1-190T";"252031190";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;nouveau;"25-15-203-1-192T";"252031192";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;nouveau;"25-15-203-1-198T";"252031198";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;nouveau;"25-15-203-1-204T";"252031204";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;nouveau;"25-15-203-1-206T";"252031206";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;nouveau;"25-15-204-1-205T";"252041205";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;nouveau;"25-15-204-1-209T";"252041209";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;nouveau;"25-15-204-1-211T";"252041211";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;nouveau;"25-15-205-1-190T";"252051190";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;nouveau;"25-15-205-1-192T";"252051192";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;nouveau;"25-15-206-1-191T";"252061191";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;nouveau;"25-15-206-1-201T";"252061201";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;nouveau;"25-15-206-1-203T";"252061203";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;nouveau;"25-15-206-1-205T";"252061205";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;nouveau;"25-15-207-1-190T";"252071190";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;nouveau;"25-15-207-1-200T";"252071200";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;nouveau;"25-15-207-1-204T";"252071204";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;nouveau;"25-15-207-1-206T";"252071206";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;nouveau;"25-15-208-1-191T";"252081191";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;nouveau;"25-15-208-1-201T";"252081201";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;nouveau;"25-15-208-1-203T";"252081203";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;nouveau;"25-38-276-1-181T";"252761181";réserve naturelle nationale;Hauts Plateaux Du Vercors
DIRCE;nouveau;"25-38-276-1-183T";"252761183";réserve naturelle nationale;Hauts Plateaux Du Vercors
DIRCE;nouveau;"25-38-279-1-160T";"252791160";réserve naturelle nationale;Hauts De Chartreuse
DIRCE;nouveau;"25-38-279-1-164T";"252791164";réserve naturelle nationale;Hauts De Chartreuse
DIRCE;nouveau;"25-63-197-1-184T";"251971184";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;nouveau;"25-63-199-1-184T";"251991184";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;nouveau;"25-63-200-1-181T";"252001181";réserve biosphère;Bassin de la Dordogne (zone de transition)
