sl|npp|disti|xi|yi|repi|flpi
1|25-02-174-1-049T|13|729541|6928175|1|H
1|25-02-179-1-045T|21|747895|6934662|1|H
2|25-03-196-1-152T|-13|689256|6597626|1|B
1|25-03-214-1-149T|0|746067|6588346|1|B
1|25-04-303-1-209T|16|950767|6317345|1|C
1|25-05-294-1-189T|21|943967|6386649|1|A
1|25-05-300-1-171T|-24|980722|6433969|1|0
1|25-06-337-1-200T|15|1061277|6309521|1|0
1|25-08-193-1-025T|24|810348|6980203|1|B
1|25-12-198-1-232T|20|612970|6356380|1|C
1|25-12-211-1-224T|-16|659934|6367179|1|H
1|25-12-219-1-240T|-10|667858|6311675|1|B
1|25-12-231-1-240T|-15|703635|6299153|1|C
1|25-13-275-1-236T|30|839564|6265889|1|C
1|25-13-277-1-224T|14|857390|6299355|1|0
1|25-13-286-1-226T|-21|882297|6283969|1|C
3|25-13-300-1-237T|-25|913007|6237029|1|0
2|25-13-300-1-237T|18|913049|6237024|1|B
1|25-13-300-1-237T|5|913036|6237025|1|B
1|25-14-087-1-081T|3|435853|6921358|1|C
1|25-14-092-1-091T|-18|441062|6886627|1|B
2|25-14-100-1-092T|-25|464102|6875321|1|H
1|25-14-100-1-092T|-13|464112|6875314|1|B
1|25-14-109-1-086T|-5|496437|6884697|1|H
1|25-15-201-1-198T|7|657009|6454874|1|B
1|25-15-208-1-203T|-8|672699|6433477|1|C
1|25-16-128-1-201T|-10|436002|6520763|1|C
1|25-16-137-1-187T|3|477470|6554115|1|H
3|25-16-138-1-194T|-11|473259|6531939|1|A
2|25-16-138-1-194T|-6|473261|6531944|1|A
1|25-16-138-1-194T|5|473265|6531954|1|B
1|25-16-138-1-205T|-30|461442|6498513|1|H
1|25-16-138-1-209T|8|457523|6486577|1|B
1|25-16-145-1-183T|-8|504837|6557526|1|B
1|25-16-148-1-190T|5|507129|6533685|1|H
1|25-17-119-1-203T|-11|407307|6524626|1|B
1|25-17-127-1-191T|13|443493|6551672|1|H
1|25-18-174-1-137T|-1|638969|6664850|1|C
1|25-18-181-1-138T|-19|658988|6655495|1|A
1|25-18-185-1-145T|3|663378|6630194|1|H
1|25-18-191-1-142T|8|684774|6632491|1|C
1|25-19-181-1-194T|-12|601163|6488057|1|C
1|25-19-193-1-208T|30|622847|6433210|1|H
2|25-19-193-1-208T|30|622847|6433210|1|H
2|25-22-033-1-117T|27|237905|6868985|1|0
1|25-22-033-1-117T|-24|237871|6869025|1|H
1|25-22-034-1-133T|-11|224936|6820602|1|C
1|25-22-039-1-125T|8|247462|6839655|1|B
1|25-22-041-1-116T|26|262708|6863735|1|0
2|25-22-046-1-124T|-22|269979|6835541|1|H
1|25-22-046-1-124T|2|269993|6835521|1|B
2|25-22-054-1-117T|-3|300582|6848165|1|H
1|25-22-054-1-117T|7|300587|6848174|1|B
1|25-22-059-1-117T|-7|315450|6842731|1|C
1|25-22-059-1-129T|-23|303503|6806568|1|B
1|25-22-062-1-121T|18|320764|6827708|1|0
1|25-23-177-1-171T|18|612912|6560958|1|H
1|25-23-182-1-166T|14|632633|6570134|1|B
1|25-24-149-1-216T|-10|483565|6455093|1|H
1|25-24-159-1-205T|-22|524505|6477116|1|B
1|25-24-172-1-224T|-7|543941|6407300|1|B
1|25-24-173-1-227T|-2|543892|6397587|1|0
1|25-24-178-1-219T|12|566495|6416216|1|0
1|25-25-270-1-100T|-26|963525|6677209|1|0
1|25-25-270-1-115T|-29|948759|6632228|1|B
1|25-26-272-1-203T|11|864634|6367877|1|C
1|25-27-114-1-073T|2|524928|6917961|1|C
1|25-27-116-1-079T|28|524652|6898355|1|B
1|25-27-128-1-070T|4|569646|6912787|1|A
2|25-28-134-1-105T|9|552242|6801972|1|B
1|25-28-134-1-105T|-1|552238|6801981|1|B
1|25-29-015-1-129T|-18|171246|6851913|1|C
1|25-29-025-1-141T|-3|188904|6805953|1|C
1|25-29-027-1-150T|28|185639|6776771|1|B
1|25-30-259-1-233T|3|794569|6291432|1|A
1|25-30-260-1-214T|2|817395|6347243|1|A
1|25-31-184-1-283T|4|519058|6218169|1|C
1|25-31-203-1-264T|22|595571|6256215|1|0
1|25-32-152-1-263T|-30|443589|6311373|1|H
2|25-32-164-1-260T|-30|483477|6308003|1|0
1|25-32-164-1-260T|30|483533|6308025|1|0
1|25-32-171-1-261T|0|503273|6297981|1|H
1|25-32-185-1-269T|-23|536756|6259680|1|B
1|25-32-186-1-262T|16|547227|6279686|1|0
1|25-33-130-1-227T|23|415415|6441755|1|H
1|25-33-132-1-222T|-11|426405|6453867|1|B
1|25-33-132-1-229T|-11|418923|6433498|1|B
1|25-34-239-1-238T|-8|730010|6296529|1|C
1|25-34-243-1-243T|-22|736229|6277606|1|B
1|25-34-247-1-249T|15|742040|6255803|1|C
1|25-34-255-1-233T|-16|782221|6295163|1|C
1|25-35-067-1-122T|-17|333866|6819770|1|B
1|25-35-072-1-128T|15|342806|6796221|1|0
1|25-35-074-1-138T|29|338603|6764369|1|B
1|25-35-085-1-134T|14|375672|6765305|1|H
1|25-36-155-1-160T|-30|558090|6616258|1|0
1|25-36-157-1-152T|-30|572739|6637577|1|H
1|25-36-169-1-158T|0|601973|6608032|1|H
1|25-37-125-1-138T|-24|491630|6712154|1|B
1|25-37-126-1-148T|-14|484076|6681784|1|0
1|25-37-131-1-142T|17|504798|6693819|1|0
1|25-37-133-1-140T|-16|512867|6698202|1|0
1|25-38-282-1-160T|23|937678|6485877|1|C
1|25-38-284-1-179T|-25|924837|6426721|1|B
1|25-39-248-1-112T|-10|885358|6663892|1|C
1|25-39-260-1-119T|4|914847|6630874|1|C
1|25-40-140-1-272T|18|399261|6296036|1|H
1|25-41-148-1-133T|-16|564769|6703336|1|0
1|25-41-157-1-134T|28|591117|6691688|1|0
1|25-41-168-1-122T|23|635863|6716269|1|0
1|25-42-231-1-165T|3|780729|6523228|1|B
1|25-42-233-1-173T|0|778731|6497192|1|H
1|25-43-219-1-185T|-16|724285|6475461|1|H
1|25-43-245-1-191T|1|795372|6431437|1|A
2|25-44-071-1-152T|-24|315965|6726139|1|C
1|25-44-071-1-152T|-4|315974|6726121|1|C
1|25-44-080-1-150T|-12|344151|6722449|1|C
1|25-45-171-1-113T|-4|654217|6740304|1|B
2|25-45-172-1-118T|27|652509|6724259|1|B
1|25-45-172-1-118T|-12|652473|6724245|1|B
1|25-45-181-1-114T|-3|683777|6726869|1|H
1|25-45-182-1-099T|2|701834|6770905|1|0
1|25-46-184-1-211T|17|592599|6433501|1|B
1|25-47-156-1-234T|-20|485332|6394144|1|B
1|25-47-156-1-241T|0|478172|6372350|1|B
1|25-48-239-1-209T|-17|759846|6383523|1|B
1|25-49-102-1-155T|-14|404787|6684805|1|0
2|25-49-117-1-138T|15|467562|6720294|1|H
1|25-49-117-1-138T|1|467561|6720280|1|H
1|25-50-058-1-082T|-15|348306|6948328|1|H
1|25-50-068-1-095T|26|364644|6899474|1|H
1|25-50-073-1-084T|4|391164|6926909|1|B
1|25-50-073-1-090T|-21|385462|6909169|1|H
2|25-51-184-1-057T|12|750925|6893885|1|H
1|25-51-184-1-057T|-8|750915|6893902|1|H
1|25-52-226-1-076T|-2|857182|6794712|1|H
1|25-52-234-1-088T|14|867962|6749750|1|H
1|25-53-101-1-115T|-30|443228|6805258|1|H
2|25-53-106-1-120T|-15|452957|6785464|1|B
1|25-53-106-1-120T|-2|452969|6785461|1|B
1|25-54-243-1-056T|-24|927953|6836576|1|0
2|25-54-244-1-060T|-21|926585|6823134|1|B
1|25-54-244-1-060T|-8|926598|6823132|1|B
1|25-54-255-1-055T|1|965324|6827518|1|H
1|25-56-053-1-140T|10|274245|6779703|1|B
1|25-56-063-1-140T|-13|304360|6769687|1|C
1|25-56-066-1-146T|14|306893|6748834|1|B
1|25-57-245-1-029T|30|961906|6915336|1|C
1|25-58-188-1-123T|28|694884|6692264|1|H
1|25-58-199-1-120T|-15|731076|6689903|1|B
1|25-58-201-1-139T|-2|717856|6631254|1|C
2|25-58-210-1-117T|3|767061|6687804|1|B
1|25-58-210-1-117T|-4|767055|6687802|1|H
1|25-58-214-1-119T|-2|777360|6677682|1|B
2|25-59-176-1-021T|3|763527|7009593|1|H
1|25-59-176-1-021T|-29|763497|7009604|1|H
3|25-59-176-1-021T|7|763531|7009591|1|B
1|25-59-179-1-023T|3|770807|7000701|1|H
1|25-60-152-1-054T|-18|658452|6935401|1|B
2|25-61-097-1-098T|28|448419|6860289|1|B
1|25-61-097-1-098T|10|448403|6860297|1|B
1|25-61-099-1-096T|26|456246|6864672|1|H
1|25-61-099-1-099T|-9|453145|6855896|1|B
2|25-61-099-1-105T|-5|447354|6837230|1|B
1|25-61-099-1-105T|9|447357|6837217|1|B
1|25-61-100-1-102T|-6|453148|6845474|1|C
1|25-61-108-1-106T|-2|473085|6825029|1|C
1|25-61-109-1-096T|-4|486374|6854521|1|B
1|25-61-119-1-104T|-22|508017|6819848|2|B
1|25-61-120-1-092T|28|523429|6854656|1|C
1|25-61-122-1-104T|12|517681|6817325|1|B
1|25-62-126-1-029T|29|605884|7037072|1|B
1|25-62-138-1-031T|-2|639840|7018656|1|0
1|25-62-139-1-016T|-13|657828|7062508|1|B
1|25-62-147-1-026T|-4|671458|7024817|1|B
1|25-62-153-1-021T|-9|694849|7033518|1|B
1|25-63-210-1-179T|-9|703617|6502919|1|C
1|25-63-213-1-170T|11|721476|6526776|1|H
1|25-64-123-1-290T|-9|330277|6260266|1|H
1|25-64-155-1-275T|13|440766|6272413|1|C
1|25-65-161-1-292T|16|441311|6215034|1|B
1|25-66-234-1-278T|-26|673951|6182635|1|B
1|25-68-271-1-057T|-28|1010592|6805226|1|C
1|25-71-241-1-121T|-12|855342|6644502|1|B
1|25-71-242-1-132T|-12|846997|6610531|1|B
2|25-71-249-1-124T|-19|876175|6627127|1|H
1|25-71-249-1-124T|14|876201|6627146|1|H
1|25-72-111-1-113T|5|475186|6800962|1|B
1|25-72-111-1-116T|24|472027|6792380|1|B
2|25-72-127-1-109T|30|527325|6796820|1|B
1|25-72-127-1-109T|9|527304|6796825|1|B
2|25-73-276-1-158T|30|922237|6498304|1|B
1|25-73-276-1-158T|8|922228|6498324|1|C
1|25-73-287-1-142T|15|971875|6534655|1|B
1|25-74-270-1-143T|-1|920079|6549036|1|C
1|25-74-281-1-136T|18|959414|6558661|1|H
1|25-76-104-1-063T|-20|505403|6958384|1|0
1|25-76-106-1-066T|-26|507866|6947137|1|0
1|25-76-120-1-064T|-4|552503|6938787|1|0
2|25-76-126-1-048T|4|586311|6980868|1|H
1|25-76-126-1-048T|-2|586310|6980873|1|H
1|25-76-131-1-053T|-16|596458|6960577|1|H
1|25-76-131-1-058T|0|591527|6945455|1|B
1|25-77-174-1-096T|15|680917|6787588|1|C
1|25-78-148-1-083T|-9|616765|6853689|1|0
1|25-79-116-1-159T|9|442550|6659049|1|C
1|25-79-117-1-155T|-25|450086|6669975|1|H
4|25-79-118-1-167T|-21|440972|6632612|1|H
3|25-79-118-1-167T|-14|440975|6632619|1|H
2|25-79-118-1-167T|-8|440976|6632625|1|B
1|25-79-118-1-167T|7|440981|6632638|1|B
2|25-79-120-1-182T|30|431464|6585942|1|A
1|25-79-120-1-182T|-9|431430|6585962|1|A
1|25-79-121-1-165T|1|451687|6635475|1|A
1|25-80-135-1-033T|-20|628560|7016501|1|C
1|25-80-142-1-037T|17|645533|6997052|1|A
1|25-80-150-1-039T|27|667152|6982273|1|C
1|25-81-201-1-245T|0|608938|6315117|1|C
1|25-81-208-1-251T|-5|624000|6289875|1|C
1|25-82-178-1-253T|30|532480|6314229|1|C
1|25-84-277-1-216T|-9|865507|6323352|1|B
1|25-84-279-1-222T|7|865724|6303100|1|B
2|25-85-082-1-177T|19|323089|6639395|1|B
1|25-85-082-1-177T|2|323074|6639403|1|B
2|25-85-109-1-182T|30|398516|6597178|1|B
1|25-85-109-1-182T|-28|398466|6597207|1|B
1|25-86-138-1-173T|25|494098|6594571|1|A
1|25-87-164-1-184T|-5|560582|6534534|1|C
1|25-88-262-1-062T|6|978467|6799271|1|0
1|25-90-271-1-081T|29|986132|6732702|1|C
1|25-91-159-1-085T|-22|647090|6835967|1|B
1|25-01-248-1-137T|1|860282|6589062|1|B
1|25-01-258-1-147T|-1|879928|6549177|1|H
1|25-02-186-1-030T|-25|784720|6972368|1|B
2|25-03-186-1-155T|26|656797|6599392|1|B
1|25-03-186-1-155T|-27|656781|6599443|1|B
2|25-03-194-1-150T|17|685056|6606253|1|H
1|25-03-194-1-150T|1|685042|6606243|1|H
1|25-03-198-1-150T|26|697420|6601520|1|C
1|25-03-219-1-148T|-8|762164|6586192|1|B
1|25-04-294-1-199T|30|934147|6356782|1|C
1|25-04-295-1-213T|2|923002|6314574|1|B
1|25-04-309-1-208T|21|969827|6314509|1|B
1|25-04-311-1-187T|-26|997497|6375548|1|0
1|25-05-293-1-201T|13|929376|6352119|1|C
1|25-07-252-1-191T|-23|816584|6423998|1|B
2|25-07-253-1-190T|20|820380|6425939|1|C
1|25-07-253-1-190T|-9|820374|6425968|1|H
2|25-10-202-1-092T|-27|768150|6770915|1|H
1|25-10-202-1-092T|-12|768166|6770913|1|H
1|25-11-206-1-269T|-3|598897|6238080|1|H
1|25-11-220-1-265T|-1|645312|6235830|1|C
1|25-11-221-1-267T|-26|646450|6228777|1|H
2|25-12-210-1-223T|-9|657891|6371150|1|C
1|25-12-210-1-223T|-30|657873|6371160|1|C
2|25-12-213-1-223T|23|667584|6368032|1|0
1|25-12-213-1-223T|-21|667571|6368074|1|B
1|25-12-224-1-227T|20|696471|6345108|1|C
1|25-12-225-1-240T|9|686122|6304978|1|C
1|25-13-299-1-231T|-16|916490|6256641|1|B
1|25-14-082-1-084T|-28|417701|6918270|1|0
1|25-14-095-1-086T|10|455116|6899062|1|0
1|25-14-100-1-085T|-16|470844|6896624|1|C
2|25-14-105-1-089T|-18|481727|6879825|1|H
1|25-14-105-1-089T|0|481745|6879822|1|H
1|25-15-202-1-199T|-22|659482|6451626|1|B
2|25-15-213-1-203T|-7|687602|6427543|1|B
1|25-15-213-1-203T|2|687606|6427535|1|H
1|25-16-137-1-202T|-13|461286|6508469|1|B
1|25-16-140-1-189T|28|484066|6544849|1|H
1|25-17-111-1-207T|-18|378688|6520265|1|C
1|25-17-119-1-205T|-17|405266|6518637|1|0
2|25-17-126-1-197T|23|433618|6534585|1|B
1|25-17-126-1-197T|-9|433602|6534613|1|B
2|25-17-129-1-208T|-15|431626|6498661|1|C
1|25-17-129-1-208T|26|431665|6498653|1|C
1|25-18-180-1-150T|15|643190|6620110|1|C
1|25-18-183-1-152T|-13|650130|6611098|1|H
1|25-18-193-1-136T|9|697027|6648231|1|H
1|25-19-177-1-204T|-20|579031|6461662|1|B
1|25-19-187-1-188T|7|625133|6499749|1|C
1|25-19-195-1-197T|6|639831|6464842|1|C
1|25-21-230-1-122T|16|821981|6652551|1|H
2|25-21-241-1-113T|29|863692|6667854|1|0
1|25-21-241-1-113T|-13|863655|6667834|1|H
1|25-22-039-1-124T|16|248558|6842288|1|C
1|25-22-054-1-122T|1|295292|6833232|1|0
1|25-22-054-1-134T|18|283670|6796769|1|B
1|25-22-058-1-118T|22|311958|6840465|1|B
2|25-23-166-1-173T|8|578564|6566140|1|B
1|25-23-166-1-173T|-22|578534|6566147|2|C
1|25-23-167-1-168T|-20|586018|6579884|1|B
3|25-23-178-1-166T|11|620786|6574007|1|H
2|25-23-178-1-166T|-3|620780|6574020|1|B
