npp|nppg|occ|auteurpi|datepi|note|cso|dbpi|pbpi|uspi|ufpi|tfpi|phpi|blpi|efpi|dupi|evof
20-19-184-1-192C|20-19-0512-0623T|1|101|2024-04-22||6H||2||0|||0|||
20-19-195-1-198C|20-19-0539-0652T|1|101|2024-04-22||1|0|2|X||2|0|0||0|
20-21-216-1-099C|20-21-0701-0376T|1|169|2024-05-03||6A||2||0|||0|||
20-21-236-1-120C|20-21-0740-0459T|1|169|2024-05-03||6A||2||0|||0|||
20-21-240-1-117C|20-21-0755-0454T|1|169|2024-05-03||6A||2||0|||0|||
20-87-171-1-194C|20-87-0471-0616T|1|101|2024-04-17||1|0|2|X||2|0|0||0|
25-01-245-1-139C|01575-F5050-2-5T|1|169|2024-05-02||1|0|2|X||2|0|0||0|
25-01-254-1-154C|01575-F6070-7-9T|1|169|2024-05-02||1|0|2|X||2|0|0||0|
25-01-267-1-141C|01585-F1090-5-3T|1|169|2024-05-02||1|0|2|X||2|0|0||0|
25-02-171-1-051C|02561-F2010-8-7T|1|82|2024-05-14||1|0|2|X||2|0|0||0|
25-02-172-1-061C|02562-F1040-1-8T|1|82|2024-05-14||1|0|2|X||2|0|0||0|
25-02-175-1-031C|02561-F5030-3-1T|1|82|2024-05-14|<auto>|6A||2||0|||0|||
25-02-176-1-033C|02561-F5040-3-8T|1|82|2024-05-14|<auto>|6A||2||0|||0|||
25-02-176-1-034C|02561-F5030-4-1T|1|82|2024-05-14|<auto>|6A||2||0|||0|||
25-02-178-1-063C|02562-F3000-3-0T|1|82|2024-05-14||1|0|2|X||2|0|0||0|
25-02-182-1-065C|02562-F4000-4-0T|1|82|2024-05-14|<auto>|6A||2||0|||0|||
25-03-194-1-162C|03555-F7090-4-3T|1|169|2024-05-02||1|0|2|X||2|0|0||0|
25-03-206-1-154C|03565-F2030-3-1T|1|169|2024-05-03||6A||2||0|||0|||
25-03-208-1-145C|03565-F3080-0-6T|1|169|2024-05-03||9||2|||||0|||
25-03-212-1-154C|03565-F4010-3-7T|1|169|2024-05-03||6A||2||0|||0|||
25-03-213-1-152C|03565-F4060-3-2T|1|169|2024-05-03||6A||2||0|||0|||
25-03-216-1-160C|03565-F4070-5-9T|1|169|2024-05-03||1|0|2|X||2|0|0||0|
25-04-291-1-210C|04587-F2020-8-4T|1|138|2024-03-26||1|0|2|X||2|0|0||0|
25-04-294-1-211C|04587-F3000-9-0T|1|138|2024-03-26||7||2||0|||0|||
25-04-295-1-208C|04587-F3060-8-2T|1|138|2024-03-26||1|5|2|X||2|0|0||0|
25-04-301-1-211C|04587-F5010-9-7T|1|138|2024-03-26||6A||2||0|||0|||
25-05-283-1-192C|05587-F1060-2-2T|1|138|2024-03-26||1|0|2|X||2|0|0||0|
25-05-297-1-168C|05586-F8020-6-4T|1|169|2024-05-06||8||2|||||0|||
25-05-299-1-191C|05587-F6050-3-5T|1|138|2024-03-27||3|0|2|X||2|0|0||0|
25-05-303-1-174C|05586-F9040-8-8T|1|138|2024-03-27||1|0|2|X||2|0|0||0|
25-05-305-1-181C|05587-F9030-1-1T|1|138|2024-03-27||1|0|2|X||2|0|0||0|
25-06-314-1-196C|06597-F0050-6-5T|1|138|2024-03-27||8||2|||||0|||
25-06-321-1-194C|06597-F2080-6-6T|1|138|2024-03-27||3|5|2|X||2|0|0||0|
25-06-335-1-199C|06597-F6050-9-5T|1|138|2024-03-27||6A||2||0|||0|||
25-07-244-1-207C|07567-F8040-2-8T|1|138|2024-03-27||1|0|2|X||2|0|0||0|
25-07-247-1-210C|07567-F9000-4-0T|1|138|2024-03-27||1|0|2|X||2|0|0||0|
25-08-191-1-037C|08561-F9050-6-5T|1|82|2024-05-14||6A||2||0|||0|||
25-08-198-1-029C|08571-F2040-4-8T|1|82|2024-05-14||1|0|2|V||2|0|0||0|
25-08-200-1-039C|08571-F2000-8-0T|1|82|2024-05-14|<auto>|6A||2||0|||0|||
25-08-200-1-041C|08571-F1080-8-6T|1|82|2024-05-14|<auto>|6A||2||0|||0|||
25-09-191-1-279C|09548-F5030-9-1T|1|138|2024-03-27||6A||2||0|||0|||
25-09-211-1-289C|09559-F0030-4-1T|1|138|2024-03-27||4L|0|2|X|0|2||0||0|
25-09-214-1-290C|09559-F1010-4-7T|1|138|2024-03-27||6H||2||0|||0|||
25-10-196-1-074C|10562-F7030-8-1T|1|82|2024-05-14|<auto>|6A||2||0|||0|||
25-10-200-1-086C|10563-F7030-2-1T|1|82|2024-05-14|<auto>|6A||2||0|||0|||
25-10-204-1-089C|10563-F8020-3-4T|1|82|2024-05-14||1|0|2|X||2|0|0||0|
25-10-204-1-093C|10563-F7080-4-6T|1|82|2024-05-14|<auto>|6A||2||0|||0|||
25-10-205-1-074C|10572-F0000-9-0T|1|82|2024-05-14|<auto>|6A||2||0|||0|||
25-10-210-1-091C|10563-F9080-4-6T|1|82|2024-05-14|<auto>|6A||2||0|||0|||
25-11-213-1-267C|11558-F3010-7-7T|1|138|2024-04-03||6A||2||0|||0|||
