"dir","type_point","npp","nph","nom_site"
"DIRCE","nouveau","26-01-260-1-137T","262601137","Protection Des Oiseaux Rupestres"
"DIRCE","nouveau","26-01-261-1-150T","262611150","Protection Des Oiseaux Rupestres"
"DIRCE","nouveau","26-01-264-1-147T","262641147","Protection Des Oiseaux Rupestres"
"DIRCE","nouveau","26-01-268-1-135T","262681135","Protection Des Oiseaux Rupestres"
"DIRCE","nouveau","26-01-269-1-134T","262691134","Protection Des Oiseaux Rupestres"
"DIRCE","nouveau","26-01-269-1-150T","262691150","Protection Des Oiseaux Rupestres"
"DIRCE","nouveau","26-25-261-1-100T","262611100","Marais De Saône"
"DIRCE","nouveau","26-25-261-1-108T","262611108","Corniches Calcaires Du D�partement Du Doubs"
"DIRCE","nouveau","26-25-264-1-105T","262641105","Ecrevisse À Pattes Blanches Et Faune Patrimoniale Associée (25)"
"DIRCE","nouveau","26-25-269-1-112T","262691112","Bassin Du Drugeon Du Doubs"
"DIRCE","nouveau","26-38-260-1-159T","262601159","Marais De Charamel"
"DIRCE","nouveau","26-38-265-1-158T","262651158","Tourbiere du marais de Crucillieux"
"DIRCE","nouveau","26-39-255-1-106T","262551106","Ecrevisse À Pattes Blanches Et Faune Patrimoniale Associée (39)"
"DIRCE","nouveau","26-39-257-1-130T","262571130","Ecrevisse À Pattes Blanches Et Faune Patrimoniale Associée (39)"
"DIRCE","nouveau","26-39-263-1-122T","262631122","Corniches Calcaires Du Departement Du Jura"
"DIRCE","nouveau","26-39-269-1-114T","262691114","Forêts d'altitude du Haut-Jura"
"DIRCE","nouveau","26-39-269-1-122T","262691122","Forêts d'altitude du Haut-Jura"
"DIRCE","nouveau","26-69-241-1-150T","262411150","La croix Rosier et la croix de Saburin"
"DIRCE","nouveau","26-74-271-1-142T","262711142","Vallee Des Usses"
"DIRCE","nouveau","26-74-281-1-126T","262811126","Grand Marais d'Orcier"
"DIRCE","nouveau","26-74-286-1-141T","262861141","La Combe À Claudius"
"DIRCE","nouveau","26-74-288-1-131T","262881131","Plateau De Loex"
"DIRCE","nouveau","26-74-290-1-133T","262901133","Combe de Vaconnant et du Secteur de Lédedian"
"DIRCE","visite2","21-01-264-1-147T","212641147","Protection Des Oiseaux Rupestres"
"DIRCE","visite2","21-01-266-1-153T","212661153","Protection Des Oiseaux Rupestres"
"DIRCE","visite2","21-01-268-1-135T","212681135","Protection Des Oiseaux Rupestres"
"DIRCE","visite2","21-01-269-1-134T","212691134","Protection Des Oiseaux Rupestres"
"DIRCE","visite2","21-07-258-1-207T","212581207","Massif de la dent de Rez"
"DIRCE","visite2","21-25-261-1-100T","212611100","Marais De Saône"
"DIRCE","visite2","21-25-263-1-106T","212631106","Corniches Calcaires Du D�partement Du Doubs"
"DIRCE","visite2","21-25-272-1-093T","212721093","Ecrevisse À Pattes Blanches Et Faune Patrimoniale Associée (25)"
"DIRCE","visite2","21-25-273-1-090T","212731090","Ecrevisse À Pattes Blanches Et Faune Patrimoniale Associée (25)"
"DIRCE","visite2","21-39-246-1-117T","212461117","Basse Vallée Du Doubs"
"DIRCE","visite2","21-39-264-1-117T","212641117","Corniches Calcaires Du Departement Du Jura"
"DIRNE","nouveau","26-10-216-1-087T","262161087","La Combe au loup"
"DIRNE","nouveau","26-54-240-1-055T","262401055","Vallon De L'Arrot"
"DIRNE","nouveau","26-68-271-1-066T","262711066","Le Kastelberg"
"DIRNE","nouveau","26-70-268-1-075T","262681075","Forêt De Saint-Antoine"
"DIRNE","nouveau","26-70-269-1-078T","262691078","Biotope De L'Écrevisse À Pattes Blanches Et De La Truite Fario"
"DIRNE","nouveau","26-89-212-1-113T","262121113","Ruisseau De Tancoin"
"DIRNE","visite2","21-10-215-1-078T","212151078","Anciennes Carrieres Souterraines D'Arsonval, Dolancourt & Bossancourt"
"DIRNE","visite2","21-59-175-1-016T","211751016","Massif Forestier De La Lanière"
"DIRNE","visite2","21-67-282-1-033T","212821033","Cours Inferieur De La Moder"
"DIRNE","visite2","21-67-283-1-032T","212831032","Cours Inferieur De La Moder"
"DIRNE","visite2","21-68-271-1-062T","212711062","Le Louschbach"
"DIRNE","visite2","21-68-273-1-068T","212731068","Langenfeldkopf Klintzkopf"
"DIRNE","visite2","21-68-277-1-072T","212771072","Champ D'Inondation De La Thur (Amont)"
"DIRNE","visite2","21-70-268-1-077T","212681077","Biotope De L'Écrevisse À Pattes Blanches Et De La Truite Fario"
"DIRNE","visite2","21-70-268-1-079T","212681079","Biotope De L'Écrevisse À Pattes Blanches Et De La Truite Fario"
"DIRNE","visite2","21-70-269-1-078T","212691078","Biotope De L'Écrevisse À Pattes Blanches Et De La Truite Fario"
"DIRNE","visite2","21-90-273-1-076T","212731076","Ruisseaux de Saint Nicolas, de la Sainte Catherine et du Reflet"
