"dir","type_point","npp","nph","camp"
"DIRCE","nouveau","26-63-199-1-180T","261991180","terrain de manoeuvres et casernement de bourg lastic"
"DIRCE","visite2","21-25-267-1-100T","212671100","camp du valdahon"
"DIRCE","visite2","21-26-263-1-172T","212631172","terrain de manoeuvre de chambaran"
"DIRCE","visite2","21-63-199-1-180T","211991180","terrain de manoeuvres et casernement de bourg lastic"
"DIRNE","nouveau","26-02-185-1-042T","261851042","camp de sissonne"
"DIRNE","nouveau","26-02-186-1-041T","261861041","camp de sissonne"
"DIRNE","nouveau","26-10-203-1-066T","262031066","camp de mailly"
"DIRNE","nouveau","26-10-204-1-069T","262041069","camp de mailly"
"DIRNE","nouveau","26-10-205-1-070T","262051070","camp de mailly"
"DIRNE","nouveau","26-21-234-1-101T","262341101","terrain militaire d' epagny"
"DIRNE","nouveau","26-51-196-1-049T","261961049","camp de moronvilliers"
"DIRNE","nouveau","26-51-197-1-048T","261971048","camp de moronvilliers"
"DIRNE","nouveau","26-51-199-1-052T","261991052","camp de mourmelon (camp de chalons)"
"DIRNE","nouveau","26-51-200-1-051T","262001051","camp de mourmelon (camp de chalons)"
"DIRNE","nouveau","26-51-201-1-050T","262011050","camp de mourmelon (camp de chalons)"
"DIRNE","nouveau","26-51-203-1-048T","262031048","Suippes"
"DIRNE","nouveau","26-51-204-1-047T","262041047","Suippes"
"DIRNE","nouveau","26-51-204-1-049T","262041049","Suippes"
"DIRNE","nouveau","26-51-204-1-067T","262041067","camp de mailly"
"DIRNE","nouveau","26-51-205-1-046T","262051046","Suippes"
"DIRNE","nouveau","26-51-205-1-068T","262051068","camp de mailly"
"DIRNE","nouveau","26-57-267-1-028T","262671028","Bitche"
"DIRNE","nouveau","26-57-268-1-027T","262681027","Bitche"
"DIRNE","nouveau","26-67-279-1-032T","262791032","camp dOberhausen"
"DIRNE","visite2","21-02-185-1-040T","211851040","camp de sissonne"
"DIRNE","visite2","21-02-185-1-042T","211851042","camp de sissonne"
"DIRNE","visite2","21-02-186-1-041T","211861041","camp de sissonne"
"DIRNE","visite2","21-10-203-1-070T","212031070","camp de mailly"
"DIRNE","visite2","21-10-204-1-069T","212041069","camp de mailly"
"DIRNE","visite2","21-10-205-1-070T","212051070","camp de mailly"
"DIRNE","visite2","21-21-234-1-101T","212341101","terrain militaire d' epagny"
"DIRNE","visite2","21-51-197-1-048T","211971048","camp de moronvilliers"
"DIRNE","visite2","21-51-199-1-052T","211991052","camp de mourmelon (camp de chalons)"
"DIRNE","visite2","21-51-203-1-048T","212031048","Suippes"
"DIRNE","visite2","21-51-204-1-067T","212041067","camp de mailly"
"DIRNE","visite2","21-51-205-1-046T","212051046","Suippes"
"DIRNE","visite2","21-51-205-1-048T","212051048","Suippes"
"DIRNE","visite2","21-51-205-1-068T","212051068","camp de mailly"
"DIRNE","visite2","21-57-267-1-028T","212671028","Bitche"
"DIRNE","visite2","21-67-280-1-039T","212801039","Enceinte militaire"
"DIRNO","nouveau","21-79-121-1-157R","211211157","???"
"DIRNO","nouveau","26-18-183-1-136T","261831136","polygone de bourges (dga)"
"DIRNO","nouveau","26-18-187-1-136T","261871136","polygone de bourges (dga)"
"DIRNO","nouveau","26-37-134-1-145T","261341145","Le Ruchard"
"DIRNO","nouveau","26-49-124-1-149T","261241149","camp de fontevraud"
"DIRNO","nouveau","26-56-065-1-136T","260651136","camp de coetquidan"
"DIRNO","nouveau","26-56-065-1-138T","260651138","camp de coetquidan"
"DIRNO","nouveau","26-56-066-1-137T","260661137","camp de coetquidan"
"DIRNO","nouveau","26-91-158-1-085T","261581085","Enceinte militaire"
"DIRNO","visite2","21-18-183-1-136T","211831136","polygone de bourges (dga)"
"DIRNO","visite2","21-27-137-1-074T","211371074","Enceinte militaire"
"DIRNO","visite2","21-56-066-1-137T","210661137","camp de coetquidan"
"DIRSE","nouveau","21-83-312-1-215R","213121215","camp de canjuers"
"DIRSE","nouveau","26-30-260-1-225T","262601225","camp des garrigues"
"DIRSE","nouveau","26-81-216-1-253T","262161253","Enceinte militaire"
"DIRSE","nouveau","26-83-310-1-215T","263101215","camp de canjuers"
"DIRSE","nouveau","26-83-312-1-215T","263121215","camp de canjuers"
"DIRSE","nouveau","26-83-314-1-213T","263141213","camp de canjuers"
"DIRSE","nouveau","26-83-316-1-211T","263161211","camp de canjuers"
"DIRSE","nouveau","26-83-316-1-219T","263161219","nouradon"
"DIRSE","nouveau","26-83-318-1-211T","263181211","camp de canjuers"
"DIRSE","nouveau","26-83-318-1-217T","263181217","terrain lieutenant bergerol"
"DIRSE","visite2","21-13-280-1-231T","212801231","base aerienne distres (BA 125)"
