"dir","type_point","npp","nph","nom"
"DIRCE","nouveau","26-38-285-1-170T","262851170","Ecrins [aire d'adhésion]"
"DIRCE","nouveau","26-38-287-1-172T","262871172","Ecrins [aire d'adhésion]"
"DIRCE","nouveau","26-38-288-1-173T","262881173","Ecrins [aire d'adhésion]"
"DIRCE","nouveau","26-73-293-1-156T","262931156","Vanoise  [aire d'adhésion]"
"DIRCE","nouveau","26-73-300-1-159T","263001159","Vanoise"
"DIRCE","visite2","21-38-286-1-171T","212861171","Ecrins [aire d'adhésion]"
"DIRCE","visite2","21-38-286-1-173T","212861173","Ecrins [aire d'adhésion]"
"DIRCE","visite2","21-38-287-1-176T","212871176","Ecrins"
"DIRCE","visite2","21-38-289-1-178T","212891178","Ecrins [aire d'adhésion]"
"DIRCE","visite2","21-38-290-1-173T","212901173","Ecrins [aire d'adhésion]"
"DIRCE","visite2","21-38-290-1-179T","212901179","Ecrins [aire d'adhésion]"
"DIRCE","visite2","21-73-293-1-156T","212931156","Vanoise  [aire d'adhésion]"
"DIRCE","visite2","21-73-298-1-149T","212981149","Vanoise  [aire d'adhésion]"
"DIRNE","nouveau","26-21-219-1-088T","262191088","Forêts [aire d'adhésion]"
"DIRNE","nouveau","26-21-220-1-093T","262201093","Forêts"
"DIRNE","nouveau","26-21-221-1-090T","262211090","Forêts [aire d'adhésion]"
"DIRNE","nouveau","26-21-221-1-092T","262211092","Forêts"
"DIRNE","nouveau","26-21-221-1-094T","262211094","Forêts"
"DIRNE","nouveau","26-21-221-1-096T","262211096","Forêts [aire d'adhésion]"
"DIRNE","nouveau","26-21-222-1-093T","262221093","Forêts"
"DIRNE","nouveau","26-21-223-1-088T","262231088","Forêts"
"DIRNE","nouveau","26-21-223-1-090T","262231090","Forêts"
"DIRNE","nouveau","26-21-223-1-092T","262231092","Forêts"
"DIRNE","nouveau","26-21-223-1-094T","262231094","Forêts"
"DIRNE","nouveau","26-21-224-1-087T","262241087","Forêts [aire d'adhésion]"
"DIRNE","nouveau","26-21-224-1-093T","262241093","Forêts"
"DIRNE","nouveau","26-21-224-1-095T","262241095","Forêts [aire d'adhésion]"
"DIRNE","nouveau","26-21-224-1-097T","262241097","Forêts [aire d'adhésion]"
"DIRNE","nouveau","26-21-225-1-088T","262251088","Forêts"
"DIRNE","nouveau","26-21-225-1-092T","262251092","Forêts"
"DIRNE","nouveau","26-21-225-1-094T","262251094","Forêts [aire d'adhésion]"
"DIRNE","nouveau","26-21-225-1-096T","262251096","Forêts [aire d'adhésion]"
"DIRNE","nouveau","26-21-225-1-098T","262251098","Forêts [aire d'adhésion]"
"DIRNE","nouveau","26-21-226-1-089T","262261089","Forêts"
"DIRNE","nouveau","26-21-226-1-093T","262261093","Forêts"
"DIRNE","nouveau","26-21-227-1-096T","262271096","Forêts [aire d'adhésion]"
"DIRNE","nouveau","26-21-227-1-098T","262271098","Forêts [aire d'adhésion]"
"DIRNE","nouveau","26-21-228-1-097T","262281097","Forêts [aire d'adhésion]"
"DIRNE","nouveau","26-21-228-1-099T","262281099","Forêts [aire d'adhésion]"
"DIRNE","nouveau","26-21-230-1-095T","262301095","Forêts [aire d'adhésion]"
"DIRNE","nouveau","26-21-231-1-096T","262311096","Forêts [aire d'adhésion]"
"DIRNE","nouveau","26-21-232-1-095T","262321095","Forêts [aire d'adhésion]"
"DIRNE","nouveau","26-52-223-1-084T","262231084","Forêts [aire d'adhésion]"
"DIRNE","nouveau","26-52-223-1-086T","262231086","Forêts [aire d'adhésion]"
"DIRNE","nouveau","26-52-224-1-085T","262241085","Forêts [aire d'adhésion]"
"DIRNE","nouveau","26-52-225-1-084T","262251084","Forêts"
"DIRNE","nouveau","26-52-227-1-084T","262271084","Forêts"
"DIRNE","nouveau","26-52-227-1-088T","262271088","Forêts"
"DIRNE","nouveau","26-52-228-1-083T","262281083","Forêts [aire d'adhésion]"
"DIRNE","nouveau","26-52-228-1-085T","262281085","Forêts [aire d'adhésion]"
"DIRNE","nouveau","26-52-228-1-087T","262281087","Forêts"
"DIRNE","nouveau","26-52-229-1-084T","262291084","Forêts"
"DIRNE","nouveau","26-52-229-1-088T","262291088","Forêts"
"DIRNE","nouveau","26-52-229-1-090T","262291090","Forêts"
"DIRNE","nouveau","26-52-230-1-089T","262301089","Forêts"
"DIRNE","nouveau","26-52-230-1-093T","262301093","Forêts [aire d'adhésion]"
"DIRNE","nouveau","26-52-231-1-082T","262311082","Forêts [aire d'adhésion]"
"DIRNE","nouveau","26-52-231-1-084T","262311084","Forêts [aire d'adhésion]"
"DIRNE","nouveau","26-52-231-1-086T","262311086","Forêts [aire d'adhésion]"
"DIRNE","nouveau","26-52-231-1-090T","262311090","Forêts"
"DIRNE","nouveau","26-52-232-1-083T","262321083","Forêts [aire d'adhésion]"
"DIRNE","nouveau","26-52-232-1-087T","262321087","Forêts"
"DIRNE","nouveau","26-52-232-1-089T","262321089","Forêts"
"DIRNE","nouveau","26-52-232-1-091T","262321091","Forêts [aire d'adhésion]"
"DIRNE","nouveau","26-52-232-1-093T","262321093","Forêts [aire d'adhésion]"
"DIRNE","nouveau","26-52-233-1-088T","262331088","Forêts [aire d'adhésion]"
"DIRNE","nouveau","26-52-233-1-092T","262331092","Forêts"
"DIRNE","nouveau","26-52-235-1-082T","262351082","Forêts [aire d'adhésion]"
"DIRNE","nouveau","26-52-235-1-092T","262351092","Forêts [aire d'adhésion]"
"DIRNE","nouveau","26-52-237-1-092T","262371092","Forêts [aire d'adhésion]"
"DIRNE","visite2","21-21-218-1-093T","212181093","Forêts [aire d'adhésion]"
"DIRNE","visite2","21-21-219-1-088T","212191088","Forêts [aire d'adhésion]"
"DIRNE","visite2","21-21-220-1-093T","212201093","Forêts"
"DIRNE","visite2","21-21-221-1-088T","212211088","Forêts [aire d'adhésion]"
"DIRNE","visite2","21-21-221-1-090T","212211090","Forêts [aire d'adhésion]"
"DIRNE","visite2","21-21-221-1-094T","212211094","Forêts"
"DIRNE","visite2","21-21-222-1-093T","212221093","Forêts"
"DIRNE","visite2","21-21-223-1-090T","212231090","Forêts"
"DIRNE","visite2","21-21-223-1-092T","212231092","Forêts [aire d'adhésion]"
"DIRNE","visite2","21-21-223-1-094T","212231094","Forêts"
"DIRNE","visite2","21-21-224-1-087T","212241087","Forêts [aire d'adhésion]"
"DIRNE","visite2","21-21-224-1-089T","212241089","Forêts [aire d'adhésion]"
"DIRNE","visite2","21-21-224-1-091T","212241091","Forêts"
"DIRNE","visite2","21-21-224-1-093T","212241093","Forêts"
"DIRNE","visite2","21-21-224-1-097T","212241097","Forêts [aire d'adhésion]"
"DIRNE","visite2","21-21-225-1-088T","212251088","Forêts"
"DIRNE","visite2","21-21-225-1-090T","212251090","Forêts"
"DIRNE","visite2","21-21-225-1-092T","212251092","Forêts"
"DIRNE","visite2","21-21-225-1-096T","212251096","Forêts [aire d'adhésion]"
"DIRNE","visite2","21-21-226-1-089T","212261089","Forêts [aire d'adhésion]"
"DIRNE","visite2","21-21-226-1-093T","212261093","Forêts [aire d'adhésion]"
"DIRNE","visite2","21-21-226-1-097T","212261097","Forêts [aire d'adhésion]"
"DIRNE","visite2","21-21-228-1-093T","212281093","Forêts [aire d'adhésion]"
"DIRNE","visite2","21-21-228-1-095T","212281095","Forêts [aire d'adhésion]"
"DIRNE","visite2","21-21-229-1-098T","212291098","Forêts [aire d'adhésion]"
"DIRNE","visite2","21-21-231-1-094T","212311094","Forêts [aire d'adhésion]"
"DIRNE","visite2","21-21-231-1-096T","212311096","Forêts [aire d'adhésion]"
"DIRNE","visite2","21-21-232-1-095T","212321095","Forêts [aire d'adhésion]"
"DIRNE","visite2","21-52-223-1-084T","212231084","Forêts [aire d'adhésion]"
"DIRNE","visite2","21-52-223-1-086T","212231086","Forêts [aire d'adhésion]"
