"dir","type_point","npp","nph","nom"
"DIRCE","nouveau","21-01-268-1-134R","212681134","Haut-Jura"
"DIRCE","nouveau","21-26-273-1-181R","212731181","Vercors"
"DIRCE","nouveau","21-38-278-1-179R","212781179","Vercors"
"DIRCE","nouveau","21-63-233-1-175R","212331175","Livradois-Forez"
"DIRCE","nouveau","26-01-266-1-137T","262661137","Haut-Jura"
"DIRCE","nouveau","26-01-267-1-134T","262671134","Haut-Jura"
"DIRCE","nouveau","26-01-267-1-136T","262671136","Haut-Jura"
"DIRCE","nouveau","26-01-268-1-133T","262681133","Haut-Jura"
"DIRCE","nouveau","26-01-268-1-135T","262681135","Haut-Jura"
"DIRCE","nouveau","26-01-268-1-137T","262681137","Haut-Jura"
"DIRCE","nouveau","26-01-269-1-132T","262691132","Haut-Jura"
"DIRCE","nouveau","26-01-269-1-134T","262691134","Haut-Jura"
"DIRCE","nouveau","26-01-269-1-136T","262691136","Haut-Jura"
"DIRCE","nouveau","26-01-269-1-138T","262691138","Haut-Jura"
"DIRCE","nouveau","26-01-270-1-129T","262701129","Haut-Jura"
"DIRCE","nouveau","26-01-270-1-133T","262701133","Haut-Jura"
"DIRCE","nouveau","26-01-270-1-137T","262701137","Haut-Jura"
"DIRCE","nouveau","26-01-271-1-128T","262711128","Haut-Jura"
"DIRCE","nouveau","26-01-271-1-136T","262711136","Haut-Jura"
"DIRCE","nouveau","26-01-272-1-129T","262721129","Haut-Jura"
"DIRCE","nouveau","26-07-245-1-196T","262451196","Monts d'Ardèche"
"DIRCE","nouveau","26-07-246-1-197T","262461197","Monts d'Ardèche"
"DIRCE","nouveau","26-07-246-1-199T","262461199","Monts d'Ardèche"
"DIRCE","nouveau","26-07-246-1-201T","262461201","Monts d'Ardèche"
"DIRCE","nouveau","26-07-246-1-203T","262461203","Monts d'Ardèche"
"DIRCE","nouveau","26-07-246-1-205T","262461205","Monts d'Ardèche"
"DIRCE","nouveau","26-07-247-1-188T","262471188","Monts d'Ardèche"
"DIRCE","nouveau","26-07-247-1-190T","262471190","Monts d'Ardèche"
"DIRCE","nouveau","26-07-247-1-192T","262471192","Monts d'Ardèche"
"DIRCE","nouveau","26-07-247-1-194T","262471194","Monts d'Ardèche"
"DIRCE","nouveau","26-07-247-1-198T","262471198","Monts d'Ardèche"
"DIRCE","nouveau","26-07-248-1-189T","262481189","Monts d'Ardèche"
"DIRCE","nouveau","26-07-248-1-193T","262481193","Monts d'Ardèche"
"DIRCE","nouveau","26-07-248-1-197T","262481197","Monts d'Ardèche"
"DIRCE","nouveau","26-07-248-1-203T","262481203","Monts d'Ardèche"
"DIRCE","nouveau","26-07-248-1-205T","262481205","Monts d'Ardèche"
"DIRCE","nouveau","26-07-249-1-188T","262491188","Monts d'Ardèche"
"DIRCE","nouveau","26-07-250-1-189T","262501189","Monts d'Ardèche"
"DIRCE","nouveau","26-07-250-1-191T","262501191","Monts d'Ardèche"
"DIRCE","nouveau","26-07-250-1-193T","262501193","Monts d'Ardèche"
"DIRCE","nouveau","26-07-250-1-197T","262501197","Monts d'Ardèche"
"DIRCE","nouveau","26-07-250-1-201T","262501201","Monts d'Ardèche"
"DIRCE","nouveau","26-07-250-1-203T","262501203","Monts d'Ardèche"
"DIRCE","nouveau","26-07-250-1-205T","262501205","Monts d'Ardèche"
"DIRCE","nouveau","26-07-251-1-186T","262511186","Monts d'Ardèche"
