"dir","type_point","npp","nph","id_ech","id_point","nom_site","type_reserve"
"DIRCE","visite2","21-07-250-1-203T",212501203,145,1063583,"Grand Tanargue (Du)","integrale"
"DIRCE","visite2","21-74-282-1-139T",212821139,145,1074815,"Montagne Des Fretes (De La)","dirigee"
"DIRNE","nouveau","26-57-267-1-046T",262671046,144,1336382,"Grossmann (Du)","dirigee"
"DIRNE","nouveau","26-67-268-1-047T",262681047,144,1342077,"Grossmann (Du)","dirigee"
"DIRNE","nouveau","26-88-271-1-062T",262711062,144,1353402,"Deux Lacs (Des)","dirigee"
"DIRNE","visite2","21-54-265-1-050T",212651050,145,1077116,"Hauts De Bousson (Des)","dirigee"
"DIRNE","visite2","21-57-268-1-047T",212681047,145,1077684,"Grossmann (Du)","dirigee"
"DIRNE","visite2","21-68-273-1-068T",212731068,145,1077440,"Guebwiller (De)","dirigee"
"DIRNE","visite2","21-67-281-1-038T",212811038,145,1078841,"La Wantzenau (De)","dirigee"
"DIRNO","nouveau","26-79-124-1-187T",261241187,144,1348121,"Sylve D'Argenson (De La)","integrale"
"DIRNO","nouveau","26-91-157-1-080T",261571080,144,1354249,"Verrieres (De)","integrale"
"DIRSE","nouveau","26-04-308-1-191T",263081191,144,1302103,"Laverq (Du)","dirigee"
"DIRSE","nouveau","26-04-310-1-191T",263101191,144,1302162,"DE LA TELLIERE - PALUEL","integrale"
"DIRSE","visite2","21-84-282-1-221T",212821221,145,1069212,"Petit Luberon (Du)","integrale"
"DIRSE","visite2","21-83-302-1-231T",213021231,145,1072705,"Sainte-Baume (De La)","dirigee"
"DIRSE","visite2","21-83-318-1-229T",213181229,145,1075941,"Maures (Des)","integrale"
