"dir","type_point","npp","nph","type_res","nom_site"
"DIRCE","nouveau","26-01-269-1-132T","262691132","réserve naturelle nationale","Haute Chaîne du Jura"
"DIRCE","nouveau","26-01-269-1-134T","262691134","réserve naturelle nationale","Haute Chaîne du Jura"
"DIRCE","nouveau","26-01-269-1-136T","262691136","réserve naturelle nationale","Haute Chaîne du Jura"
"DIRCE","nouveau","26-01-271-1-128T","262711128","réserve naturelle nationale","Haute Chaîne du Jura"
"DIRCE","nouveau","26-03-207-1-146T","262071146","réserve naturelle nationale","Val D'Allier"
"DIRCE","nouveau","26-15-195-1-204T","261951204","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","nouveau","26-15-196-1-199T","261961199","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","nouveau","26-15-196-1-209T","261961209","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","nouveau","26-15-197-1-196T","261971196","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","nouveau","26-15-197-1-198T","261971198","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","nouveau","26-15-197-1-204T","261971204","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","nouveau","26-15-197-1-206T","261971206","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","nouveau","26-15-197-1-208T","261971208","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","nouveau","26-15-198-1-191T","261981191","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","nouveau","26-15-198-1-201T","261981201","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","nouveau","26-15-198-1-205T","261981205","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","nouveau","26-15-199-1-192T","261991192","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","nouveau","26-15-199-1-194T","261991194","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","nouveau","26-15-199-1-210T","261991210","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","nouveau","26-15-200-1-189T","262001189","réserve biosphère","Bassin de la Dordogne (zone tampon)"
"DIRCE","nouveau","26-15-200-1-201T","262001201","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","nouveau","26-15-200-1-205T","262001205","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","nouveau","26-15-200-1-209T","262001209","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","nouveau","26-15-201-1-190T","262011190","réserve biosphère","Bassin de la Dordogne (zone tampon)"
"DIRCE","nouveau","26-15-201-1-194T","262011194","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","nouveau","26-15-201-1-202T","262011202","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","nouveau","26-15-201-1-208T","262011208","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","nouveau","26-15-202-1-199T","262021199","réserve biosphère","Bassin de la Dordogne (zone tampon)"
"DIRCE","nouveau","26-15-202-1-203T","262021203","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","nouveau","26-15-203-1-190T","262031190","réserve biosphère","Bassin de la Dordogne (zone tampon)"
"DIRCE","nouveau","26-15-203-1-208T","262031208","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","nouveau","26-15-203-1-210T","262031210","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","nouveau","26-15-204-1-191T","262041191","réserve biosphère","Bassin de la Dordogne (zone tampon)"
"DIRCE","nouveau","26-15-204-1-193T","262041193","réserve biosphère","Bassin de la Dordogne (zone tampon)"
"DIRCE","nouveau","26-15-204-1-197T","262041197","réserve biosphère","Bassin de la Dordogne (zone tampon)"
"DIRCE","nouveau","26-15-204-1-199T","262041199","réserve biosphère","Bassin de la Dordogne (zone tampon)"
"DIRCE","nouveau","26-15-205-1-190T","262051190","réserve biosphère","Bassin de la Dordogne (zone tampon)"
"DIRCE","nouveau","26-15-205-1-192T","262051192","réserve biosphère","Bassin de la Dordogne (zone tampon)"
"DIRCE","nouveau","26-15-205-1-200T","262051200","réserve biosphère","Bassin de la Dordogne (zone tampon)"
"DIRCE","nouveau","26-15-205-1-202T","262051202","réserve biosphère","Bassin de la Dordogne (zone tampon)"
"DIRCE","nouveau","26-15-205-1-204T","262051204","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","nouveau","26-15-205-1-206T","262051206","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","nouveau","26-15-205-1-208T","262051208","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","nouveau","26-15-206-1-201T","262061201","réserve biosphère","Bassin de la Dordogne (zone tampon)"
"DIRCE","nouveau","26-15-206-1-207T","262061207","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","nouveau","26-15-207-1-198T","262071198","réserve biosphère","Bassin de la Dordogne (zone tampon)"
"DIRCE","nouveau","26-15-207-1-202T","262071202","réserve biosphère","Bassin de la Dordogne (zone tampon)"
"DIRCE","nouveau","26-15-207-1-206T","262071206","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","nouveau","26-15-208-1-191T","262081191","réserve biosphère","Bassin de la Dordogne (zone tampon)"
"DIRCE","nouveau","26-15-208-1-197T","262081197","réserve biosphère","Bassin de la Dordogne (zone tampon)"
"DIRCE","nouveau","26-15-209-1-202T","262091202","réserve biosphère","Bassin de la Dordogne (zone tampon)"
"DIRCE","nouveau","26-26-276-1-183T","262761183","réserve naturelle nationale","Hauts Plateaux Du Vercors"
"DIRCE","nouveau","26-26-278-1-187T","262781187","réserve naturelle nationale","Hauts Plateaux Du Vercors"
"DIRCE","nouveau","26-38-268-1-155T","262681155","réserve naturelle nationale","Haut-Rhône Français"
"DIRCE","nouveau","26-38-269-1-156T","262691156","réserve naturelle nationale","Haut-Rhône Français"
