dep,dir,ex
01,,04
02,,06
03,,04
04,,05
05,,05
06,,05
07,,04
08,,06
09,,05
10,,06
11,,05
12,,05
13,,05
14,,02
15,,04
16,,01
17,,01
18,,02
19,,01
21,,06
22,,02
23,,01
24,,01
25,,04
26,,05
27,,02
28,,02
29,,02
2A,,03
2B,,03
30,,05
31,,01
32,,01
33,,01
34,,05
35,,02
36,,02
37,,02
38,,04
39,,04
40,,01
41,,02
42,,04
43,,04
44,,02
45,,02
46,,01
47,,01
48,,05
49,,02
50,,02
51,,06
52,,06
53,,02
54,,06
55,,06
56,,02
57,,06
58,,06
59,,06
60,,02
61,,02
62,,02
63,,04
64,,01
65,,01
66,,05
67,,06
68,,06
69,,04
70,,06
71,,04
72,,02
73,,04
74,,04
75,,02
76,,02
77,,02
78,,02
79,,02
80,,02
81,,05
82,,01
83,,05
84,,05
85,,02
86,,02
87,,01
88,,06
89,,06
90,,06
91,,02
92,,02
93,,02
94,,02
95,,02
