id_grille;id_noeud;zp
1;3;21.71
1;4;24.52
1;9;34.2
1;13;25.25
1;17;35.69
1;23;29.61
1;27;-4264.79
1;33;53.79
1;38;31.05
1;45;9.67
1;50;52.03
1;57;48.0
1;62;91.43
1;67;67.7
1;70;33.49
1;75;45.93
1;87;45.16
1;92;75.46
1;100;74.81
1;105;95.65
1;109;45.43
1;113;66.58
1;118;80.03
1;127;41.15
1;132;51.73
1;137;58.93
1;146;81.19
1;151;40.41
1;156;36.84
1;161;77.43
1;166;87.58
1;171;-36576.55
1;174;86.72
1;179;54.36
1;184;95.25
1;189;77.03
1;191;16.65
1;197;7.53
1;198;40.1
1;203;92.71
1;208;57.67
1;214;70.29
1;220;44.55
1;225;41.55
1;234;55.55
1;238;19.96
1;243;87.8
1;248;42.56
1;252;25.1
1;261;30.89
1;266;86.22
1;271;55.45
1;278;48.88
1;283;88.3
1;285;48.96
1;290;52.42
1;295;58.01
1;303;45.61
1;307;57.78
1;311;12.59
1;315;66.76
1;320;82.9
1;327;61.48
1;330;57.42
1;335;46.36
1;340;17.45
1;345;88.55
1;350;48.39
1;359;86.11
1;364;33.47
1;369;77.89
1;374;51.68
1;381;57.56
1;387;28.1
1;392;56.32
1;397;72.39
1;401;54.29
1;403;65.41
1;408;75.35
1;413;42.97
1;418;83.45
1;423;70.06
1;430;71.13
1;436;45.28
1;441;83.57
1;446;86.59
1;454;46.48
1;459;9.75
1;460;60.41
1;465;67.66
1;470;91.23
1;473;54.35
1;476;84.36
1;480;72.5
1;485;58.5
1;490;3.81
1;495;34.91
1;500;94.77
1;504;28.38
1;506;17.21
1;509;76.77
1;514;88.17
1;519;11.92
1;525;50.81
1;530;76.05
1;544;32.23
1;549;41.31
1;559;63.33
1;564;78.57
1;569;63.46
1;573;48.32
1;575;21.4
1;579;66.92
1;584;60.26
1;589;22.58
1;594;11.81
1;599;56.79
1;604;86.29
1;608;95.54
1;610;52.91
1;614;32.99
1;619;109.97
1;624;37.49
1;629;13.08
1;631;9.24
1;636;56.38
1;641;92.5
1;646;90.26
1;653;39.61
1;658;85.18
1;663;56.73
1;668;35.7
1;674;72.16
1;679;65.11
1;684;47.1
1;690;78.72
1;694;52.56
1;699;104.14
1;704;26.53
1;711;38.8
1;716;48.22
1;721;93.39
1;726;99.97
1;730;50.91
1;735;118.35
1;740;63.35
1;745;16.66
1;747;7.47
1;752;63.7
1;757;96.0
1;762;62.44
1;764;67.27
1;769;23.55
1;773;107.19
1;778;55.78
1;783;26.15
1;790;49.29
1;795;73.29
1;800;61.65
1;804;6.61
1;808;150.32
1;814;120.64
1;819;76.01
1;824;8.44
1;832;12.37
1;837;76.91
1;842;67.83
1;846;13.35
1;850;74.16
1;855;45.14
1;859;13.23
1;864;107.27
1;869;24.64
1;874;12.03
1;876;11.85
1;881;67.74
1;886;86.22
1;890;68.27
1;898;101.58
1;903;65.82
1;908;97.79
1;913;57.15
1;918;20.14
1;921;6.65
1;926;64.46
1;931;100.09
1;936;93.53
1;941;26.82
1;946;131.48
1;951;46.94
1;956;137.53
1;961;76.68
1;966;13.19
1;972;63.61
1;977;81.37
1;982;87.35
1;986;48.8
1;988;22.24
1;993;54.85
1;998;68.87
1;1003;82.48
1;1008;23.09
1;1013;5.29
1;1014;2.82
1;1019;67.91
1;1024;49.98
1;1029;7.63
1;1033;69.69
1;1038;101.05
1;1043;139.82
1;1048;140.34
1;1053;48.5
1;1057;13.09
1;1063;34.91
1;1068;103.57
1;1073;75.32
1;1078;41.67
1;1083;184.18
1;1088;88.14
1;1093;124.06
1;1098;61.61
1;1105;58.24
1;1110;91.44
1;1115;178.35
1;1120;83.28
1;1124;21.84
1;1129;76.02
1;1134;107.78
1;1139;85.88
1;1144;26.37
1;1147;34.64
1;1152;88.27
1;1157;119.03
1;1162;86.92
1;1167;94.33
1;1172;69.54
1;1177;161.32
1;1182;131.63
1;1187;29.05
1;1195;87.93
1;1200;39.03
1;1205;72.61
1;1210;12.32
1;1215;59.21
1;1220;114.17
1;1225;88.69
1;1230;42.27
1;1238;73.07
1;1243;91.52
1;1248;151.18
1;1253;82.2
1;1258;90.0
1;1263;101.77
1;1268;136.21
1;1273;46.11
1;1277;15.05
1;1280;68.73
1;1285;99.07
1;1290;154.22
1;1295;84.55
1;1300;144.08
1;1304;111.99
1;1309;146.15
1;1314;30.77
1;1319;33.45
1;1322;4.33
1;1327;82.57
1;1332;134.67
1;1337;108.28
1;1342;41.41
1;1347;151.62
1;1352;117.93
1;1357;26.7
1;1362;41.39
1;1366;21.29
1;1371;94.52
1;1376;43.92
1;1381;54.09
1;1386;74.63
1;1391;87.12
1;1396;81.0
1;1401;70.66
1;1406;12.14
1;1411;7.07
1;1415;73.68
1;1420;108.57
1;1425;111.63
1;1430;112.82
1;1435;31.39
1;1440;192.89
1;1445;69.62
1;1450;75.37
1;1455;24.56
1;1459;42.4
1;1464;101.29
1;1469;133.24
1;1474;125.11
1;1479;129.07
1;1484;6.38
1;1489;77.83
1;1494;41.44
1;1499;31.14
1;1504;27.94
1;1509;101.85
1;1514;34.86
1;1519;98.82
1;1524;109.98
1;1529;66.48
1;1534;144.07
1;1539;123.15
1;1544;25.85
1;1549;8.15
1;1555;85.56
1;1560;74.42
1;1565;108.18
1;1570;182.18
1;1575;93.05
1;1580;132.85
1;1585;115.81
1;1590;64.6
1;1595;56.82
1;1601;57.17
1;1606;105.16
1;1611;119.02
1;1616;189.13
1;1621;45.61
1;1626;26.12
1;1631;129.22
1;1636;77.18
1;1641;43.35
1;1647;45.12
1;1652;102.69
1;1657;99.94
1;1662;96.88
1;1667;194.6
1;1672;89.7
1;1677;155.15
1;1682;88.52
1;1687;58.85
1;1692;5.43
1;1693;18.76
1;1698;66.13
1;1703;85.37
1;1708;137.47
1;1713;307.49
1;1718;97.88
1;1723;170.04
1;1728;127.79
1;1733;92.44
1;1738;6.7
1;1743;38.59
1;1748;123.58
1;1753;149.83
1;1758;252.85
1;1763;83.79
1;1768;96.0
1;1773;127.09
1;1778;61.87
1;1783;16.49
1;1786;50.0
1;1791;84.25
1;1796;122.14
1;1801;185.05
1;1806;105.93
1;1811;56.6
1;1816;160.53
1;1821;112.55
1;1826;96.23
1;1830;12.93
1;1835;86.06
1;1840;68.36
1;1845;156.76
1;1850;194.15
1;1855;122.38
1;1860;132.22
1;1865;78.83
1;1870;94.18
1;1879;51.27
1;1884;119.55
1;1889;185.79
1;1894;193.05
1;1899;136.98
1;1904;59.4
1;1909;148.53
1;1914;62.77
1;1919;53.3
1;1924;44.22
1;1929;88.64
1;1934;138.02
1;1939;258.9
1;1944;70.33
1;1949;57.08
1;1954;152.45
1;1959;118.25
1;1964;65.62
1;1971;32.75
1;1976;86.51
1;1981;110.57
1;1986;220.01
1;1991;165.59
1;1996;126.94
1;2001;180.98
1;2006;113.93
1;2011;154.49
1;2016;13.62
1;2019;46.01
1;2024;68.03
1;2029;104.15
1;2034;171.34
1;2039;280.81
1;2044;151.51
1;2049;73.99
1;2054;155.3
1;2059;117.15
1;2064;74.7
1;2071;58.03
1;2076;111.76
1;2081;146.5
1;2086;270.98
1;2091;104.3
1;2096;97.26
1;2101;126.05
1;2106;124.68
1;2111;87.03
1;2116;12.81
1;2119;12.54
1;2124;71.01
1;2129;133.26
1;2134;296.25
1;2139;102.75
1;2144;119.24
1;2149;197.51
1;2154;161.31
1;2159;151.99
1;2164;16.11
1;2170;27.69
1;2175;119.31
1;2180;182.51
1;2185;285.56
1;2190;139.51
1;2195;78.63
1;2200;122.08
1;2205;117.84
1;2210;79.5
1;2215;5.92
1;2217;58.19
1;2222;97.81
1;2227;172.88
1;2232;230.07
1;2237;159.46
1;2242;97.35
1;2247;116.58
1;2252;141.72
1;2257;95.2
1;2262;23.24
1;2264;22.5
1;2269;94.02
1;2274;200.12
1;2279;266.18
1;2284;170.65
1;2289;84.66
1;2294;216.06
1;2299;155.58
1;2304;138.84
1;2309;40.8
1;2316;82.42
1;2321;133.21
1;2326;296.16
1;2331;285.82
1;2336;119.68
1;2341;126.89
1;2346;202.17
1;2351;125.47
1;2356;82.93
1;2361;14.57
1;2362;36.08
1;2367;121.62
1;2372;222.45
1;2377;228.51
1;2382;152.5
1;2387;129.47
1;2392;127.23
1;2397;135.01
1;2402;84.52
1;2407;38.28
1;2412;71.75
1;2417;203.65
1;2422;276.41
1;2427;135.78
1;2432;128.38
1;2437;133.5
1;2442;145.67
1;2447;93.43
1;2452;41.51
1;2458;76.63
1;2463;127.54
1;2468;269.13
1;2473;228.82
1;2478;138.28
1;2483;271.38
1;2488;177.85
1;2493;131.26
1;2498;84.15
1;2504;21.77
1;2509;109.93
1;2514;213.98
1;2519;230.98
1;2524;155.61
1;2529;97.85
1;2534;237.94
1;2539;168.83
1;2544;61.63
1;2549;18.24
1;2553;64.19
1;2558;89.2
1;2563;188.72
