"CODESP";"U_EFDAC"
"0001";"026.001.006"
"0004";"081.004.001"
"0005";"095.001.003"
"0006";"095.001.013"
"0007";"095.001.015"
"0008";"095.001.008"
"0009";"095.001.001"
"0010";"095.001.005"
"0054";"097.001.001"
"0084";"090.001.001"
"0157";"034.002.005"
"0158";"034.002.002"
"0159";"034.002.004"
"0160";"034.002.001"
"0211";"080.030.001"
"0352";"132.012.001"
"0591";"063.005.001"
"0598";"034.001.004"
"0599";"034.001.002"
"0600";"034.001.001"
"0675";"999"
"0716";"102.001.001"
"0946";"035.001.001"
"0954";"036.003.001"
"0956";"999"
"0964";"037.003.001"
"1034";"081.002.001"
"1039";"081.001.001"
"1157";"999"
"1158";"999"
"1159";"999"
"1219";"127.001.004"
"1220";"127.001.001"
"1244";"035.003.001"
"1258";"080.034.021"
"1260";"080.034.014"
"1261";"080.034.005"
"1317";"028.001.001"
"1332";"999"
"1455";"999"
"1456";"999"
"1520";"999"
"1582";"132.001.009"
"1589";"132.001.016"
"1660";"121.002.007"
"1738";"100.001.001"
"1742";"036.001.001"
"1783";"038.004.001"
"1802";"999"
"1803";"139.004.003"
"1804";"139.004.001"
"1805";"139.004.004"
"2126";"108.001.001"
"2214";"099.001.001"
"2278";"033.001.002"
"2312";"028.005.002"
"2313";"028.005.003"
"2314";"028.005.006"
"2315";"028.005.010"
"2316";"028.005.007"
"2357";"081.008.001"
"2358";"081.008.002"
"2384";"026.005.002"
"2425";"065.001.001"
"2484";"139.006.001"
"2558";"064.001.001"
"2832";"038.002.002"
"2833";"038.002.001"
"2859";"121.001.001"
"2947";"139.007.001"
"3081";"035.002.001"
"3142";"154.999.999"
"3217";"139.008.001"
"3218";"139.008.002"
"3256";"026.004.001"
"3275";"026.007.014"
"3276";"998"
"3277";"026.007.006"
"3278";"026.007.009"
"3279";"026.007.002"
"3280";"026.007.013"
"3281";"026.007.007"
"3282";"026.007.018"
"3289";"080.026.008"
"3290";"080.026.004"
"3291";"080.027.003"
"3292";"999"
"3293";"094.003.004"
"3294";"094.003.002"
"3295";"999"
"3323";"999"
"3324";"999"
"3325";"079.001.001"
"3403";"031.002.001"
"3405";"031.002.002"
"3406";"031.002.008"
"3407";"031.002.004"
"3497";"080.035.002"
"3498";"080.035.005"
"3499";"080.035.014"
"3500";"999"
"3501";"080.035.007"
"3502";"080.035.015"
"3503";"080.035.010"
"3505";"080.035.020"
"3506";"080.035.016"
"3508";"080.035.017"
"3509";"080.035.001"
"3511";"080.035.018"
"3512";"080.035.008"
"3540";"036.004.008"
"3541";"036.004.003"
"3542";"999"
"3543";"036.004.004"
"3544";"036.004.019"
"3545";"036.004.002"
"3546";"036.004.014"
"3547";"999"
"3548";"036.004.001"
"3549";"036.004.011"
"3550";"036.004.005"
"3551";"036.004.017"
"3610";"103.003.001"
"3611";"999"
"3612";"103.003.008"
"3613";"103.004.001"
"3614";"103.003.003"
"3630";"094.001.001"
"3633";"094.001.002"
"3634";"999"
"3647";"081.030.001"
"3770";"031.001.003"
"3773";"031.001.041"
"3774";"031.001.038"
"3776";"999"
"3778";"031.001.002"
"3784";"031.001.057"
"3789";"999"
"3790";"999"
"3792";"031.001.058"
"3797";"999"
"3798";"999"
"3799";"031.001.056"
"3814";"164.001.001"
"3815";"164.001.002"
"3816";"164.001.003"
"4211";"081.005.001"
"4214";"080.028.005"
"4215";"080.028.002"
"4216";"080.028.004"
"4217";"080.028.001"
"4218";"999"
"4219";"080.028.016"
"4220";"080.028.010"
"4221";"080.028.015"
"4222";"080.028.003"
"4336";"113.002.001"
"4337";"999"
"4338";"999"
"4345";"029.001.001"
"4401";"998"
"4414";"999"
"4415";"105.001.005"
"4416";"999"
"4417";"105.001.003"
"4418";"105.001.001"
"4419";"999"
"4432";"999"
"4562";"037.001.004"
"4563";"037.001.006"
"4564";"037.001.001"
"4659";"164.002.002"
"4660";"164.002.001"
"4787";"028.001.002"
"4788";"026.006.999"
"4789";"026.006.002"
"4790";"026.006.003"
"4791";"026.006.003"
"4792";"026.006.001"
"4793";"026.007.006"
"4794";"026.007.006"
"4795";"026.007.006"
"4796";"026.007.003"
"4797";"998"
"4798";"028.001.004"
"4799";"026.001.005"
"4800";"026.001.009"
"4801";"026.001.002"
"4802";"026.004.006"
"4803";"026.004.007"
"4804";"026.005.001"
"4805";"028.003.001"
"4806";"028.002.001"
"4807";"026.001.008"
"4808";"026.007.011"
"4809";"998"
"4810";"998"
"4811";"998"
"4812";"033.001.001"
"4813";"999"
"4814";"026.007.001"
"4823";"998"
"4824";"998"
"4825";"027.003.001"
"4826";"026.003.001"
"4828";"998"
"4829";"028.005.002"
"4832";"999"
"4833";"031.001.039"
"4835";"999"
"4836";"028.001.999"
"4893";"026.007.008"
"4894";"026.003.002"
"4895";"998"
"4896";"026.001.001"
"4897";"998"
"4898";"031.002.999"
"4899";"999"
"4900";"998"
"5127";"081.004.003"
"5128";"194.001.001"
"5303";"080.028.002"
"5402";"026.004.005"
"5409";"095.001.009"
"8300";"026.001.999"
