"mode";"libelle";"definition"
"026.001.001";"Abies procera";"Abies procera"
"026.001.002";"Abies grandis";"Abies grandis"
"026.001.003";"Abies lasiocarpa";"Abies lasiocarpa"
"026.001.004";"Abies sibirica";"Abies sibirica"
"026.001.005";"Abies nordmanniana";"Abies nordmanniana"
"026.001.006";"Abies alba";"Abies alba"
"026.001.007";"Abies nebrodensis";"Abies nebrodensis"
"026.001.008";"Abies cephalonica";"Abies cephalonica"
"026.001.009";"Abies pinsapo";"Abies pinsapo"
"026.001.999";"ABIES";"ABIES"
"026.002.001";"PSEUDOTSUGA";"PSEUDOTSUGA"
"026.003.001";"Tsuga heterophylla";"Tsuga heterophylla"
"026.003.002";"Tsuga canadensis";"Tsuga canadensis"
"026.003.999";"Tsuga sp.";"Tsuga sp."
"026.004.001";"Picea abies";"Picea abies"
"026.004.002";"Picea orientalis";"Picea orientalis"
"026.004.003";"Picea glauca";"Picea glauca"
"026.004.004";"Picea engelmannii";"Picea engelmannii"
"026.004.005";"Picea pungens";"Picea pungens"
"026.004.006";"Picea sitchensis";"Picea sitchensis"
"026.004.007";"Picea omorika";"Picea omorika"
"026.004.999";"PICEA";"PICEA"
"026.005.001";"Larix kaempferi C25";"Larix kaempferi C25"
"026.005.002";"Larix decidua";"Larix decidua"
"026.005.999";"LARIX";"LARIX"
"026.006.001";"Cedrus deodara";"Cedrus deodara"
"026.006.002";"Cedrus atlantica";"Cedrus atlantica"
"026.006.003";"Cedrus libani";"Cedrus libani"
"026.006.999";"Cedrus sp.";"Cedrus sp."
"026.007.001";"Pinus contorta";"Pinus contorta"
"026.007.002";"Pinus pinaster";"Pinus pinaster"
"026.007.003";"Pinus radiata";"Pinus radiata"
"026.007.004";"Pinus banksiana";"Pinus banksiana"
"026.007.005";"Pinus ponderosa";"Pinus ponderosa"
"026.007.006";"PINUS_NIGRA";"PINUS_NIGRA"
"026.007.007";"PINUS_SYLVESTRIS";"PINUS_SYLVESTRIS"
"026.007.008";"Pinus mugo";"Pinus mugo"
"026.007.009";"Pinus uncinata (rotundata)";"Pinus uncinata (rotundata)"
"026.007.010";"Pinus heldreichii";"Pinus heldreichii"
"026.007.011";"PINUS_HALEPENSIS";"PINUS_HALEPENSIS"
"026.007.012";"Pinus canariensis";"Pinus canariensis"
"026.007.013";"Pinus pinea";"Pinus pinea"
"026.007.014";"Pinus cembra";"Pinus cembra"
"026.007.018";"Pinus strobus";"Pinus strobus"
"026.007.100";"Pinus leucodermis";"Pinus leucodermis"
"026.007.999";"Pinus sp";"Pinus sp"
"027.002.999";"Sequoiadendron sp.";"Sequoiadendron sp."
