Essence;ESS;Bois;Delta_moy[%];Ecart_type[%];Delta_moy[mm];Ecart_type[mm]
Chêne pédonculé;02;Poreux;-0,72;13,86;-0,12;1,314
Chêne sessile;03;Poreux;-2,87;11,12;-0,35;1,519
Chêne rouge d’Amérique;04;Poreux;-0,27;12,39;-0,09;1,29
Chêne pubescent;05;Poreux;0,59;11,1;0,05;0,47
Chêne vert;06;Diffus;-1,61;29,79;-0,47;1,75
Chêne tauzin;07;Poreux;-0,27;12,39;-0,09;1,29
Chêne liège;08;Poreux;-0,27;12,39;-0,09;1,29
Hêtre;09;Diffus;-3,85;14,66;-0,49;1,18
Châtaignier;10;Poreux;-0,27;12,39;-0,09;1,29
Charme;11;Diffus;-1,61;29,79;-0,47;1,75
Bouleau;12;Diffus;-1,61;29,79;-0,47;1,75
Grand aulne;13;Diffus;-1,61;29,79;-0,47;1,75
Robinier faux-acacia;14;Poreux;-0,27;12,39;-0,09;1,29
Grand érable;15;Diffus;-1,61;29,79;-0,47;1,75
Micocoulier;16;Poreux;-0,27;12,39;-0,09;1,29
Frêne;17;Poreux;-0,27;12,39;-0,09;1,29
Orme;18;Poreux;-0,27;12,39;-0,09;1,29
Peuplier cultivé;19;Diffus;-1,61;29,79;-0,47;1,75
Tilleul;20;Diffus;-1,61;29,79;-0,47;1,75
Petit érable;21;Diffus;-1,61;29,79;-0,47;1,75
Cerisier/merisier;22;Diffus;-1,61;29,79;-0,47;1,75
Autre fruitier;23;Diffus;-1,61;29,79;-0,47;1,75
Tremble;24;Diffus;-1,61;29,79;-0,47;1,75
Saule;25;Diffus;-1,61;29,79;-0,47;1,75
Platane;26;Diffus;-1,61;29,79;-0,47;1,75
Noyer;27;Diffus;-1,61;29,79;-0,47;1,75
Olivier;28;Diffus;-1,61;29,79;-0,47;1,75
Autre feuillu exotique;29;Diffus;-1,61;29,79;-0,47;1,75
Mûrier;30;Poreux;-0,27;12,39;-0,09;1,29
Noisetier;31;Poreux;-0,27;12,39;-0,09;1,29
Charme-houblon;32;Diffus;-1,61;29,79;-0,47;1,75
Peuplier non cultivé;33;Diffus;-1,61;29,79;-0,47;1,75
Chêne chevelu;34;Poreux;-0,27;12,39;-0,09;1,29
Tamaris;35;Diffus;-1,61;29,79;-0,47;1,75
Eucalyptus;36;Diffus;-1,61;29,79;-0,47;1,75
Aulne vert;37;Diffus;-1,61;29,79;-0,47;1,75
Grand cytise;38;Diffus;-1,61;29,79;-0,47;1,75
Cornouiller mâle;39;Diffus;-1,61;29,79;-0,47;1,75
Arbousier;40;Diffus;-1,61;29,79;-0,47;1,75
Alisier torminal;41;Diffus;-1,61;29,79;-0,47;1,75
Tulipier de Virginie;42;Diffus;-1,61;29,79;-0,47;1,75
Autre feuillu indigène;49;Diffus;-1,61;29,79;-0,47;1,75
Pin maritime;51;Résineux;0,02;17,55;-0,11;2,96
Pin sylvestre;52;Résineux;-0,45;10,56;-0,12;0,71
Pin laricio;53;Résineux;-0,81;12,2;-0,09;1,97
Pin noir;54;Résineux;-0,81;12,2;-0,09;1,97
Pin pignon;55;Résineux;-0,81;12,2;-0,09;1,97
Pin weymouth;56;Résineux;-0,81;12,2;-0,09;1,97
Pin d’Alep;57;Résineux;-0,81;12,2;-0,09;1,97
Pin à crochets;58;Résineux;-0,81;12,2;-0,09;1,97
Pin cembro;59;Résineux;-0,81;12,2;-0,09;1,97
Pin mugo;60;Résineux;-0,81;12,2;-0,09;1,97
Sapin pectiné;61;Résineux;-1,39;4,66;-0,23;0,65
Epicéa commun;62;Résineux;-0,94;8,91;-0,16;1,33
Mélèze d’Europe;63;Résineux;-0,81;12,2;-0,09;1,97
Douglas;64;Résineux;-0,81;12,2;-0,09;1,97
Cèdre de l’Atlas;65;Résineux;-0,81;12,2;-0,09;1,97
Cyprès;66;Résineux;-0,81;12,2;-0,09;1,97
If;67;Résineux;-0,81;12,2;-0,09;1,97
Autre conifère exotique;68;Résineux;-0,81;12,2;-0,09;1,97
Genévrier;69;Résineux;-0,81;12,2;-0,09;1,97
Sapin méditerranéen;70;Résineux;-0,81;12,2;-0,09;1,97
Sapin de Nordmann;71;Résineux;-0,81;12,2;-0,09;1,97
Sapin américain;72;Résineux;-0,81;12,2;-0,09;1,97
Epicéa de Sitka;73;Résineux;-0,81;12,2;-0,09;1,97
Mélèze exotique;74;Résineux;-0,81;12,2;-0,09;1,97
Autre conifère indigène;75;Résineux;-0,81;12,2;-0,09;1,97
Cèdre du Liban;76;Résineux;-0,81;12,2;-0,09;1,97
Pin à encens;77;Résineux;-0,81;12,2;-0,09;1,97
