"soif","npp","incref","dep","xl","yl","anref"
"soif","20-01-267-1-151T",15,"01",846850,2096934,2025
"soif","20-01-270-1-144T",15,"01",862951,2114693,2025
"soif","25-01-266-1-139T",20,"01",863149,2133283,2025
"soif","20-01-272-1-132T",15,"01",881417,2148216,2025
"soif","25-01-265-1-136T",20,"01",863535,2143283,2025
"soif","25-01-259-1-142T",20,"01",838708,2131251,2025
"soif","25-01-272-1-129T",20,"01",890903,2157280,2025
"soif","25-01-261-1-142T",20,"01",845088,2130009,2025
"soif","20-01-267-1-143T",15,"01",855629,2120128,2025
"soif","20-01-260-1-138T",15,"01",838957,2142299,2025
"soif","20-02-188-1-026T",15,"02",735442,2550976,2025
"soif","25-02-173-1-048T",20,"02",674794,2499681,2025
"soif","25-02-170-1-057T",20,"02",657527,2475850,2025
"soif","25-02-175-1-054T",20,"02",674724,2479243,2025
"soif","20-02-175-1-048T",15,"02",674609,2497425,2025
"soif","25-02-185-1-028T",20,"02",731606,2548020,2025
"soif","25-02-176-1-065T",20,"02",667294,2445787,2025
"soif","25-02-175-1-062T",20,"02",666966,2455508,2025
"soif","25-02-179-1-060T",20,"02",681166,2458071,2025
"soif","20-02-180-1-028T",15,"02",709525,2552157,2025
"soif","25-03-197-1-150T",20,"03",644700,2169488,2025
"soif","20-03-206-1-158T",15,"03",657389,2136286,2025
"soif","25-03-206-1-141T",20,"03",680878,2187226,2025
"soif","20-03-193-1-153T",15,"03",623057,2164549,2025
"soif","25-03-199-1-152T",20,"03",649354,2162033,2025
"soif","25-03-204-1-161T",20,"03",655354,2129411,2025
"soif","20-03-193-1-145T",15,"03",631552,2188558,2025
"soif","20-03-223-1-155T",15,"03",710899,2128731,2025
"soif","20-03-213-1-151T",15,"03",684708,2150786,2025
"soif","20-03-205-1-141T",15,"03",670939,2188510,2025
"soif","25-04-308-1-211T",20,"04",917259,1875826,2025
"soif","20-04-304-1-200T",15,"04",908787,1912758,2025
"soif","25-04-306-1-191T",20,"04",931157,1937999,2025
"soif","25-04-306-1-211T",20,"04",911484,1877961,2025
"soif","20-04-308-1-198T",15,"04",922761,1914435,2025
"soif","25-04-304-1-195T",20,"04",921234,1927515,2025
"soif","20-04-302-1-202T",15,"04",901197,1908897,2025
"soif","20-04-312-1-184T",15,"04",948918,1953080,2025
"soif","25-04-306-1-199T",20,"04",923188,1913983,2025
"soif","25-04-296-1-205T",20,"04",886933,1905507,2025
"soif","25-05-298-1-175T",20,"05",922779,1993485,2025
"soif","25-05-288-1-201T",20,"05",867543,1925409,2025
"soif","20-05-286-1-192T",15,"05",862982,1954897,2025
"soif","25-05-302-1-175T",20,"05",935020,1989166,2025
"soif","20-05-310-1-176T",15,"05",951124,1978284,2025
"soif","25-05-302-1-177T",20,"05",932986,1983129,2025
"soif","25-05-296-1-181T",20,"05",911220,1977404,2025
"soif","25-05-294-1-183T",20,"05",903609,1973410,2025
"soif","20-05-310-1-174T",15,"05",953532,1984279,2025
"soif","20-05-294-1-198T",15,"05",881683,1928620,2025
"soif","20-06-320-1-198T",15,"06",959560,1902436,2025
"soif","20-06-330-1-205R",20,"06",982685,1871621,2025
"soif","20-06-318-1-188T",15,"06",962757,1934525,2025
"soif","20-06-318-1-196T",15,"06",955138,1910249,2025
"soif","20-06-326-1-196T",15,"06",979230,1902332,2025
"soif","20-06-316-1-192R",20,"06",952776,1924422,2025
"soif","25-06-334-1-201T",20,"06",1004887,1879654,2025
"soif","25-06-320-1-203T",20,"06",961209,1887745,2025
"soif","20-06-322-1-200T",15,"06",963440,1895008,2025
"soif","20-06-336-1-192T",15,"06",1013488,1904269,2025
"soif","20-07-245-1-195T",15,"07",737084,1986168,2025
"soif","20-07-252-1-182T",15,"07",770859,2018338,2025
"soif","25-07-254-1-193T",20,"07",773464,1983129,2025
"soif","20-07-262-1-200T",15,"07",782834,1954865,2025
"soif","25-07-242-1-205T",20,"07",724766,1959535,2025
"soif","20-07-257-1-185T",15,"07",783129,2004587,2025
"soif","25-07-251-1-184T",20,"07",772996,2013282,2025
"soif","20-07-258-1-180T",15,"07",791494,2018215,2025
"soif","25-07-260-1-201T",20,"07",782933,1953999,2025
"soif","20-07-246-1-202T",15,"07",733522,1964983,2025
"soif","20-08-201-1-033T",15,"08",767422,2517029,2025
"soif","20-08-197-1-019T",15,"08",769191,2562490,2025
"soif","25-08-197-1-032T",20,"08",763368,2523872,2025
"soif","25-08-188-1-025T",20,"08",743244,2553125,2025
"soif","25-08-202-1-027T",20,"08",783011,2533560,2025
"soif","25-08-205-1-038T",20,"08",781224,2498019,2025
"soif","25-08-194-1-031T",20,"08",755462,2529248,2025
"soif","25-08-200-1-033T",20,"08",770756,2517311,2025
"soif","25-08-210-1-043T",20,"08",791324,2478018,2025
"soif","25-08-199-1-034T",20,"08",767167,2515995,2025
"soif","25-09-208-1-273T",20,"09",555227,1790058,2025
"soif","20-09-210-1-284T",15,"09",543050,1754197,2025
"soif","20-09-222-1-284T",15,"09",579610,1742271,2025
"soif","25-09-206-1-281T",20,"09",540728,1767544,2025
"soif","20-09-211-1-279T",15,"09",551189,1768969,2025
"soif","25-09-202-1-281T",20,"09",529206,1771314,2025
"soif","20-09-198-1-278T",15,"09",513697,1784141,2025
"soif","20-09-216-1-286T",15,"09",558803,1742250,2025
"soif","20-09-216-1-290T",15,"09",555203,1730950,2025
"soif","25-09-200-1-279T",20,"09",525061,1780006,2025
"soif","20-10-207-1-087T",15,"10",731437,2348717,2025
"soif","20-10-218-1-076T",15,"10",775634,2371099,2025
"soif","20-10-205-1-093T",15,"10",719655,2332211,2025
"soif","25-10-199-1-088T",20,"10",713698,2353569,2025
"soif","25-10-211-1-078T",20,"10",759594,2371390,2025
"soif","25-10-194-1-077T",20,"10",709290,2391402,2025
"soif","25-10-215-1-084T",20,"10",765398,2350093,2025
"soif","25-10-201-1-088T",20,"10",719042,2351357,2025
"soif","20-10-212-1-072T",15,"10",760716,2388120,2025
"soif","25-10-218-1-077T",20,"10",780785,2367693,2025
"soif","25-11-220-1-267T",20,"11",596779,1795473,2025
"soif","20-11-238-1-260T",15,"11",650772,1798519,2025
"soif","20-11-224-1-256T",15,"11",613570,1824142,2025
"soif","25-11-234-1-273T",20,"11",633661,1763717,2025
"soif","20-11-209-1-265T",15,"11",559212,1813005,2025
"soif","25-11-226-1-269T",20,"11",613510,1783821,2025
"soif","25-11-224-1-273T",20,"11",603261,1773257,2025
"soif","20-11-232-1-266T",15,"11",627594,1786814,2025
"soif","25-11-227-1-266T",20,"11",619373,1791491,2025
"soif","20-11-226-1-280T",15,"11",594994,1750442,2025
"soif","20-12-218-1-232T",15,"12",618735,1902359,2025
"soif","25-82-198-1-233T",20,"12",565201,1920059,2025
"soif","25-12-200-1-233T",20,"12",571342,1917777,2025
"soif","25-12-230-1-227T",20,"12",667482,1905976,2025
"soif","25-12-221-1-226T",20,"12",641665,1917573,2025
"soif","20-12-211-1-223T",15,"12",606982,1936924,2025
"soif","25-12-209-1-220T",20,"12",611332,1947455,2025
"soif","25-12-232-1-227T",20,"12",673245,1903368,2025
"soif","20-12-214-1-212T",15,"12",627456,1966342,2025
"soif","20-12-230-1-236T",15,"12",651640,1878604,2025
"soif","20-13-280-1-236T",15,"13",801584,1828212,2025
"soif","20-13-274-1-236T",15,"13",783589,1834650,2025
"soif","25-13-268-1-237T",20,"13",771254,1837536,2025
