ess;pro_nm;cld;tau;incref
02;1;02;0.9709237591622917;8
02;1;03;0.9446418752072618;8
02;1;04;1.0;8
02;1;05;0.9957115894528042;8
02;1;06;0.9188982173783643;8
02;1;07;1.0;8
02;1;08;0.9883797248583851;8
02;1;09;0.9966864815277019;8
02;1;10;1.0;8
02;1;11;1.0;8
02;1;12;1.015271850266558;8
02;1;13;1.0;8
02;1;14;1.0;8
02;1;15;1.0;8
02;1;16;1.0;8
02;1;17;1.0;8
02;1;18;1.0;8
02;1;19;1.0;8
02;1;14;1.0;8
02;1;17;1.0;8
02;3;02;1.0;8
02;3;03;1.0;8
02;3;04;1.0;8
02;3;05;1.0;8
02;3;06;1.0;8
02;3;07;1.0;8
02;3;08;1.0;8
02;3;09;1.0;8
02;3;10;1.0;8
02;3;11;1.0;8
02;3;12;1.0;8
02;3;13;1.0;8
02;2;02;0.9697453771263489;8
02;2;03;1.0054865139921176;8
02;2;04;0.994470389876014;8
02;2;05;1.0042409419002578;8
02;2;06;0.9955853211088307;8
02;2;07;0.9898635514109975;8
02;2;08;0.996096868058914;8
02;2;09;1.0030920061037087;8
02;2;10;0.9732075833580197;8
02;2;11;0.978019716617541;8
02;2;12;1.002515017850501;8
02;2;13;1.0;8
02;2;14;0.9860268655287433;8
02;2;15;0.9876832152005904;8
02;2;16;0.9992106392755824;8
02;2;17;0.9859387405877936;8
02;2;18;1.0;8
02;2;19;1.0;8
02;2;20;1.0;8
02;2;21;1.0;8
02;3;02;1.002266495522349;8
02;3;03;0.9986846067709453;8
02;3;04;0.997766155051825;8
02;3;05;1.0003358652485135;8
02;3;06;0.997449328918928;8
02;3;07;0.9992526679530604;8
02;3;08;0.9983734208307167;8
02;3;09;1.0002519815863906;8
02;3;10;0.9987145804727072;8
02;3;11;0.9976128290466093;8
02;3;12;1.0037065210964924;8
02;3;13;0.997931469750294;8
02;3;14;0.9976579856219179;8
02;3;15;1.0;8
02;3;16;0.9987853689347082;8
02;3;17;1.0;8
02;3;18;1.0364494268168145;8
02;3;19;0.9323706783976882;8
02;3;20;1.0;8
02;3;21;1.0;8
03;1;02;1.001649398033421;8
03;1;03;0.9921263145035085;8
03;1;04;0.9988872935975808;8
03;1;05;0.990551496909744;8
03;1;06;0.9792832810355387;8
03;1;07;1.0033438703982798;8
03;1;08;0.9934002340244656;8
03;1;09;1.0008241273547809;8
03;1;10;0.9972175873477338;8
03;1;11;1.0062445303814223;8
03;1;12;0.997068007496618;8
03;1;13;0.9982805308626934;8
03;1;14;1.0047910642961053;8
03;1;15;0.9542162369111588;8
03;1;16;1.0;8
03;1;17;1.0;8
03;1;18;1.0;8
03;1;20;1.0;8
03;1;21;1.0;8
03;3;03;1.0;8
03;3;04;1.0;8
03;3;05;1.0;8
03;3;06;1.0;8
03;3;07;1.0;8
03;2;02;0.9852734018108518;8
03;2;03;0.9745847754376024;8
03;2;04;0.9916626114721399;8
03;2;05;0.9960636289280986;8
03;2;06;1.00506482916715;8
03;2;07;0.9914755265274642;8
03;2;08;1.0019771464880007;8
03;2;09;0.9999445737698148;8
03;2;10;1.0047314787762636;8
03;2;11;1.0047496851029292;8
03;2;12;0.9980114688082533;8
03;2;13;0.9951799944403034;8
03;2;14;1.0;8
03;2;15;1.0;8
03;2;16;1.0;8
03;2;17;1.0;8
03;2;18;1.0;8
03;2;20;1.0;8
03;3;02;0.9965506383585753;8
03;3;03;0.9934524123818733;8
03;3;04;0.9973151485530396;8
03;3;05;1.0012028295452473;8
03;3;06;0.995549307287525;8
03;3;07;0.9996342363816361;8
03;3;08;0.9978276139995957;8
03;3;09;0.9993719987819076;8
03;3;10;1.0014527119000418;8
03;3;11;0.9992780308430982;8
03;3;12;0.9987562346087616;8
03;3;13;0.9900082293224812;8
03;3;14;1.0045686608734827;8
03;3;15;0.961640062255917;8
03;3;16;1.0010991076100186;8
03;3;17;1.0549187705092014;8
03;3;18;1.0;8
03;3;19;1.0;8
04;1;02;1.0;8
04;1;03;1.0998139221131185;8
04;1;04;1.0818706629248651;8
04;1;05;1.0;8
04;1;06;1.0;8
04;1;08;1.0;8
04;1;09;1.0;8
04;2;02;1.0;8
04;2;03;1.0;8
04;2;05;1.0;8
04;2;06;1.0;8
04;2;07;1.0;8
04;2;08;1.0;8
04;2;11;1.0;8
04;2;14;1.0;8
04;3;02;0.9819151544534466;8
04;3;03;0.9369484206949091;8
04;3;04;1.0;8
04;3;05;1.0;8
04;3;06;1.0;8
04;3;07;1.0;8
04;3;08;1.0;8
04;3;09;1.0;8
04;3;10;1.0;8
04;3;11;1.0;8
04;3;12;1.0;8
04;3;14;1.0;8
04;3;15;1.0;8
05;1;02;1.0;8
05;1;03;1.0;8
05;1;04;1.0;8
05;1;05;1.0;8
05;1;06;1.0;8
05;1;07;1.0;8
05;1;08;1.0;8
05;1;09;1.0;8
05;3;02;1.0;8
05;3;03;1.0;8
05;3;04;1.0;8
05;3;05;1.0;8
05;3;06;1.0;8
05;3;09;1.0;8
05;3;12;1.0;8
05;2;02;0.9963178069466654;8
05;2;03;0.9915474174249491;8
05;2;04;1.0;8
05;2;05;1.0033518339388734;8
05;2;06;1.0;8
05;2;07;1.0539943592998855;8
05;2;08;1.0;8
05;2;09;1.0;8
05;2;10;0.9204234682030018;8
05;2;11;1.0;8
05;2;12;1.0;8
05;3;02;1.0043170918828415;8
05;3;03;0.9989631526105679;8
05;3;04;0.995506211194533;8
05;3;05;1.001781011037957;8
05;3;06;0.9984532691379249;8
05;3;07;0.9978254226119712;8
05;3;08;0.9992331247679156;8
05;3;09;0.9977511084875401;8
05;3;10;1.0;8
05;3;11;1.0;8
05;3;12;0.9965831065645228;8
05;3;13;1.0;8
05;3;14;1.0;8
05;3;15;1.0;8
05;3;16;1.0;8
05;3;19;1.0;8
05;3;21;1.0;8
06;1;02;1.0;8
06;1;03;1.0;8
06;1;04;1.0;8
06;1;05;1.0;8
06;1;06;1.0;8
06;2;02;0.9949272298041983;8
06;2;03;1.0;8
06;2;04;1.0;8
06;2;05;1.0;8
06;2;06;1.0;8
06;2;07;1.0;8
06;2;08;1.0;8
06;2;09;1.0;8
06;2;10;1.0;8
06;2;11;1.0;8
06;2;12;1.0;8
06;2;13;1.0;8
06;2;15;1.0;8
06;3;02;1.0024932975924135;8
06;3;03;1.0;8
06;3;04;1.0;8
06;3;05;1.0;8
06;3;06;1.0;8
06;3;07;1.0;8
06;3;08;1.0;8
06;3;09;1.0;8
06;3;10;1.0;8
06;3;11;1.0;8
06;3;15;1.0;8
06;2;09;1.0;8
07;1;05;1.0;8
07;1;12;1.0;8
07;3;02;1.0576108732984562;8
07;3;03;1.0081302119621365;8
07;3;04;1.0;8
07;3;05;1.0153920892837784;8
07;3;06;1.0;8
07;3;07;1.0;8
07;3;08;1.0;8
07;3;09;1.0152254841037822;8
07;3;10;1.0;8
07;3;11;1.0;8
07;3;12;1.0;8
07;3;13;1.0;8
07;3;15;1.0;8
07;3;18;1.0;8
08;1;02;1.0;8
08;1;03;1.0;8
08;1;05;1.0;8
08;1;06;1.0;8
08;1;07;1.0;8
08;1;08;1.0;8
08;1;09;1.0;8
08;1;11;1.0;8
08;1;12;1.0;8
08;1;13;1.0;8
08;2;02;1.0;8
08;2;03;1.0;8
08;2;05;1.0;8
08;2;06;1.0;8
08;2;07;1.0;8
08;2;08;1.0;8
08;2;09;1.0;8
08;3;02;1.0;8
08;3;03;1.003373381129293;8
08;3;04;1.0;8
08;3;05;1.0;8
08;3;06;1.0;8
08;3;07;1.0;8
08;3;08;1.0;8
08;3;09;1.0;8
08;3;10;1.0;8
08;3;11;1.0;8
08;3;12;1.0;8
08;3;14;1.0;8
08;3;19;1.0;8
08;3;21;1.0;8
09;1;02;0.9777228357445926;8
09;1;03;0.9879206557329323;8
09;1;04;0.9571497191402492;8
09;1;05;0.9838844658238768;8
09;1;06;0.9782657614669696;8
09;1;07;0.9881499903820469;8
09;1;08;0.990945546953626;8
09;1;09;0.9974201111314078;8
09;1;10;0.998112750264347;8
09;1;11;0.9995227189808492;8
09;1;12;0.9725680305186538;8
09;1;13;0.9949321791681416;8
09;1;14;0.9679838091936876;8
09;1;15;1.0042053983504913;8
09;1;16;0.9674281600293695;8
09;1;17;0.8554791873957824;8
09;1;18;1.0;8
09;1;19;1.0;8
09;1;20;1.0;8
09;1;21;1.0;8
09;3;02;1.0;8
09;3;03;1.0;8
09;3;04;1.0;8
09;3;05;1.0;8
