"NPP","A","Type de correction","MORTB_NEW","MA_NEW","MORTB_OLD","MA_OLD"
"24-33-121-1-247T",1,"correction code EM",0,"2",1,2
"24-33-121-1-247T",2,"correction code EM",0,"0",1,2
"24-33-121-1-247T",3,"correction code EM",0,"0",1,2
"24-33-121-1-247T",4,"correction code EM",0,"1",1,2
"24-33-121-1-247T",5,"correction code EM",0,"0",2,3
"24-33-121-1-247T",6,"correction code EM",0,"0",1,2
"24-33-121-1-247T",7,"correction code EM",0,"0",1,2
"24-33-121-1-247T",8,"correction code EM",0,"2",1,2
"24-33-129-1-241T",4,"correction code EM",0,"0",1,2
"24-33-131-1-239T",10,"correction code EM",0,"0",2,2
"24-33-131-1-239T",11,"correction code EM",0,"0",2,2
"24-33-135-1-245T",2,"correction code EM",0,"0",1,2
"24-33-135-1-245T",3,"correction code EM",0,"1",1,2
"24-33-135-1-245T",6,"correction code EM",0,"0",1,2
"24-33-135-1-245T",7,"correction code EM",0,"0",2,3
"24-33-135-1-245T",8,"correction code EM",0,"1",2,3
"24-33-135-1-245T",9,"correction code EM",0,"2",1,2
"24-33-135-1-245T",10,"correction code EM",0,"0",1,2
"24-33-139-1-245T",1,"correction code EM",0,"0",1,2
"24-33-139-1-245T",2,"correction code EM",0,"1",1,2
"24-33-139-1-245T",3,"correction code EM",0,"1",1,2
"24-33-139-1-245T",4,"correction code EM",0,"0",1,2
"24-33-139-1-245T",5,"correction code EM",0,"1",1,2
"24-33-139-1-245T",6,"correction code EM",0,"1",1,2
"24-33-139-1-245T",7,"correction code EM",0,"1",1,2
"24-33-139-1-245T",8,"correction code EM",0,"2",1,2
"24-33-141-1-245T",1,"correction code EM",0,"1",1,2
"24-33-141-1-245T",3,"correction code EM",0,"0",2,3
"24-33-141-1-245T",4,"correction code EM",0,"1",2,3
"24-33-141-1-245T",5,"correction code EM",0,"2",2,3
"24-33-141-1-245T",6,"correction code EM",0,"1",2,3
"24-33-141-1-245T",7,"correction code EM",0,"1",2,3
"24-33-141-1-245T",8,"correction code EM",0,"1",2,3
"24-33-141-1-245T",10,"correction code EM",0,"1",2,3
"24-33-141-1-245T",11,"correction code EM",0,"1",2,3
"24-33-141-1-245T",12,"correction code EM",0,"0",2,3
"24-33-141-1-245T",13,"correction code EM",0,"0",2,3
"24-33-145-1-243T",2,"correction code EM",0,"0",0,1
"24-33-145-1-243T",5,"correction code EM",0,"2",0,1
"24-33-145-1-243T",9,"correction code EM",0,"0",0,1
"24-40-121-1-251T",1,"correction code EM",0,"1",2,3
"24-40-121-1-251T",2,"correction code EM",0,"1",3,3
"24-40-121-1-251T",3,"correction code EM",0,"0",2,3
"24-40-121-1-251T",4,"correction code EM",0,"1",2,3
"24-40-121-1-251T",5,"correction code EM",0,"0",3,3
