"absc","ord","tir","id_noeud","xl_prod","yl_prod","xl_R","yl_R","anref"
100,256,4,2553,142298,2943834,145200,2423600,1
100,266,2,2558,142362,2933773,145200,2413600,1
100,276,5,2563,142425,2923713,145200,2403600,1
100,286,2,2568,142487,2913654,145200,2393600,1
100,296,4,2573,142550,2903597,145200,2383600,1
100,306,2,2578,142613,2893541,145200,2373600,1
100,316,5,2583,142675,2883487,145200,2363600,1
100,326,2,2588,142738,2873434,145200,2353600,1
100,336,4,2593,142800,2863382,145200,2343600,1
100,346,2,2598,142862,2853332,145200,2333600,1
101,253,1,2602,143286,2946859,146200,2426600,1
101,263,1,2607,143349,2936798,146200,2416600,1
101,273,1,2612,143412,2926737,146200,2406600,1
101,283,1,2617,143474,2916678,146200,2396600,1
101,293,1,2622,143537,2906621,146200,2386600,1
101,303,1,2627,143600,2896564,146200,2376600,1
101,313,1,2632,143662,2886510,146200,2366600,1
101,323,1,2637,143724,2876456,146200,2356600,1
101,333,1,2642,143786,2866404,146200,2346600,1
101,343,1,2647,143848,2856353,146200,2336600,1
102,250,3,2651,144273,2949884,147200,2429600,1
102,260,2,2656,144336,2939822,147200,2419600,1
102,270,3,2661,144399,2929761,147200,2409600,1
102,280,2,2666,144461,2919702,147200,2399600,1
102,290,3,2671,144524,2909644,147200,2389600,1
102,300,2,2676,144586,2899587,147200,2379600,1
102,310,3,2681,144649,2889532,147200,2369600,1
102,320,2,2686,144711,2879478,147200,2359600,1
102,330,3,2691,144773,2869426,147200,2349600,1
102,340,2,2696,144835,2859375,147200,2339600,1
103,257,1,2704,145323,2942847,148200,2422600,1
103,267,1,2709,145386,2932786,148200,2412600,1
103,277,1,2714,145449,2922726,148200,2402600,1
103,287,1,2719,145511,2912667,148200,2392600,1
103,297,1,2724,145573,2902610,148200,2382600,1
103,307,1,2729,145636,2892555,148200,2372600,1
103,317,1,2734,145698,2882500,148200,2362600,1
103,327,1,2739,145760,2872447,148200,2352600,1
103,337,1,2744,145821,2862396,148200,2342600,1
103,347,1,2749,145883,2852346,148200,2332600,1
104,254,2,2752,146311,2945872,149200,2425600,1
104,264,7,2757,146373,2935810,149200,2415600,1
104,274,2,2762,146436,2925750,149200,2405600,1
104,284,4,2767,146498,2915691,149200,2395600,1
104,294,2,2772,146560,2905634,149200,2385600,1
104,304,6,2777,146622,2895577,149200,2375600,1
104,314,2,2782,146684,2885523,149200,2365600,1
104,324,4,2787,146746,2875469,149200,2355600,1
104,334,2,2792,146808,2865417,149200,2345600,1
104,344,7,2797,146870,2855367,149200,2335600,1
105,251,1,2802,147298,2948897,150200,2428600,1
105,261,1,2807,147361,2938835,150200,2418600,1
105,271,1,2812,147423,2928774,150200,2408600,1
105,281,1,2817,147485,2918715,150200,2398600,1
105,291,1,2822,147547,2908657,150200,2388600,1
105,301,1,2827,147609,2898600,150200,2378600,1
105,311,1,2832,147671,2888545,150200,2368600,1
105,321,1,2837,147733,2878491,150200,2358600,1
105,331,1,2842,147795,2868439,150200,2348600,1
105,341,1,2847,147856,2858388,150200,2338600,1
105,351,1,2852,147918,2848338,150200,2328600,1
106,258,3,2858,148348,2941860,151200,2421600,1
106,268,2,2863,148410,2931798,151200,2411600,1
106,278,3,2868,148473,2921739,151200,2401600,1
106,288,2,2873,148535,2911680,151200,2391600,1
106,298,3,2878,148596,2901623,151200,2381600,1
106,308,2,2883,148658,2891568,151200,2371600,1
106,318,3,2888,148720,2881514,151200,2361600,1
106,328,2,2893,148781,2871461,151200,2351600,1
106,338,3,2898,148843,2861409,151200,2341600,1
106,348,2,2903,148904,2851359,151200,2331600,1
1068,952,4,270356,1111798,2246382,1113200,1727600,1
107,255,1,2908,149336,2944884,152200,2424600,1
107,265,1,2913,149398,2934823,152200,2414600,1
107,275,1,2918,149460,2924763,152200,2404600,1
107,285,1,2923,149522,2914704,152200,2394600,1
107,295,1,2928,149584,2904646,152200,2384600,1
107,305,1,2933,149645,2894590,152200,2374600,1
107,315,1,2938,149707,2884536,152200,2364600,1
107,325,1,2943,149768,2874483,152200,2354600,1
107,335,1,2948,149829,2864431,152200,2344600,1
107,345,1,2953,149891,2854380,152200,2334600,1
1071,953,1,270363,1114783,2245366,1116200,1726600,1
1072,950,2,270366,1115799,2248351,1117200,1729600,1
1072,970,2,270370,1115672,2228412,1117200,1709600,1
1073,947,1,270373,1116816,2251336,1118200,1732600,1
1073,957,1,270377,1116752,2241365,1118200,1722600,1
1073,967,1,270378,1116688,2231396,1118200,1712600,1
1074,954,3,270386,1117768,2244350,1119200,1725600,1
1074,974,3,270392,1117641,2224411,1119200,1705600,1
1075,951,1,270397,1118784,2247335,1120200,1728600,1
1075,971,1,270404,1118657,2227396,1120200,1708600,1
1076,938,2,270410,1119865,2260292,1121200,1741600,1
1076,948,5,270413,1119801,2250320,1121200,1731600,1
