npp;idp;a;campagne;espar;ess;fr;c13;d13;htot;hdec;gtot;ir5;typdom;age13;clad;ori;lib;gest;dc;sver;lign1;lign2;clexpo;cai40;cailloux;htext;text1;text2;prof1;prof2;pent2;affroc;humus;roche;topo;pro_nm;xl;yl;zp;regn;ser_86;greco
01585-11030-9-0T;661604;1;2016;19;19;F;1.660;0.052839441106509254;22.8;7.1;0.2192836805920134;0.00770;0;;53;1;2;0;0;4;3;10;;0;0;;0;7;;9;0;0;45;330;0;4;906567;6520616;227;01X;E10;E
02561-33010-8-6R;626892;1;2016;12V;12;F;1.180;0.0375605665696873;19.7;8.8;0.11080367138057755;0.00620;0;53;38;1;2;2;0;5;3;6;;0;1;;0;6;;9;0;0;45;330;0;4;727596;6926408;133;23;B41;B
02562-21020-1-3R;622588;1;2016;49PM;49;F;0.750;0.0238732414637843;11.2;5.3;0.04476232774459556;0.00700;0;;24;0;2;0;0;5;7;9;;0;0;;6;9;4;9;0;0;50;230;0;4;709035;6899012;128;606;B41;B
02562-21020-1-3R;622588;4;2016;49AM;49;F;0.680;0.021645072260497767;12.4;3.9;0.036796622842846204;0.00630;;;22;1;2;0;0;5;7;9;;0;0;;6;9;4;9;0;0;50;230;0;4;709035;6899012;128;606;B41;B
02562-21020-1-3R;622588;5;2016;49PM;49;F;0.330;0.010504226244065093;4.5;3.8;0.0086659866513537;0.02120;;;11;1;2;0;0;5;7;9;;0;0;;6;9;4;9;0;0;50;230;0;4;709035;6899012;128;606;B41;B
02562-21020-1-3R;622588;6;2016;49SN;49;F;0.280;0.008912676813146139;6.6;2.1;0.006238873769202297;0.01250;;;9;1;0;0;0;5;7;9;;0;0;;6;9;4;9;0;0;50;230;0;4;709035;6899012;128;606;B41;B
02562-21020-1-3R;622588;12;2016;49AM;49;F;0.390;0.012414085561167836;9.2;1.8;0.012103733422138642;0.00590;;;12;0;1;0;0;5;7;9;;0;0;;6;9;4;9;0;0;50;230;0;4;709035;6899012;128;606;B41;B
02562-21020-1-3R;622588;16;2016;49PM;49;F;0.660;0.021008452488130186;10.4;7.0;0.0346639466054148;0.00430;0;;21;1;2;0;0;5;7;9;;0;0;;6;9;4;9;0;0;50;230;0;4;709035;6899012;128;606;B41;B
02562-32090-4-2R;644606;1;2016;11;11;F;0.380;0.012095775674984046;14.2;9.9;0.011490986891234845;0.00980;;;12;0;2;0;0;5;3;7;1;0;2;;5;7;3;6;6;0;40;230;4;4;725883;6870198;176;771;B42;B
02562-32090-4-2R;644606;2;2016;11;11;F;0.440;0.014005634992086789;13.7;9.8;0.015406198491295469;0.00900;1;20;14;0;2;0;0;5;3;7;1;0;2;;5;7;3;6;6;0;40;230;4;4;725883;6870198;176;771;B42;B
02562-32090-4-2R;644606;3;2016;49AE;49;F;0.240;0.007639437268410976;7.7;3.9;0.0045836623610465855;0.00790;;;8;1;0;0;0;5;3;7;1;0;2;;5;7;3;6;6;0;40;230;4;4;725883;6870198;176;771;B42;B
02562-32090-4-2R;644606;4;2016;2;2;F;1.530;0.04870141258611997;19.1;4.2;0.1862829031419089;0.01280;;;49;1;2;0;0;5;3;7;1;0;2;;5;7;3;6;6;0;40;230;4;4;725883;6870198;176;771;B42;B
02562-32090-4-2R;644606;7;2016;17C;17;F;0.400;0.012732395447351628;12.9;7.0;0.012732395447351628;0.01980;;;13;1;2;0;0;5;3;7;1;0;2;;5;7;3;6;6;0;40;230;4;4;725883;6870198;176;771;B42;B
02562-32090-4-2R;644606;9;2016;25M;25;F;0.410;0.013050705333535419;9.3;1.4;0.013376972966873804;0.02020;;;13;1;1;0;0;5;3;7;1;0;2;;5;7;3;6;6;0;40;230;4;4;725883;6870198;176;771;B42;B
02562-32090-4-2R;644606;12;2016;25M;25;F;0.320;0.010185916357881302;9.5;4.3;0.008148733086305041;0.01310;;;10;0;2;0;0;5;3;7;1;0;2;;5;7;3;6;6;0;40;230;4;4;725883;6870198;176;771;B42;B
02562-32090-4-2R;644606;13;2016;17C;17;F;0.290;0.00923098669932993;9.7;5.4;0.0066924653570141985;0.02140;;;9;1;2;0;0;5;3;7;1;0;2;;5;7;3;6;6;0;40;230;4;4;725883;6870198;176;771;B42;B
02562-32090-4-2R;644606;16;2016;2;2;F;0.850;0.02705634032562221;16.4;12.9;0.05749472319194719;0.01870;0;32;27;1;2;0;0;5;3;7;1;0;2;;5;7;3;6;6;0;40;230;4;4;725883;6870198;176;771;B42;B
02562-32090-4-2R;644606;17;2016;11;11;F;1.220;0.03883380611442246;16.4;2.0;0.11844310864898851;0.01260;;;39;1;2;0;0;5;3;7;1;0;2;;5;7;3;6;6;0;40;230;4;4;725883;6870198;176;771;B42;B
04587-18080-3-5R;610976;2;2016;52;52;R;0.750;0.0238732414637843;9.0;5.5;0.04476232774459556;0.03350;0;13;24;1;2;0;0;4;1;6;3;2;2;;0;5;;6;45;0;45;330;4;4;979918;6375270;1287;41;H42;H
04587-18080-3-5R;610976;3;2016;52;52;R;0.300;0.00954929658551372;5.6;2.4;0.00716197243913529;0.02280;;;10;1;2;0;0;4;1;6;3;2;2;;0;5;;6;45;0;45;330;4;4;979918;6375270;1287;41;H42;H
04587-18080-3-5R;610976;4;2016;52;52;R;0.560;0.017825353626292277;11.0;6.5;0.02495549507680919;0.03120;0;13;18;1;2;0;0;4;1;6;3;2;2;;0;5;;6;45;0;45;330;4;4;979918;6375270;1287;41;H42;H
05587-13060-2-1R;616419;1;2016;52;52;R;0.420;0.01336901521971921;6.0;3.8;0.014037465980705169;0.02400;0;15;13;1;2;1;0;4;2;8;2;4;4;;0;4;;4;50;0;55;332;3;4;928395;6390269;971;266;H30;H
05587-13060-2-1R;616419;2;2016;52;52;R;0.360;0.011459155902616465;7.6;4.3;0.010313240312354817;0.00450;;;11;1;2;1;0;4;2;8;2;4;4;;0;4;;4;50;0;55;332;3;4;928395;6390269;971;266;H30;H
05587-13060-2-1R;616419;3;2016;52;52;R;0.600;0.01909859317102744;4.2;1.9;0.02864788975654116;0.01330;0;10;19;1;2;1;0;4;2;8;2;4;4;;0;4;;4;50;0;55;332;3;4;928395;6390269;971;266;H30;H
05587-15090-0-2T;605994;1;2016;37;37;F;0.250;0.007957747154594767;4.4;1.9;0.0049735919716217296;0.00440;0;34;8;0;2;0;0;3;1;4;2;4;4;;0;4;;4;70;2;99;210;4;1;950350;6408689;1718;55;H41;H
