unite,mode,position,classe,libelle,definition
U_EFT,1.1 ,1,1,spruce-dominated boreal,1.1 Spruce-dominated boreal forest.
U_EFT,1.2 ,2,2,pine-dominated boreal,1.2 Pine-dominated boreal forest.
U_EFT,2.1 ,3,3,hemiboreal,2.1 Hemiboreal forest.
U_EFT,2.2 ,4,4,nemoral Scots pine,2.2 Nemoral Scots pine forest.
U_EFT,2.3 ,5,5,nemoral spruce,2.3 Nemoral spruce forest.
U_EFT,2.4 ,6,6,nemoral Black pine,2.4 Nemoral Black pine forest.
U_EFT,2.5 ,7,7,mixed Scots pine-birch,2.5 Mixed Scots pine-birch forest.
U_EFT,2.6 ,8,8,mixed Scots pine-pedunculate oak,2.6 Mixed Scots pine-pedunculate oak forest.
U_EFT,3.1 ,9,9,subalpine larch-arolla pine and dwarf pine,3.1 Subalpine larch-arolla pine and dwarf pine forest.
U_EFT,3.2 ,10,10,subalp. and mount. spruce and mixed spruce-silver fir forest,3.2 Subalpine and mountainous spruce and mountainous mixed spruce-silver fir forest.
U_EFT,3.3 ,11,11,Alpine Scots pine and Black pine,3.3 Alpine Scots pine and Black pine forest.
U_EFT,4.1 ,12,12,acidophylous oakwood,4.1 Acidophylous oakwood.
U_EFT,4.2 ,13,13,oak-birch forest,4.2 Oak-birch forest.
U_EFT,5.1 ,14,14,pedunculate oak-hornbeam,5.1 Pedunculate oak-hornbeam forest.
U_EFT,5.2 ,15,15,sessile oak-hornbeam,5.2 Sessile oak-hornbeam forest.
U_EFT,5.3 ,16,16,ashwood and oak-ash,5.3 Ashwood and oak-ash forest.
U_EFT,5.4 ,17,17,maple-oak,5.4 Maple-oak forest.
U_EFT,5.5 ,18,18,lime-oak,5.5 Lime-oak forest.
U_EFT,5.6 ,19,19,maple-lime,5.6 Maple-lime forest.
U_EFT,5.7 ,20,20,lime,5.7 Lime forest.
U_EFT,5.8 ,21,21,ravine and slope,5.8 Ravine and slope forest.
U_EFT,5.9 ,22,22,other mesophytic deciduous,5.9 Other mesophytic deciduous forests.
U_EFT,6.1 ,23,23,lowland beech of south Scandinavia and north central Europe,6.1 Lowland beech forest of southern Scandinavia and north central Europe.
