espar;u_biogeo2002;u_ind_rb_fr
61;1;NI
61;2;I
61;3;I
61;4;NI
29MI;1;NI
29MI;2;NI
29MI;3;NI
29MI;4;NI
21C;1;I
21C;2;I
21C;3;I
21C;4;I
21M;1;I
21M;2;I
21M;3;I
21M;4;I
29EN;1;NI
29EN;2;NI
29EN;3;NI
29EN;4;NI
21O;1;NI
21O;2;I
21O;3;I
21O;4;I
15P;1;I
15P;2;I
15P;3;I
15P;4;I
15S;1;I
15S;2;I
15S;3;I
15S;4;I
29MA;1;NI
29MA;2;NI
29MA;3;NI
29MA;4;NI
29AI;1;NI
29AI;2;NI
29AI;3;NI
29AI;4;NI
13C;1;NI
13C;2;NI
13C;3;NI
13C;4;I
13G;1;I
13G;2;I
13G;3;I
13G;4;I
13B;1;NI
13B;2;I
13B;3;I
13B;4;I
37;1;NI
37;2;NI
37;3;I
37;4;I
40;1;I
40;2;NI
40;3;NI
40;4;I
12P;1;I
12P;2;I
12P;3;I
12P;4;I
12V;1;I
12V;2;I
12V;3;I
12V;4;I
49MC;1;NI
49MC;2;NI
49MC;3;NI
49MC;4;NI
49BS;1;I
49BS;2;I
49BS;3;I
49BS;4;I
11;1;I
11;2;I
11;3;I
11;4;I
10;1;I
10;2;I
10;3;I
10;4;I
29CT;1;NI
29CT;2;NI
29CT;3;NI
29CT;4;NI
16;1;NI
16;2;NI
16;3;NI
16;4;NI
29CA;1;NI
29CA;2;NI
29CA;3;NI
29CA;4;I
49CS;1;NI
49CS;2;NI
49CS;3;NI
49CS;4;NI
49CA;1;NI
49CA;2;NI
49CA;3;NI
49CA;4;NI
49CM;1;NI
49CM;2;NI
49CM;3;NI
49CM;4;NI
49CN;1;NI
49CN;2;NI
49CN;3;NI
49CN;4;NI
39;1;I
39;2;I
39;3;I
39;4;I
31;1;I
31;2;I
31;3;I
31;4;I
49AA;1;NI
49AA;2;NI
49AA;3;NI
49AA;4;NI
49AM;1;I
49AM;2;I
49AM;3;I
49AM;4;I
49AE;1;I
49AE;2;I
49AE;3;I
49AE;4;I
66;1;NI
66;2;NI
66;3;NI
66;4;NI
49C;1;NI
49C;2;NI
49C;3;NI
49C;4;NI
49KK;1;NI
49KK;2;NI
49KK;3;NI
49KK;4;NI
29PL;1;NI
29PL;2;NI
29PL;3;NI
29PL;4;NI
49OB;1;NI
49OB;2;NI
49OB;3;NI
49OB;4;NI
49EA;1;NI
49EA;2;NI
49EA;3;NI
49EA;4;I
49EV;1;I
49EV;2;I
49EV;3;I
49EV;4;I
09;1;I
09;2;I
09;3;I
09;4;I
23F;1;NI
23F;2;NI
23F;3;NI
23F;4;NI
29FA;1;NI
29FA;2;NI
29FA;3;NI
29FA;4;NI
17C;1;I
17C;2;I
17C;3;I
17C;4;I
17F;1;NI
17F;2;NI
17F;3;NI
17F;4;I
17O;1;I
17O;2;I
17O;3;I
17O;4;I
49IA;1;I
49IA;2;I
49IA;3;I
49IA;4;I
27C;1;NI
27C;2;NI
27C;3;NI
27C;4;NI
69JC;1;I
69JC;2;I
69JC;3;I
69JC;4;I
69JO;1;NI
69JO;2;NI
69JO;3;NI
69JO;4;I
69;1;NI
69;2;NI
69;3;I
69;4;I
38AU;1;I
38AU;2;I
38AU;3;I
38AU;4;I
38AL;1;NI
38AL;2;I
38AL;3;I
38AL;4;NI
63;1;NI
63;2;NI
63;3;I
63;4;NI
49LN;1;NI
49LN;2;NI
49LN;3;NI
49LN;4;NI
42;1;NI
42;2;NI
42;3;NI
42;4;NI
49MB;1;NI
49MB;2;NI
49MB;3;NI
49MB;4;NI
49MN;1;NI
49MN;2;NI
49MN;3;NI
49MN;4;NI
28;1;NI
28;2;NI
28;3;NI
28;4;I
32;1;NI
32;2;NI
32;3;NI
32;4;I
29PT;1;NI
29PT;2;NI
29PT;3;NI
29PT;4;NI
49FA;1;NI
49FA;2;NI
49FA;3;NI
49FA;4;I
49FL;1;I
49FL;2;NI
49FL;3;NI
49FL;4;I
62;1;NI
62;2;I
62;3;I
62;4;NI
59;1;NI
59;2;NI
59;3;I
59;4;NI
57A;1;NI
57A;2;NI
57A;3;NI
57A;4;I
53CO;1;NI
53CO;2;NI
53CO;3;NI
53CO;4;I
58;1;NI
58;2;I
58;3;I
58;4;NI
51;1;I
51;2;NI
51;3;NI
51;4;I
55;1;NI
55;2;NI
55;3;NI
55;4;I
52;1;NI
52;2;I
52;3;I
52;4;I
56;1;NI
56;2;NI
56;3;NI
56;4;NI
23PA;1;NI
23PA;2;NI
23PA;3;NI
23PA;4;I
23PC;1;I
23PC;2;I
23PC;3;I
23PC;4;I
23PM;1;I
23PM;2;I
23PM;3;I
23PM;4;I
49PN;1;NI
49PN;2;NI
49PN;3;NI
49PN;4;NI
49PL;1;NI
49PL;2;NI
49PL;3;NI
49PL;4;I
49PT;1;I
49PT;2;NI
49PT;3;NI
49PT;4;I
29PV;1;NI
29PV;2;NI
29PV;3;NI
29PV;4;NI
26E;1;NI
26E;2;NI
26E;3;NI
26E;4;NI
26OC;1;NI
26OC;2;NI
26OC;3;NI
26OC;4;NI
26OR;1;NI
26OR;2;NI
26OR;3;NI
26OR;4;NI
33B;1;NI
33B;2;I
33B;3;I
33B;4;I
33G;1;I
33G;2;I
33G;3;I
33G;4;I
33N;1;I
33N;2;I
33N;3;I
33N;4;I
24;1;I
24;2;I
24;3;I
24;4;I
23A;1;NI
23A;2;NI
23A;3;NI
23A;4;I
49PA;1;NI
49PA;2;NI
49PA;3;NI
49PA;4;NI
22M;1;I
22M;2;I
22M;3;I
22M;4;I
49PB;1;NI
49PB;2;NI
49PB;3;I
49PB;4;NI
49PC;1;NI
49PC;2;NI
49PC;3;NI
49PC;4;NI
22C;1;I
22C;2;I
22C;3;I
22C;4;I
23PD;1;I
23PD;2;I
23PD;3;I
23PD;4;I
49PM;1;I
49PM;2;I
49PM;3;I
49PM;4;I
22G;1;I
22G;2;I
22G;3;I
22G;4;NI
22S;1;NI
22S;2;NI
22S;3;NI
22S;4;NI
49PS;1;I
49PS;2;I
49PS;3;I
49PS;4;I
34;1;NI
34;2;NI
34;3;NI
34;4;I
29CE;1;NI
29CE;2;NI
29CE;3;NI
29CE;4;NI
06;1;I
06;2;NI
06;3;I
06;4;I
05;1;I
05;2;I
05;3;I
05;4;I
29CM;1;NI
29CM;2;NI
29CM;3;NI
29CM;4;NI
02;1;I
02;2;I
02;3;I
02;4;I
08P;1;NI
08P;2;NI
08P;3;NI
08P;4;I
04;1;NI
04;2;NI
04;3;NI
04;4;NI
03;1;I
03;2;I
03;3;I
03;4;I
08S;1;I
08S;2;NI
08S;3;NI
08S;4;I
07;1;I
07;2;I
07;3;NI
07;4;NI
49RA;1;I
49RA;2;NI
49RA;3;NI
49RA;4;I
49RP;1;NI
49RP;2;I
49RP;3;I
49RP;4;I
49RC;1;I
49RC;2;I
49RC;3;I
49RC;4;I
49BO;1;I
49BO;2;I
49BO;3;I
49BO;4;I
49RT;1;NI
49RT;2;NI
49RT;3;NI
49RT;4;NI
49VV;1;NI
49VV;2;NI
49VV;3;NI
49VV;4;NI
14;1;NI
14;2;NI
14;3;NI
14;4;NI
25B;1;I
25B;2;I
25B;3;I
25B;4;I
25M;1;I
25M;2;I
25M;3;I
25M;4;I
25C;1;I
25C;2;I
25C;3;I
25C;4;NI
25FD;1;NI
25FD;2;I
25FD;3;I
25FD;4;I
25FR;1;I
25FR;2;I
25FR;3;I
25FR;4;NI
25D;1;NI
25D;2;I
25D;3;I
25D;4;I
25P;1;NI
25P;2;NI
25P;3;NI
25P;4;NI
25E5;1;NI
25E5;2;I
25E5;3;I
25E5;4;NI
25XR;1;I
25XR;2;I
25XR;3;I
25XR;4;I
25E3;1;I
25E3;2;I
25E3;3;I
25E3;4;I
25V;1;I
25V;2;I
25V;3;I
25V;4;I
49SN;1;I
49SN;2;I
49SN;3;I
49SN;4;I
49SR;1;NI
49SR;2;I
49SR;3;I
49SR;4;NI
23AB;1;I
23AB;2;I
23AB;3;I
23AB;4;I
23SO;1;I
23SO;2;I
23SO;3;I
23SO;4;I
23C;1;I
23C;2;I
23C;3;I
23C;4;I
23SF;1;NI
23SF;2;NI
23SF;3;NI
23SF;4;NI
23AF;1;I
23AF;2;I
23AF;3;NI
23AF;4;NI
23AM;1;NI
23AM;2;I
23AM;3;I
23AM;4;NI
23SS;1;NI
23SS;2;NI
23SS;3;NI
23SS;4;NI
41;1;I
41;2;I
41;3;I
41;4;I
49TF;1;NI
49TF;2;NI
49TF;3;NI
49TF;4;I
49TA;1;NI
49TA;2;NI
49TA;3;NI
49TA;4;I
49TG;1;NI
49TG;2;NI
49TG;3;NI
49TG;4;I
67;1;I
67;2;I
67;3;I
67;4;I
68TC;1;NI
68TC;2;NI
68TC;3;NI
68TC;4;NI
29TA;1;NI
29TA;2;NI
29TA;3;NI
29TA;4;NI
20P;1;I
20P;2;I
20P;3;I
20P;4;I
29TX;1;NI
29TX;2;NI
29TX;3;NI
29TX;4;NI
20G;1;I
20G;2;I
20G;3;I
20G;4;I
29TT;1;NI
29TT;2;NI
29TT;3;NI
29TT;4;NI
20X;1;NI
20X;2;NI
20X;3;NI
20X;4;NI
49OO;1;NI
49OO;2;NI
49OO;3;NI
49OO;4;NI
18C;1;I
18C;2;I
18C;3;I
18C;4;I
18D;1;I
18D;2;I
18D;3;NI
18D;4;NI
18M;1;I
18M;2;I
18M;3;I
18M;4;I
68CM;1;NI
68CM;2;NI
68CM;3;NI
68CM;4;NI
65;1;NI
65;2;NI
65;3;NI
65;4;NI
68CB;1;NI
68CB;2;NI
68CB;3;NI
68CB;4;NI
76;1;NI
76;2;NI
76;3;NI
76;4;NI
68CH;1;NI
68CH;2;NI
68CH;3;NI
68CH;4;NI
54;1;NI
54;2;NI
54;3;NI
54;4;NI
53CA;1;NI
53CA;2;NI
53CA;3;NI
53CA;4;NI
53S;1;NI
53S;2;NI
53S;3;NI
53S;4;I
68PM;1;NI
68PM;2;NI
68PM;3;NI
68PM;4;NI
64;1;NI
64;2;NI
64;3;NI
64;4;NI
68CA;1;NI
68CA;2;NI
68CA;3;NI
68CA;4;NI
71;1;NI
71;2;NI
71;3;NI
71;4;NI
70SE;1;NI
70SE;2;NI
70SE;3;NI
70SE;4;NI
72V;1;NI
72V;2;NI
72V;3;NI
72V;4;NI
73;1;NI
73;2;NI
73;3;NI
73;4;NI
68EO;1;NI
68EO;2;NI
68EO;3;NI
68EO;4;NI
74J;1;NI
74J;2;NI
74J;3;NI
74J;4;NI
68TG;1;NI
68TG;2;NI
68TG;3;NI
68TG;4;NI
68CL;1;NI
68CL;2;NI
68CL;3;NI
68CL;4;NI
70SC;1;NI
70SC;2;NI
70SC;3;NI
70SC;4;NI
57B;1;NI
57B;2;NI
57B;3;NI
57B;4;NI
70SB;1;NI
70SB;2;NI
70SB;3;NI
70SB;4;NI
68SC;1;NI
68SC;2;NI
68SC;3;NI
68SC;4;NI
68SI;1;NI
68SI;2;NI
68SI;3;NI
68SI;4;NI
27N;1;NI
27N;2;NI
27N;3;NI
27N;4;NI
29LI;1;NI
29LI;2;NI
29LI;3;NI
29LI;4;NI
68PC;1;NI
68PC;2;NI
68PC;3;NI
68PC;4;NI
68SV;1;NI
68SV;2;NI
68SV;3;NI
68SV;4;NI
68SG;1;NI
68SG;2;NI
68SG;3;NI
68SG;4;NI
68CC;1;NI
68CC;2;NI
68CC;3;NI
68CC;4;NI
68TH;1;NI
68TH;2;NI
68TH;3;NI
68TH;4;NI
68CJ;1;NI
68CJ;2;NI
68CJ;3;NI
68CJ;4;NI
23PF;1;I
23PF;2;I
23PF;3;NI
23PF;4;NI
25R;1;I
25R;2;I
25R;3;I
25R;4;NI
29FI;1;NI
29FI;2;NI
29FI;3;NI
29FI;4;NI
60;1;NI
60;2;NI
60;3;I
60;4;NI
68TS;1;NI
68TS;2;NI
68TS;3;NI
68TS;4;NI
77;1;NI
77;2;NI
77;3;NI
77;4;NI
72N;1;NI
