"npp","incref","dep","u_cha_zone","u_cha_strate"
"13-26-260-1-177T",8,"26",1,"FEU_H4"
"13-26-261-1-174T",8,"26",1,"FEU_H2"
"13-26-262-1-173T",8,"26",1,"FEU_H3"
"13-26-262-1-175T",8,"26",1,"FEU_H3"
"13-26-262-1-179T",8,"26",1,"FEU_H2"
"13-26-263-1-176T",8,"26",1,"FEU_H1"
"13-26-263-1-180T",8,"26",1,"FEU_H4"
"13-26-263-1-202T",8,"26",0,"FEU_H4"
"13-26-264-1-193T",8,"26",0,"FEU_H2"
"13-26-264-1-197T",8,"26",0,"FEU_H1"
"13-26-266-1-193T",8,"26",0,"FEU_H1"
"13-26-266-1-201T",8,"26",0,"MIX_TT"
"13-26-267-1-190T",8,"26",0,"FEU_H2"
"13-26-267-1-192T",8,"26",0,"FEU_H3"
"13-26-268-1-185T",8,"26",0,"MIX_TT"
"13-26-268-1-193T",8,"26",0,"FEU_H1"
"13-26-268-1-195T",8,"26",0,"MIX_TT"
"13-26-268-1-197T",8,"26",0,"FEU_H2"
"13-26-268-1-201T",8,"26",0,"MIX_TT"
"13-26-269-1-182T",8,"26",0,"FEU_H1"
"13-26-269-1-184T",8,"26",0,"FEU_H4"
"13-26-270-1-199T",8,"26",0,"MIX_TT"
"13-26-272-1-197T",8,"26",0,"FEU_H4"
"13-26-274-1-195T",8,"26",0,"FEU_H2"
"13-26-274-1-197T",8,"26",0,"FEU_H4"
"13-38-256-1-169T",8,"38",0,"CHT_TT"
"13-38-257-1-170T",8,"38",0,"FEU_H2"
"13-38-257-1-172T",8,"38",0,"CHT_TT"
"13-38-257-1-174T",8,"38",0,"FEU_H2"
"13-38-258-1-157T",8,"38",0,"FEU_H1"
"13-38-258-1-161T",8,"38",0,"FEU_H3"
"13-38-258-3-167T",8,"38",0,"PEUPLE"
"13-38-259-1-168T",8,"38",0,"FEU_H1"
"13-38-260-1-169T",8,"38",0,"FEU_H3"
"13-38-261-1-168T",8,"38",0,"FEU_H4"
"13-38-262-1-167T",8,"38",0,"FEU_H4"
"13-38-263-1-166T",8,"38",0,"CHT_TT"
"13-38-263-1-172T",8,"38",1,"CHT_TT"
"13-38-264-1-157T",8,"38",0,"FEU_H3"
"13-38-265-1-158T",8,"38",0,"FEU_H2"
"13-38-265-1-162T",8,"38",0,"FEU_H4"
"13-38-265-1-166T",8,"38",0,"CHT_TT"
"13-38-266-1-159T",8,"38",0,"FEU_H4"
"13-38-266-1-165T",8,"38",0,"CHT_TT"
"13-38-266-1-167T",8,"38",0,"CHT_TT"
"13-38-266-1-173T",8,"38",1,"MIX_TT"
"13-38-266-1-175T",8,"38",1,"FEU_H1"
"13-38-267-1-174T",8,"38",1,"FEU_H2"
"13-38-267-1-176T",8,"38",1,"FEU_H4"
"13-38-268-1-159T",8,"38",0,"FEU_H4"
