"npp","a","espar","c13","veget","datemort","acci","ori","lib","q1","q2","q3","r","ess","d13","clad","clac","cld","clcir","w","wac","ir5","gtot","fr"
"23CHA001",1,"14",0.56,"0",NA,0,0,"2",0,0,1,0,"14",0.1782535,"18","56","04","11",14.1471061,14.1471061,0.00871317,0.0249555,"F"
"23CHA001",2,"14",0.69,"0",NA,0,1,"2",0,0,1,0,"14",0.2205888,"22","69","04","14",14.1471061,14.1471061,0.00647047,0.038217,"F"
"23CHA001",3,"14",0.27,"5",2,NA,0,NA,0,0,1,0,"14",0.085307,"9","27","02","05",88.4194128,88.4194128,0.027563,0.0057156,"F"
"23CHA001",4,"14",0.64,"0",NA,0,1,"2",0,0,1,0,"14",0.2021268,"20","64","04","13",14.1471061,14.1471061,0.0060294,0.0320876,"F"
"23CHA001",5,"14",0.6,"0",NA,0,0,"2",0,0,1,0,"14",0.1893944,"19","60","04","12",14.1471061,14.1471061,0.008653,0.0281724,"F"
"23CHA001",6,"14",0.43,"0",NA,0,0,"2",0,0,1,0,"14",0.1362366,"14","43","03","09",88.4194128,88.4194128,0.007642481,0.0145773,"F"
"23CHA001",7,"14",0.48,"0",NA,0,1,"2",0,0,1,0,"14",0.1521521,"15","48","03","10",88.4194128,88.4194128,0.0215,0.0181822,"F"
"23CHA001",8,"14",0.33,"0",NA,0,1,"2",0,0,1,0,"14",0.1053606,"11","33","02","07",88.4194128,88.4194128,0.008124818,0.0087186,"F"
"23CHA001",9,"15P",0.29,"0",NA,0,0,"2",0,0,1,0,"15",0.0913549,"9","29","02","06",88.4194128,88.4194128,0.0170402,0.0065547,"F"
"23CHA001",10,"14",0.55,"0",NA,0,0,"2",0,0,1,0,"14",0.1750704,"18","55","04","11",88.4194128,88.4194128,0.008434371,0.0240722,"F"
"23CHA001",11,"14",0.72,"0",NA,0,1,"2",0,0,0.2,0.8,"14",0.2275916,"23","72","05","14",14.1471061,14.1471061,0.0035,0.040682,"F"
"23CHA001",12,"15P",0.26,"0",NA,0,0,"1",0,0,1,0,"15",0.0827606,"8","26","02","05",88.4194128,88.4194128,0.006609679,0.0053794,"F"
"23CHA001",13,"15P",0.27,"0",NA,0,0,"1",0,0,1,0,"15",0.0859437,"9","27","02","05",88.4194128,88.4194128,0.0029,0.0058012,"F"
"23CHA001",14,"14",0.61,"5",1,NA,0,"2",0,0,1,0,"14",0.1948057,"19","61","04","12",14.1471061,14.1471061,0.00589197,0.0298053,"F"
"23CHA001",15,"14",0.81,"0",NA,0,1,"2",0,0,1,0,"14",0.2594226,"26","82","05","16",14.1471061,14.1471061,0.008,0.0528573,"F"
"23CHA001",16,"14",0.57,"0",NA,0,0,"2",0,0,1,0,"14",0.1814366,"18","57","04","11",14.1471061,14.1471061,0.00452003,0.0258547,"F"
"23CHA001",17,"14",0.58,"0",NA,0,1,"2",0,0,1,0,"14",0.1830282,"18","57","04","12",14.1471061,14.1471061,0.00845179,0.0263103,"F"
"23CHA001",18,"14",0.68,"0",NA,0,1,"2",0,0,1,0,"14",0.2164507,"22","68","04","14",14.1471061,14.1471061,0.0316544,0.0367966,"F"
"23CHA001",19,"14",0.58,"0",NA,0,1,"2",0,0,1,0,"14",0.1830282,"18","57","04","12",14.1471061,14.1471061,0.00845179,0.0263103,"F"
"23CHA001",20,"14",0.36,"5",1,NA,0,"2",0,0,1,0,"14",0.1136366,"11","36","02","07",88.4194128,88.4194128,0.024516,0.0101421,"F"
"23CHA001",21,"14",0.43,"0",NA,0,0,"2",0,0,1,0,"14",0.1356,"14","43","03","09",88.4194128,88.4194128,0.004308,0.0144414,"F"
"23CHA001",22,"14",0.28,"5",1,NA,0,"1",0,0,1,0,"14",0.0907183,"9","28","02","06",88.4194128,88.4194128,0.002541002,0.0064637,"F"
"23CHA001",23,"14",0.38,"0",NA,0,1,"2",0,0,1,0,"14",0.1209578,"12","38","02","08",88.4194128,88.4194128,0.00972667,0.011491,"F"
"23CHA001",24,"14",0.7,"0",NA,0,0,"2",0,0,1,0,"14",0.2234535,"22","70","04","14",14.1471061,14.1471061,0.00424155,0.0392161,"F"
"23CHA001",25,"14",0.52,"0",NA,0,0,"2",0,0,1,0,"14",0.1648845,"16","52","03","10",88.4194128,88.4194128,0.00792831,0.0213525,"F"
"23CHA001",26,"14",0.59,"0",NA,0,0,"2",0,0,1,0,"14",0.1874845,"19","59","04","12",14.1471061,14.1471061,0.00573307,0.0276071,"F"
"23CHA001",27,"14",0.58,"0",NA,0,0,"2",0,0,1,0,"14",0.1833465,"18","58","04","12",14.1471061,14.1471061,0.008740493,0.0264019,"F"
"23CHA001",28,"14",0.56,"0",NA,0,0,"2",0,0,1,0,"14",0.176662,"18","56","04","11",14.1471061,14.1471061,0.0196,0.0245119,"F"
"23CHA001",29,"15P",0.24,"0",NA,0,0,"1",0,0,1,0,"15",0.0757578,"8","24","02","05",88.4194128,88.4194128,0.0152839,0.0045076,"F"
"23CHA001",30,"14",0.56,"0",NA,0,0,"2",0,0,1,0,"14",0.1782535,"18","56","04","11",14.1471061,14.1471061,0.00871317,0.0249555,"F"
"23CHA001",31,"14",0.62,"0",NA,0,0,"2",0,0,1,0,"14",0.1967155,"20","62","04","12",14.1471061,14.1471061,0.0225,0.0303925,"F"
"23CHA001",32,"14",0.59,"0",NA,0,0,"2",0,0,1,0,"14",0.1878028,"19","59","04","12",14.1471061,14.1471061,0.008653,0.0277009,"F"
"23CHA001",33,"14",0.62,"0",NA,0,0,"2",0,0,1,0,"14",0.1989437,"20","62","04","13",14.1471061,14.1471061,0.009,0.0310849,"F"
"23CHA001",34,"14",0.67,"0",NA,0,0,"2",0,0,1,0,"14",0.2139042,"21","67","04","13",14.1471061,14.1471061,0.0061,0.0359359,"F"
"23CHA001",35,"14",0.42,"0",NA,0,0,"2",0,0,1,0,"14",0.1320986,"13","42","03","08",88.4194128,88.4194128,0.018724814,0.0137052,"F"
"23CHA001",36,"14",0.48,"0",NA,0,0,"2",0,0,1,0,"14",0.1515155,"15","48","03","10",88.4194128,88.4194128,0.009581496,0.0180303,"F"
"23CHA001",37,"14",0.34,"0",NA,0,0,"1",0,0,1,0,"14",0.1072704,"11","34","02","07",88.4194128,88.4194128,0.00826564,0.0090375,"F"
"23CHA001",38,"14",0.33,"0",NA,0,0,"0",0,0,1,0,"14",0.104724,"10","33","02","07",88.4194128,88.4194128,0.0080188,0.0086135,"F"
"23CHA001",39,"14",0.55,"0",NA,0,0,"2",0,0,1,0,"14",0.1757071,"18","55","04","11",14.1471061,14.1471061,0.008434371,0.0242476,"F"
"23CHA001",40,"14",0.44,"0",NA,0,0,"2",0,0,1,0,"14",0.1416479,"14","44","03","09",88.4194128,88.4194128,0.019609423,0.0157583,"F"
"23CHA003",1,"21C",0.37,"0",NA,0,0,"2",0,0,1,0,"21",0.1177747,"12","37","02","07",14.1471061,14.1471061,0.0025,0.0108942,"F"
"23CHA003",2,"17C",0.35,"5",1,NA,0,"0",0,0,1,0,"17",0.1114085,"11","35","02","07",14.1471061,14.1471061,0.00147391,0.0097482,"F"
"23CHA003",3,"21C",0.29,"0",NA,0,0,"2",0,0,1,0,"21",0.0923099,"9","29","02","06",14.1471061,14.1471061,0.0118,0.0066925,"F"
"23CHA003",4,"21C",0.31,"0",NA,0,0,"2",0,0,1,0,"21",0.0986761,"10","31","02","06",14.1471061,14.1471061,0.005,0.0076474,"F"
"23CHA003",5,"21C",0.37,"0",NA,0,0,"2",0,0,1,0,"21",0.1177747,"12","37","02","07",14.1471061,14.1471061,0.0025,0.0108942,"F"
"23CHA003",6,"03",0.37,"0",NA,0,0,"2",0,0,1,0,"03",0.1177747,"12","37","02","07",14.1471061,14.1471061,0.00343363,0.0108942,"F"
"23CHA003",7,"21C",0.47,"0",NA,0,1,"0",0,0,1,0,"21",0.1496056,"15","47","03","09",14.1471061,14.1471061,0.00619203,0.0175787,"F"
