"npp","datepoint","leve","us_nm","csa","u_cha_dplct","u_clh3","peupnr","comp3_r","ser_86","alti","clalti","u_pro_psg","dca","esspre","sver","xl93","yl93","u_cha_strate","u_tfv_in","u_cha_zone"
"23CHA001","19/10/2023",1,1,"1",0,"16",0,1,"C52",268,"250",2,0,"14",6,857508.3881348,6472902.8812049,"FEU_H1","FF1-14-14",1
"23CHA003","03/04/2023",1,1,"3",1,"6",0,1,"C52",338,"300",2,0,"21",3,872393.047015,6472024.8793773,"FEU_H1","FF1-00-00",1
"23CHA004","04/04/2023",1,1,"1",1,"15",0,1,"C52",418,"400",2,0,"14",5,876874.0174746,6472038.9674665,"FEU_H4","FF1-00-00",1
"23CHA008","22/06/2023",1,1,"1",0,"13",0,1,"C52",478,"450",2,0,"11",5,885798.7758515,6471183.5693139,"FEU_H3","FF1-00-00",1
"23CHA009","20/10/2023",1,1,"1",1,"1",1,1,"C52",647,"600",2,1,"11",3,888753.3252998,6471192.406185,"FEU_H4","FF1-00-00",1
"23CHA010","02/06/2023",1,1,"1",3,"15",0,2,"C52",689,"650",2,0,"53",6,888015.2275133,6470753.7413412,"RES_TT","FF2G53-53",1
"23CHA011","24/03/2023",0,6,"6A",0,NA,NA,NA,"C52",238,"200",2,NA,NA,NA,854530.4525856,6470323.9133685,"FEU_H1","FO1",1
"23CHA013","04/04/2023",1,1,"1",0,"5",1,1,"C52",520,"500",2,0,"10",3,875376.0014295,6470323.9133685,"CHT_TT","FF1-10-10",1
"23CHA016","06/04/2023",1,1,"3",0,"17",0,1,"C52",563,"550",2,0,"21",4,882820.8403023,6470323.9133685,"FEU_H2","FF1-00-00",1
"23CHA017","04/10/2023",1,1,"1",0,"19",0,1,"C52",695,"650",2,0,"10",5,888776.7114006,6470323.9133685,"FEU_H4","FF1-00-00",1
"23CHA019","07/04/2023",1,1,"1",0,"17",0,1,"C52",616,"600",2,0,"10",5,882076.3564151,6469894.0853957,"MIX_TT","FF31",1
"23CHA020","19/06/2023",1,1,"1",0,"13",0,1,"C52",446,"400",2,0,"10",6,866442.1947821,6469464.257423,"CHT_TT","FF1-10-10",1
"23CHA021","04/04/2023",1,1,"1",0,"12",0,1,"C52",585,"550",2,0,"10",5,876864.9692041,6469464.257423,"CHT_TT","FF1-10-10",1
"23CHA022","04/04/2023",1,1,"1",1,"15",0,1,"C52",525,"500",2,0,"10",5,878349.3908423,6469458.9345812,"CHT_TT","FF1-10-10",1
"23CHA023","02/06/2023",0,6,"6A",0,NA,NA,NA,"C52",640,"600",2,NA,NA,NA,885798.7758515,6469464.257423,"CHT_TT","FF1-10-10",1
"23CHA026","03/10/2023",1,1,"1",1,"22",0,1,"C52",678,"650",2,0,"17",5,891746.1828421,6469452.6075783,"CHT_TT","FF1-10-10",1
"23CHA027","07/04/2023",1,1,"1",0,"15",0,3,"C52",590,"550",4,0,"10",5,881424.9330137,6469195.6149401,"RES_TT","FF2-64-64",1
"23CHA029","24/03/2023",0,2,"1",0,NA,NA,NA,"C52",205,"200",2,NA,NA,NA,851552.5170365,6469034.4294503,"MIX_TT","FF31",1
"23CHA030","07/04/2023",1,1,"1",0,"34",0,2,"C52",617,"600",4,0,"64",6,881331.8725278,6469034.4294503,"RES_TT","FF2-64-64",1
"23CHA031","19/06/2023",1,1,"1",1,"12",0,1,"C52",380,"350",2,0,"14",5,861949.956301,6468616.5232977,"FEU_H4","FF1-00-00",1
"23CHA034","10/10/2023",1,1,"1",0,"14",0,1,"C52",468,"450",2,0,"10",5,869420.1303313,6468604.6014775,"CHT_TT","FF1-10-10",1
"23CHA036","04/04/2023",1,1,"3",0,"19",0,2,"C52",614,"600",4,0,"53",6,877609.4530914,6468604.6014775,"RES_TT","FF2G53-53",1
"23CHA039","22/06/2023",1,1,"1",1,"14",0,1,"C52",646,"600",2,0,"09",4,885784.6337159,6468590.4593419,"FEU_H4","FF1-00-00",1
"23CHA040","31/07/2023",1,1,"1",1,"18",0,1,"C52",634,"600",2,0,"05",4,888789.5010031,6468612.438956,"FEU_H2","FF1-00-00",1
"23CHA045","22/09/2023",0,2,"1",0,NA,NA,NA,"C52",256,"250",2,NA,NA,NA,856019.4203602,6467744.9455321,"FEU_H4","FF1-00",1
"23CHA047","03/04/2023",1,1,"1",0,"18",0,1,"C52",519,"500",2,0,"10",5,875376.0014295,6467744.9455321,"CHT_TT","FF1-10-10",1
"23CHA048","05/04/2023",1,1,"1",0,"19",0,2,"C52",616,"600",4,0,"62",6,877609.4530914,6467744.9455321,"RES_TT","FF2-00-00",1
"23CHA050","30/05/2023",1,1,"1",1,"24",0,2,"C52",712,"700",1,0,"64",6,882795.8403023,6467744.9455321,"RES_TT","FF2-64-64",1
"23CHA051","31/07/2023",1,1,"1",0,"15",0,1,"C52",622,"600",2,0,"05",4,890265.6791752,6467744.9455321,"FEU_H3","FF1-00-00",1
"23CHA052","31/07/2023",1,1,"1",0,"12",0,1,"C52",317,"300",2,0,"10",5,893243.6147243,6467744.9455321,"CHT_TT","FF1-10-10",1
"23CHA053","05/04/2023",1,1,"1",0,"16",0,4,"C52",643,"600",3,0,"53",5,880587.3886405,6467315.1175593,"RES_TT","FF2-00-00",1
"23CHA055","05/10/2023",1,1,"1",0,"16",0,1,"C52",592,"550",2,0,"10",4,875003.7594859,6467100.203573,"FEU_H2","FF1-00-00",1
"23CHA058","24/03/2023",0,2,"1",0,NA,NA,NA,"C52",281,"250",2,NA,NA,NA,856019.4203602,6466885.2895866,"FEU_H2","FF1-00-00",1
"23CHA059","20/03/2023",1,1,"1",0,"3",0,1,"C52",370,"350",2,1,"10",3,857508.3881348,6466885.2895866,"FEU_H1","FF1-00-00",1
"23CHA060","10/10/2023",1,1,"1",0,"8",0,1,"C52",469,"450",2,0,"10",2,867931.1625567,6466885.2895866,"FEU_H2","FF1G01-01",1
"23CHA061","10/10/2023",1,1,"1",0,"21",0,1,"C52",509,"500",2,0,"03",4,870909.0981058,6466885.2895866,"FEU_H4","FF1-00-00",1
"23CHA062","05/04/2023",1,1,"1",0,"22",0,3,"C52",588,"550",1,2,"10",5,879098.4208659,6466885.2895866,"RES_TT","FF2-64-64",1
"23CHA063","05/04/2023",1,1,"1",0,"34",0,2,"C52",641,"600",3,0,"64",5,880587.3886405,6466885.2895866,"RES_TT","FF2-64-64",1
"23CHA064","30/05/2023",1,1,"1",1,"19",0,1,"C52",725,"700",4,0,"10",4,882835.9874133,6466877.5717481,"FEU_H4","FF1-00-00",1
"23CHA065","02/06/2023",1,1,"1",0,"27",0,1,"C52",687,"650",2,0,"09",5,885798.7758515,6466885.2895866,"FEU_H4","FF1-00-00",1
"23CHA066","04/10/2023",1,1,"1",1,"20",0,1,"C52",755,"750",2,0,"10",6,888780.5434142,6466893.4330301,"FEU_H4","FF1-00-00",1
"23CHA067","01/08/2023",1,1,"1",0,"19",0,1,"C52",617,"600",2,0,"11",5,890265.6791752,6466885.2895866,"FEU_H3","FF1-00-00",1
"23CHA070","05/04/2023",1,1,"1",1,"21",0,4,"C52",652,"650",3,0,"62",5,881344.6449261,6466456.8716998,"RES_TT","FF2G61-61",1
"23CHA072","05/04/2023",1,1,"1",0,"33",0,2,"C52",656,"650",3,0,"64",6,880866.5700982,6466186.8191309,"RES_TT","FF2G61-61",1
"23CHA073","20/03/2023",1,1,"1",0,"15",0,1,"C52",408,"400",2,0,"12",5,857508.3881348,6466025.6336411,"FEU_H1","FF1-00-00",1
"23CHA074","05/10/2023",1,1,"1",1,"4",1,1,"C52",404,"400",2,1,"10",3,861988.3539226,6466004.317637,"FEU_H1","FF1-00-00",1
"23CHA076","10/10/2023",1,1,"1",0,"14",0,1,"C52",557,"550",2,0,"10",4,871653.5819931,6466025.6336411,"MIX_TT","FF32",1
"23CHA077","30/05/2023",1,1,"1",0,"31",0,2,"C52",662,"650",3,0,"64",6,880587.3886405,6466025.6336411,"RES_TT","FF2-64-64",1
"23CHA078","31/05/2023",1,1,"1",0,"26",0,4,"C52",669,"650",3,3,"62",6,881331.8725278,6466025.6336411,"RES_TT","FF2G61-61",1
"23CHA079","03/10/2023",1,1,"1",0,"14",0,1,"C52",722,"700",2,0,"10",6,888776.7114006,6466025.6336411,"CHT_TT","FF1-10-10",1
"23CHA080","31/07/2023",1,1,"1",1,"11",0,1,"C52",683,"650",2,0,"10",5,890288.4352116,6466053.1409639,"CHT_TT","FF1-10-10",1
"23CHA081","31/07/2023",1,1,"1",0,"17",0,1,"C52",301,"300",2,0,"05",4,893243.6147243,6466025.6336411,"CHT_TT","FF1-10-10",1
"23CHA082","30/05/2023",1,1,"1",1,"23",0,1,"C52",665,"650",3,0,"24",4,880680.4491264,6465986.9051446,"RES_TT","FF2G61-61",1
"23CHA083","31/05/2023",1,1,"1",0,"23",0,4,"C52",680,"650",3,3,"62",6,881238.8120419,6465864.4481514,"RES_TT","FF2-00-00",1
"23CHA084","10/10/2023",1,1,"1",0,"9",1,1,"C52",539,"500",4,0,"10",3,871653.5819931,6465810.7196548,"FEU_H2","FF1-00-00",1
"23CHA085","21/06/2023",1,1,"1",0,"18",0,2,"C52",659,"650",3,0,"62",5,880308.2071828,6465649.534165,"RES_TT","FF2G61-61",1
"23CHA087","21/06/2023",1,1,"1",0,"20",0,3,"C52",662,"650",3,0,"62",5,880587.3886405,6465595.8056684,"RES_TT","FF2G61-61",1
"23CHA088","31/05/2023",1,1,"1",1,"23",0,2,"C52",684,"650",3,3,"62",6,881324.81556,6465572.8666361,"RES_TT","FF2-00-00",1
"23CHA089","21/06/2023",1,1,"1",1,"29",0,2,"C52",639,"600",2,3,"64",5,879377.6023237,6465562.0771718,"RES_TT","FF2-64-64",1
"23CHA090","21/06/2023",1,1,"1",0,"27",0,2,"C52",644,"600",3,0,"64",5,879749.8442673,6465434.6201786,"RES_TT","FF2-64-64",1
"23CHA093","20/03/2023",1,1,"1",0,"15",0,1,"C52",414,"400",2,0,"11",5,857508.3881348,6465165.9776957,"FEU_H3","FF1-00-00",1
"23CHA097","21/06/2023",1,1,"1",0,"20",0,1,"C52",637,"600",3,0,"03",5,879842.9047532,6465165.9776957,"FEU_H4","FF1-00-00",1
"23CHA098","21/06/2023",1,1,"1",0,"14",0,1,"C52",664,"650",3,0,"03",4,880587.3886405,6465165.9776957,"RES_TT","FF2-64-64",1
"23CHA099","05/05/2023",1,1,"1",0,"28",0,1,"C52",678,"650",2,0,"09",4,882820.8403023,6465165.9776957,"FEU_H4","FF1-00-00",1
"23CHA101","01/08/2023",1,1,"1",1,"15",0,1,"C52",595,"550",2,0,"10",5,876861.164978,6464307.5578182,"CHT_TT","FF1-10-10",1
"23CHA102","01/08/2023",1,1,"1",0,"39",0,2,"C52",601,"600",3,0,"64",6,879098.4208659,6464306.3217502,"RES_TT","FF2-64-64",1
"23CHA103","10/10/2023",1,1,"1",0,"17",0,1,"C52",660,"650",3,2,"03",4,880215.1466969,6464306.3217502,"FEU_H2","FF1-00-00",1
"23CHA104","04/10/2023",1,1,"1",1,"15",0,1,"C52",695,"650",4,0,"10",5,881334.2678487,6464323.1521524,"CHT_TT","FF1-10-10",1
"23CHA105","26/04/2023",1,1,"1",2,"18",0,1,"C52",570,"550",2,0,"10",6,882820.8403023,6464306.3217502,"FEU_H3","FF1-00",1
"23CHA106","04/05/2023",1,1,"1",3,"23",0,1,"C52",482,"450",2,0,"14",5,884317.5862515,6464314.0999248,"CHT_TT","FF1-10-10",1
"23CHA107","01/06/2023",1,1,"1",3,"21",0,1,"C52",553,"550",2,0,"10",6,885797.0350223,6464299.5416681,"CHT_TT","FF1-10-10",1
"23CHA108","04/10/2023",1,1,"1",0,"31",0,2,"C52",645,"600",3,0,"64",5,879935.9652391,6463822.7652809,"RES_TT","FF2-64-64",1
"23CHA111","22/09/2023",1,1,"1",1,"3",1,1,"C52",374,"350",2,0,"05",3,856044.1709516,6463450.1883356,"FEU_H2","FF1-00-00",1
"23CHA113","06/04/2023",1,1,"1",1,"27",0,1,"C52",487,"450",2,0,"10",5,866457.1873806,6463446.1946434,"CHT_TT","FF1-10-10",1
"23CHA114","08/06/2023",1,1,"1",1,"10",0,2,"C52",547,"500",2,0,"52",6,872436.5857257,6463440.5648606,"CHT_TT","FF1-10-10",1
"23CHA115","20/02/2023",1,1,"1",0,"19",0,2,"C52",650,"600",3,0,"62",6,879842.9047532,6463446.6658048,"RES_TT","FF2G61-61",1
"23CHA116","04/05/2023",1,1,"1",0,"9",0,1,"C52",679,"650",2,2,"10",3,881331.8725278,6463446.6658048,"CHT_TT","FF1-10-10",1
"23CHA117","02/08/2023",1,1,"1",0,"22",0,1,"C52",427,"400",2,0,"05",6,888776.7114006,6463446.6658048,"FEU_H4","FF1-00-00",1
"23CHA118","01/08/2023",1,1,"1",1,"12",0,1,"C52",358,"350",2,0,"11",4,893250.6112702,6463446.4459294,"FEU_H1","FF1-00-00",1
"23CHA120","08/06/2023",1,1,"1",1,"22",0,2,"C52",517,"500",2,0,"64",6,870953.4443234,6462998.4690273,"RES_TT","FF2-64-64",1
"23CHA121","01/08/2023",1,1,"1",1,"22",0,2,"C52",654,"650",3,3,"56",5,879077.4976226,6463023.6362059,"MIX_TT","FF32",1
"23CHA122","20/02/2023",1,1,"1",0,"25",0,2,"C52",672,"650",3,0,"56",6,879842.9047532,6463016.837832,"RES_TT","FF2G61-61",1
"23CHA123","24/03/2023",1,1,"1",0,"20",0,1,"C52",504,"500",2,0,"10",6,863464.259233,6462587.0098593,"FEU_H3","FF1-00-00",1
"23CHA124","12/10/2023",1,1,"1",0,"5",1,1,"C52",507,"500",2,1,"03",3,869420.1303313,6462587.0098593,"FEU_H1","FF1-00-00",1
"23CHA125","01/08/2023",1,1,"1",0,"11",0,1,"C52",584,"550",2,0,"10",5,873887.033655,6462587.0098593,"CHT_TT","FF1-10-10",1
"23CHA126","05/10/2023",1,1,"1",0,"21",0,1,"C52",621,"600",2,0,"10",4,875376.0014295,6462587.0098593,"FEU_H4","FF1-00-00",1
"23CHA128","20/02/2023",1,1,"1",0,"14",0,2,"C52",661,"650",2,0,"10",5,879842.9047532,6462587.0098593,"FEU_H1","FF1-00-00",1
"23CHA129","31/05/2023",0,2,"1",0,NA,NA,NA,"C52",532,"500",2,NA,NA,NA,882820.8403023,6462587.0098593,"CHT_TT","FF1-10-10",1
"23CHA131","06/04/2023",1,1,"1",1,"14",0,2,"C52",514,"500",4,0,"53",5,866531.776495,6462530.7538861,"RES_TT","FF2G53-53",1
"23CHA133","06/04/2023",1,1,"1",0,"17",0,1,"C52",515,"500",4,0,"10",5,866442.1947821,6462157.1818866,"MIX_TT","FF31",1
