"npp","incref","dep","u_pba_zone","u_pba_strate"
"12-40-136-1-280T",7,"64",0,"CHE_H1"
"12-64-001-1-174T",7,"64",1,"HET_H1"
"12-64-001-2-174T",7,"64",1,"HET_H2"
"12-64-005-1-174T",7,"64",0,"FEU_H2"
"12-64-005-2-174T",7,"64",0,"FEU_H1"
"12-64-007-1-176T",7,"64",0,"HET_H2"
"12-64-007-2-176T",7,"64",0,"FEU_H1"
"12-64-011-1-176T",7,"64",0,"FEU_H1"
"12-64-011-1-178T",7,"64",0,"HET_H1"
"12-64-011-2-178T",7,"64",0,"FEU_H1"
"12-64-013-1-172T",7,"64",0,"FEU_H2"
"12-64-013-2-172T",7,"64",0,"HET_H1"
"12-64-013-2-176T",7,"64",0,"RES_TT"
"12-64-015-1-168T",7,"64",0,"HET_H2"
"12-64-015-1-172T",7,"64",0,"F_COUV"
"12-64-015-2-174T",7,"64",0,"FEU_H1"
"12-64-015-2-176T",7,"64",0,"FEU_H1"
"12-64-121-1-291T",7,"64",1,"FEU_H2"
"12-64-122-1-290T",7,"64",1,"FEU_H1"
"12-64-123-1-287T",7,"64",1,"FEU_H1"
"12-64-123-1-291T",7,"64",1,"FEU_H2"
"12-64-124-1-290T",7,"64",1,"FEU_H2"
"12-64-126-1-286T",7,"64",1,"FEU_H1"
"12-64-127-1-283T",7,"64",1,"FEU_H2"
"12-64-127-1-285T",7,"64",1,"FEU_H2"
"12-64-128-1-284T",7,"64",1,"FEU_H2"
"12-64-128-1-288T",7,"64",1,"FEU_H2"
"12-64-129-1-285T",7,"64",1,"RES_TT"
"12-64-130-1-282T",7,"64",1,"CHE_H2"
"12-64-130-3-282T",7,"64",1,"PEUPLE"
"12-64-131-1-285T",7,"64",1,"CHE_H1"
"12-64-131-1-295T",7,"64",1,"FEU_H2"
"12-64-131-1-297T",7,"64",1,"HET_H2"
"12-64-132-1-284T",7,"64",1,"RES_TT"
"12-64-132-1-286T",7,"64",1,"FEU_H3"
"12-64-132-1-292T",7,"64",1,"F_COUV"
"12-64-133-1-291T",7,"64",1,"FEU_H1"
"12-64-133-1-297T",7,"64",1,"FEU_H1"
"12-64-134-1-286T",7,"64",1,"FEU_H2"
"12-64-135-1-283T",7,"64",1,"FEU_H2"
"12-64-135-1-285T",7,"64",1,"FEU_H2"
