"npp","a","veget","cld","clcir","u_menu_bois","u_v0","u_pv0","u_xv0_nm","u_vbftot_r","u_pba_pvbft","u_pba_xvbft"
"22PBA003",1,"0","08","26",0.112392618559753,1.821071731409,0.0382145448502686,0,1.70867911284924,0.035856025584546,0
"22PBA003",2,"0","11","33",0.152132707541859,3.41720598807053,0.0258667994464082,0,3.26507328052867,0.0247152193985674,0
"22PBA003",3,"0","20","34",0.742304861330463,10.1921351933899,0.0321246764020309,0,9.44983033205945,0.0297849994835614,0
"22PBA003",4,"0","12","34",0.174367187577967,4.3720100541176,0.0190228700072172,0,4.19764286653963,0.0182641882334423,0
"22PBA003",5,"0","23","34",0.763580311119816,12.2108114213118,0.0281191914815235,0,11.447231110192,0.0263608103028227,0
"22PBA003",6,"C","05","17",0.0409231985272654,0.452645103162361,0,0,0.411721904635096,0,0
"22PBA003",7,"C","06","18",0.0823923499898111,0.445835551524883,0,0,0.363443201535072,0,0
"22PBA003",8,"0","13","34",0.180443947098486,4.50361199418694,0.0336575120614816,0,4.32316804708845,0.0323089735253626,0
"22PBA003",9,"0","02","06",0.0107620211086961,0.0446807931681145,0.0089361586336229,0,0.0339187720594184,0.00678375441188368,0
"22PBA003",10,"0","07","21",0.0702085723917032,1.22258507950316,0.0176885272283786,0,1.15237650711146,0.0166727400531246,0
"22PBA003",11,"0","02","07",0.0120685247444992,0.0930369594694451,0.00686427375507313,0,0.0809684347249459,0.00597385710626461,0
"22PBA004",1,"5","09","29",0.230910359065312,1.68761356342951,0,0,1.4567032043642,0,0
"22PBA004",2,"0","06","17",0.0366817781138744,0.569053334023855,0.025542142760355,0,0.53237155590998,0.0238956692977305,0
"22PBA004",3,"0","06","17",0.0358736061441408,0.553578481644258,0.0133774258391824,0,0.517704875500118,0.0125105270674818,0
"22PBA004",4,"0","09","29",0.260002506280171,1.90023417702094,0.0135362488713366,0,1.64023167074077,0.0116841304983804,0
"22PBA005",1,"0","09","27",0.100912018779366,1.9885793465206,0.0351685089717058,0,1.88766732774123,0.033383855397784,0
"22PBA005",2,"5","02","07",0.00813126521030062,0.0633140797578832,0,0,0.0551828145475826,0,0
"22PBA005",3,"0","08","24",0.126086823173461,1.51322021311071,0.0387123712319236,0,1.38713338993725,0.0354867204879973,0
"22PBA005",4,"0","09","27",0.103583972014697,2.05260894637427,0.0451800304249419,0,1.94902497435957,0.0429000408461052,0
"22PBA005",5,"0","08","26",0.0969324743128018,1.88009315272411,0.0326300897543917,0,1.78316067841131,0.0309477713371584,0
"22PBA005",6,"0","08","25",0.0916890591888432,1.75783430285249,0.0434154026319785,0,1.66614524366365,0.0411508448092239,0
"22PBA005",7,"0","09","27",0.102246263607102,2.02049536350369,0.0106753422112522,0,1.91824909989659,0.01013512129635,0
"22PBA005",8,"0","07","22",0.0692816933559521,1.22038420855245,0.0862493334093138,0,1.1511025151965,0.0813529246983988,0
"22PBA005",9,"5","04","14",0.0221125857533002,0.306414302351481,0,0,0.28430171659818,0,0
"22PBA005",10,"0","05","16",0.0393887215639885,0.591597305478414,0.0133235427753715,0,0.552208583914425,0.0124364574019846,0
"22PBA005",11,"0","08","24",0.0852538076966369,1.60980040512273,0.0297751952802204,0,1.52454659742609,0.0281983235360763,0
"22PBA005",12,"0","09","27",0.104924890356276,2.08491801134136,0.0454696139442228,0,1.97999312098509,0.0431813252769047,0
"22PBA005",13,"0","12","34",0.162208378896051,4.05282921460587,0.150164124637393,0,3.89062083570982,0.144154031950045,0
"22PBA005",14,"0","11","34",0.147655408641321,3.35707459267913,0.0172846976876369,0,3.20941918403781,0.0165244586670696,0
"22PBA006",1,"0","04","12",0.0261658997950759,0.293436753696485,0.00878670500797155,0,0.267270853901409,0.00800319019644496,0
"22PBA006",2,"0","04","14",0.0365265322912945,0.460877967921821,0.0116958410420474,0,0.424351435630526,0.0107688960691242,0
"22PBA006",3,"0","06","18",0.0654441782017566,0.779110894290533,0.0150573613818235,0,0.713666716088777,0.0137925649982257,0
"22PBA006",4,"0","02","05",0.012868214595055,0.0358236148736242,0.00138391154242163,0,0.0229554002785692,0.00088842465526538,0
"22PBA006",5,"0","03","11",0.0223547765556253,0.20686619012339,0.015026436670373,0,0.184511413567765,0.0134026206471114,0
"22PBA006",6,"0","02","07",0.0131444874363438,0.0879026825620014,0.00233959057448753,0,0.0747581951256576,0.00198974096789733,0
"22PBA006",7,"0","02","06",0.00895224896117204,0.0534607789812384,0.0054591246151293,0,0.0445085300200664,0.00454496953553626,0
"22PBA006",8,"0","04","12",0.0253633530288379,0.280468996839038,0.0191385969999142,0,0.255105643810201,0.0174078567125516,0
"22PBA006",9,"0","11","34",0.260589594566489,3.57386832262725,0.0258238252307906,0,3.31327872806076,0.0239408738907981,0
"22PBA006",10,"0","05","15",0.0272073687537987,0.406479576540992,0.0226096747749475,0,0.379272207787193,0.0210963152004267,0
"22PBA006",11,"0","05","16",0.0319744894170134,0.494617353979469,0.0266557221486897,0,0.462642864562455,0.0249325656543029,0
"22PBA006",12,"0","08","26",0.148853262177629,1.86596017468,0.0228471822983522,0,1.71710691250237,0.0210245937657433,0
"22PBA007",1,"0","04","12",0.018817627825746,0.231718535454823,0.0120226297001313,0,0.212900907629077,0.0110462841059398,0
"22PBA007",2,"0","05","15",0.029658270944137,0.450068799193126,0.0229789152046227,0,0.420410528248989,0.0214646691729874,0
"22PBA007",3,"5","02","07",0.00817816857234298,0.0675037843773852,0,0.013500756875477,0.0593256158050423,0,0.0118651231610085
"22PBA007",4,"C","08","24",0.0558722295966515,0.769570074121554,0,0.153914014824311,0.713697844524902,0,0.14273956890498
"22PBA007",5,"5","05","15",0.0248540079667744,0.375251805443636,0,0,0.350397797476862,0,0
"22PBA007",6,"0","02","05",0.0103653693414321,0.0291648500050545,0.0058329700010109,0,0.0187994806636223,0.00375989613272447,0
"22PBA007",7,"5","04","13",0.0199474128974116,0.26087815986316,0,0.0521756319726321,0.240930746965749,0,0.0481861493931497
"22PBA007",8,"0","02","07",0.00924917825812338,0.0685624930424631,0.00770862180905955,0,0.0593133147843397,0.00666871771466946,0
"22PBA007",9,"0","04","13",0.0232556472566529,0.304144226318671,0.0187087042253363,0,0.280888579062019,0.0172781887381292,0
"22PBA007",10,"5","02","06",0.00780075747660585,0.0465843357520376,0,0,0.0387835782754318,0,0
"22PBA007",11,"0","03","10",0.0149510323151221,0.162111284916929,0.00325302549459945,0,0.147160252601807,0.00295300881583094,0
"22PBA007",12,"0","04","13",0.0232556472566529,0.304144226318671,0.0187087042253363,0,0.280888579062019,0.0172781887381292,0
"22PBA007",13,"0","03","10",0.013623366317422,0.142263705088254,0.0127112568113383,0,0.128640338770832,0.0114940095325031,0
"22PBA007",14,"0","02","05",0.00850062885130649,0.0277752497838238,0.00555504995676475,0,0.0192746209325173,0.00385492418650345,0
"22PBA007",15,"0","04","14",0.025078354547649,0.334171906411152,0.0350300268558398,0,0.309093551863503,0.0324011540617769,0
"22PBA007",16,"0","03","08",0.0108311658439453,0.100568145196816,0.00715630160235777,0,0.089736979352871,0.00638556958445353,0
"22PBA007",17,"0","03","11",0.0163407532237392,0.18322096295044,0.0128487203481457,0,0.166880209726701,0.0117027937845643,0
"22PBA007",18,"0","03","09",0.01319287243495,0.135919107720471,0.00993416807739469,0,0.122726235285521,0.008969916513428,0
"22PBA007",19,"0","05","16",0.0317621546529696,0.489061076311396,0.0247153325770216,0,0.457298921658426,0.0231101911056706,0
"22PBA009",1,"0","16","34",0.620752871472771,6.98625994421991,0.0334411127393535,0,6.36550707274714,0.0304697565453469,0
"22PBA009",2,"0","02","07",0.00701945715330646,0.0591198925326372,0.00610409394769772,0,0.0521004353793308,0.00537933914707004,0
