"npp","a","espar","c13","veget","datemort","acci","ori","lib","q1","q2","q3","r","ess","d13","clad","clac","cld","clcir","w","wac","ir5","gtot","fr"
"22PBA003",1,"10",1.28,"0",NA,0,1,"1",0.3,0.3,0.4,0,"10",0.4064817,"41","128","08","26",14.1471061,14.1471061,0.0118,0.1297693,"F"
"22PBA003",2,"02",1.65,"0",NA,0,1,"2",0.2,0.4,0.4,0,"02",0.5252113,"53","130","11","33",14.1471061,14.1471061,0.0047,0.2166497,"F"
"22PBA003",3,"51",3.08,"0",NA,0,1,"2",0.5,0.3,0.2,0,"51",0.9797578,"98","130","20","34",14.1471061,14.1471061,0.0046,0.7539236,"R"
"22PBA003",4,"02",1.82,"0",NA,0,1,"1",0.3,0.3,0.4,0,"02",0.579324,"58","130","12","34",14.1471061,14.1471061,0.0031,0.2635924,"F"
"22PBA003",5,"51",3.54,"0",NA,0,1,"2",0.8,0,0.2,0,"51",1.1280902,"113","130","23","34",14.1471061,14.1471061,0.0046,0.9994879,"R"
"22PBA003",6,"10",0.85,"C",2,NA,1,NA,0,0,1,0,"10",0.2699268,"27","85","05","17",39.2975168,39.2975168,0.0146,0.0572245,"F"
"22PBA003",7,"51",0.89,"C",2,NA,1,NA,0,0,1,0,"51",0.2829775,"28","89","06","18",39.2975168,39.2975168,0.0119582,0.0628917,"R"
"22PBA003",8,"10",2.02,"0",NA,0,1,"2",0.4,0.4,0.2,0,"10",0.6413944,"64","130","13","34",14.1471061,14.1471061,0.0097,0.3231024,"F"
"22PBA003",9,"10",0.28,"0",NA,0,1,"1",0,0,1,0,"10",0.0888085,"9","28","02","06",88.4194128,88.4194128,0.0118,0.0061944,"F"
"22PBA003",10,"02",1.06,"0",NA,0,1,"1",0.3,0.1,0.6,0,"02",0.3386817,"34","106","07","21",39.2975168,39.2975168,0.0051,0.0900893,"F"
"22PBA003",11,"10",0.36,"0",NA,0,0,"1",0,0,1,0,"10",0.1133183,"11","36","02","07",88.4194128,88.4194128,0.007865155,0.0100853,"F"
"22PBA004",1,"51",1.47,"5",2,NA,1,NA,0,0,1,0,"51",0.4682338,"47","130","09","29",14.1471061,14.1471061,0.00302421,0.172193,"R"
"22PBA004",2,"02",0.87,"0",NA,0,1,"2",0,0,1,0,"02",0.2766113,"28","87","06","17",39.2975168,39.2975168,0.0130012,0.0600938,"F"
"22PBA004",3,"02",0.86,"0",NA,0,1,"2",0,0,1,0,"02",0.2747014,"27","86","06","17",39.2975168,39.2975168,0.0067,0.0592668,"F"
"22PBA004",4,"51",1.47,"0",NA,0,1,"2",0.3,0.2,0.5,0,"51",0.4666423,"47","130","09","29",14.1471061,14.1471061,0.00302421,0.1710244,"R"
"22PBA005",1,"02",1.34,"0",NA,0,1,"2",0.3,0.2,0.5,0,"02",0.4271719,"43","130","09","27",14.1471061,14.1471061,0.00839532,0.1433162,"F"
"22PBA005",2,"31",0.34,"5",2,NA,0,"0",0,0,1,0,"31",0.1094986,"11","34","02","07",88.4194128,88.4194128,0.0076,0.0094169,"F"
"22PBA005",3,"21C",1.22,"0",NA,0,0,"2",0,0.2,0.8,0,"21",0.3877014,"39","122","08","24",14.1471061,14.1471061,0.012,0.1180551,"F"
"22PBA005",4,"02",1.36,"0",NA,0,1,"1",0,0.1,0.9,0,"02",0.4335381,"43","130","09","27",14.1471061,14.1471061,0.0107,0.1476197,"F"
"22PBA005",5,"02",1.31,"0",NA,0,1,"1",0.1,0.2,0.7,0,"02",0.416031,"42","130","08","26",14.1471061,14.1471061,0.008,0.1359381,"F"
"22PBA005",6,"02",1.27,"0",NA,0,1,"1",0,0.1,0.9,0,"02",0.4039352,"40","127","08","25",14.1471061,14.1471061,0.0110355,0.1281485,"F"
"22PBA005",7,"02",1.35,"0",NA,0,1,"1",0,0.1,0.9,0,"02",0.4297183,"43","130","09","27",14.1471061,14.1471061,0.0025,0.1450299,"F"
