"npp","datepoint","leve","us_nm","csa","u_pba_dplct","u_clh3","peupnr","comp3_r","ser_86","alti","clalti","u_pro_psg","dca","esspre","sver","xl93","yl93","u_pba_strate","u_tfv_in","u_pba_zone"
"22PBA001","11/08/2022",0,6,"6A",0,NA,NA,NA,"F22",5,"0",4,NA,NA,NA,335516.4440691,6279735.1708486,"RES_TT","FF2-51-51",1
"22PBA002","11/08/2022",0,2,"1",0,NA,NA,NA,"F22",10,"0",4,0,NA,NA,335516.4440691,6278875.5149031,"RES_TT","FF2-51-51",1
"22PBA003","16/09/2022",1,1,"1",0,"32",0,1,"F51",10,"0",2,0,"02",5,338494.3796182,6278875.5149031,"FEU_H3","FF1-00-00",1
"22PBA004","16/09/2022",1,1,"3",0,"21",0,2,"F22",19,"0",4,2,"51",4,335516.4440691,6278015.8589576,"RES_TT","FF2-51-51",1
"22PBA005","04/07/2022",1,1,"3",0,"19",0,1,"F51",45,"0",2,0,"02",5,359339.9284621,6277156.2030122,"FEU_H1","FF1-00-00",1
"22PBA006","04/07/2022",1,1,"1",0,"16",0,2,"F51",75,"50",4,0,"63",6,359339.9284621,6275436.8911212,"RES_TT","FF32",1
"22PBA007","04/07/2022",1,1,"3",0,"20",0,1,"F51",2,"0",2,0,"63",6,362317.8640112,6275436.8911212,"FEU_H1","FF1-00-00",1
"22PBA009","16/09/2022",1,1,"3",0,"25",0,2,"F51",57,"50",2,0,"51",6,329560.5729708,6271998.2673394,"RES_TT","FF32",1
"22PBA010","11/08/2022",0,6,"6A",0,NA,NA,NA,"F51",11,"0",2,NA,NA,NA,329560.5729708,6270278.9554485,"FEU_H1","FF1-00-00",1
"22PBA011","22/07/2022",1,1,"1",0,"8",0,1,"F51",18,"0",1,0,"17",4,332538.5085199,6270278.9554485,"FEU_H1","FF1-00-00",1
"22PBA012","23/06/2022",1,1,"1",0,"20",0,1,"F51",78,"50",2,0,"04",5,341472.3151673,6270278.9554485,"CHE_H2","FF1G01-01",1
"22PBA013","16/09/2022",1,1,"1",0,"22",0,2,"F51",26,"0",4,0,"63",6,356361.992913,6270278.9554485,"RES_TT","FF2G53-53",1
"22PBA014","05/07/2022",1,1,"1",0,"20",0,1,"F51",58,"50",2,0,"02",6,356361.992913,6269419.299503,"RES_TT","FF2G53-53",1
"22PBA015","11/08/2022",1,1,"3",0,NA,2,NA,"F51",111,"100",2,1,NA,NA,362317.8640112,6269419.299503,"RES_TT","FF2-64-64",1
"22PBA016","16/09/2022",1,1,"1",0,NA,2,NA,"F51",35,"0",4,1,NA,NA,344450.2507165,6268559.6435575,"FEU_H1","FF1-00-00",1
"22PBA017","04/07/2022",1,1,"3",0,"20",0,1,"F51",108,"100",2,0,"63",6,356361.992913,6268559.6435575,"CHE_H2","FF1G01-01",1
"22PBA018","11/08/2022",1,1,"1",0,NA,2,NA,"F51",105,"100",4,1,NA,NA,365295.7995603,6268559.6435575,"CHE_H1","FF1G01-01",1
"22PBA022","11/08/2022",1,1,"3",0,"22",0,1,"F51",23,"0",2,0,"51",6,331049.5407454,6265980.6757211,"RES_TT","FF32",1
"22PBA024","23/06/2022",1,1,"1",0,"23",0,1,"F51",28,"0",2,0,"14",5,338494.3796182,6265121.0197757,"CHE_H2","FF1G01-01",1
"22PBA025","21/06/2022",1,1,"1",0,"16",0,1,"F51",53,"50",2,0,"02",5,341472.3151673,6265121.0197757,"CHE_H1","FF1G01-01",1
"22PBA027","19/08/2022",1,1,"1",0,"35",0,1,"F51",51,"50",2,0,"17",5,368273.7351095,6265121.0197757,"FEU_H1","FF1-00-00",1
"22PBA028","05/07/2022",1,1,"1",0,"23",0,1,"F51",154,"150",4,0,"02",6,359339.9284621,6264261.3638302,"RES_TT","FF2-63-63",1
"22PBA029","21/06/2022",1,1,"1",0,"15",0,1,"F51",56,"50",2,3,"02",4,329560.5729708,6263401.7078847,"FEU_H1","FF1-00-00",1
"22PBA030","30/06/2022",1,1,"1",0,"22",0,1,"F51",69,"50",4,0,"02",6,332538.5085199,6263401.7078847,"FEU_H2","FF1-00-00",1
"22PBA031","30/06/2022",1,1,"1",0,"18",0,1,"F51",61,"50",4,0,"02",5,335516.4440691,6263401.7078847,"CHE_H2","FF1G01-01",1
"22PBA032","22/06/2022",1,1,"1",0,"27",0,1,"F51",54,"50",2,0,"02",4,353384.0573638,6263401.7078847,"CHE_H2","FF1G01-01",1
"22PBA033","14/08/2022",1,1,"1",0,"23",0,1,"F51",92,"50",2,0,"10",5,365295.7995603,6263401.7078847,"FEU_H2","FF1-00",1
"22PBA034","11/08/2022",0,6,"6A",0,NA,NA,NA,"F51",93,"50",2,NA,NA,NA,332538.5085199,6261682.3959938,"FEU_H3","FF1-00-00",1
"22PBA036","21/07/2022",1,1,"3",0,"32",0,1,"F51",38,"0",2,0,"02",6,323604.7018726,6259963.0841029,"FEU_H2","FF1-00",1
"22PBA037","30/06/2022",1,1,"3",0,"27",0,1,"F51",129,"100",2,0,"02",6,344450.2507165,6259963.0841029,"FEU_H3","FF1-00-00",1
"22PBA038","11/08/2022",1,1,"3",0,"24",0,1,"F51",272,"250",2,0,"02",6,350406.1218147,6259963.0841029,"CHE_H2","FF1G01-01",1
"22PBA041","30/06/2022",1,1,"1",0,"19",0,1,"F51",93,"50",2,0,"10",6,332538.5085199,6258243.7722119,"FEU_H2","FF1-00-00",1
"22PBA042","30/06/2022",1,1,"1",0,"22",0,1,"F51",104,"100",2,0,"17",6,338494.3796182,6258243.7722119,"FEU_H2","FF1-00-00",1
"22PBA045","01/07/2022",1,1,"3",0,"20",1,1,"I21",287,"250",2,2,"02",4,341472.3151673,6256524.460321,"FEU_H2","FF1-00-00",1
"22PBA046","01/07/2022",1,1,"1",1,"29",0,1,"F51",138,"100",2,3,"06",6,347403.487395,6256518.1187289,"FEU_H3","FF1-00-00",1
"22PBA047","11/08/2022",0,6,"6A",0,NA,NA,NA,"F51",204,"200",2,NA,NA,NA,362317.8640112,6256524.460321,"F_COUV","FO1",1
"22PBA048","22/07/2022",1,1,"3",0,"16",0,1,"F51",156,"150",2,0,"10",5,368273.7351095,6256524.460321,"FEU_H1","FF31",1
"22PBA049","22/07/2022",0,6,"6A",0,NA,NA,NA,"F51",165,"150",2,NA,NA,NA,383163.4128551,6256524.460321,"F_COUV","FO1",1
"22PBA051","11/08/2022",0,6,"6A",0,NA,NA,NA,"F51",175,"150",2,NA,NA,NA,362317.8640112,6254805.1484301,"F_COUV","FO1",1
"22PBA052","20/07/2022",1,1,"1",0,"15",0,1,"F51",194,"150",2,0,"02",6,365295.7995603,6254805.1484301,"RES_TT","FF2-63-63",1
"22PBA053","20/07/2022",1,1,"3",0,"22",0,1,"F51",113,"100",2,0,"63",6,366784.7673349,6254805.1484301,"RES_TT","FF2-63-63",1
"22PBA054","20/07/2022",1,1,"1",0,"16",0,1,"F51",150,"100",1,0,"07",5,368273.7351095,6253945.4924846,"RES_TT","FF32",1
"22PBA055","05/08/2022",1,1,"3",0,"17",0,1,"F51",116,"100",2,0,"10",6,326582.6374217,6253085.8365392,"CHE_H2","FF1G01-01",1
"22PBA056","05/07/2022",1,1,"1",0,"24",0,1,"I21",159,"150",4,3,"02",6,335516.4440691,6253085.8365392,"FEU_H3","FF31",1
"22PBA057","05/07/2022",1,1,"3",0,"28",0,1,"I21",394,"350",2,0,"09",4,341472.3151673,6253085.8365392,"HET_H2","FF1-09-09",1
"22PBA058","05/07/2022",1,1,"3",0,"13",0,1,"F51",216,"200",2,0,"17",4,347428.1862656,6253085.8365392,"FEU_H1","FF1-00-00",1
"22PBA059","19/08/2022",1,1,"3",0,"18",0,1,"F51",114,"100",2,0,"07",5,368273.7351095,6253085.8365392,"CHE_H1","FF1G01-01",1
"22PBA060","11/08/2022",0,6,"6A",0,NA,NA,NA,"F51",128,"100",2,NA,NA,NA,383163.4128551,6253085.8365392,"FEU_H2","FF1-00-00",1
"22PBA061","11/08/2022",1,1,"3",0,"30",0,1,"F51",96,"50",2,0,"29",4,386141.3484042,6253085.8365392,"FEU_H2","FF1-00",1
"22PBA062","18/08/2022",1,1,"1",0,"16",0,1,"I21",305,"300",2,0,"04",6,344450.2507165,6251366.5246482,"CHE_H1","FF1G01-01",1
"22PBA064","14/06/2022",1,1,"1",0,"19",0,1,"F51",183,"150",4,0,"10",5,371251.6706586,6250506.8687028,"RES_TT","FF2G53-53",1
"22PBA065","05/07/2022",1,1,"1",0,"12",0,1,"I21",395,"350",2,0,"10",6,344450.2507165,6249647.2127573,"CHE_H1","FF1G01-01",1
"22PBA067","06/07/2022",1,1,"3",1,"22",0,1,"F51",160,"150",2,0,"02",6,353388.3555913,6249671.8404904,"F_COUV","FO1",1
"22PBA068","07/07/2022",1,1,"1",0,"18",0,1,"F51",247,"200",2,0,"02",5,359339.9284621,6249647.2127573,"FEU_H2","FF1-00-00",1
"22PBA071","11/08/2022",0,6,"6A",0,NA,NA,NA,"F51",135,"100",2,NA,NA,NA,383163.4128551,6249647.2127573,"FEU_H2","FF1-00-00",1
"22PBA073","03/08/2022",1,1,"1",0,"31",0,1,"F51",229,"200",2,0,"02",5,389119.2839534,6249647.2127573,"CHE_H2","FF1G01-01",1
"22PBA075","07/07/2022",1,1,"3",0,"14",0,1,"I11",295,"250",2,0,"05",4,362317.8640112,6247927.9008664,"CHE_H1","FF1G01-01",1
"22PBA078","07/07/2022",1,1,"3",0,"14",0,1,"I11",237,"200",2,0,"07",6,362317.8640112,6246208.5889754,"CHE_H1","FF1G01-01",1
"22PBA079","11/08/2022",0,6,"6A",0,NA,NA,NA,"I11",278,"250",2,NA,NA,NA,389119.2839534,6246208.5889754,"FEU_H3","FF1-00-00",1
"22PBA080","18/08/2022",1,1,"1",0,"27",0,1,"I11",181,"150",4,0,"02",5,392097.2195025,6246208.5889754,"FEU_H3","FF31",1
