npp,depbdv2,anrefbdv,codeTFVdis,codeTFVdiN,dist_bdfor
23-66-238-1-291T,66,2015,FF1-10-10,,1_DANS_BDFOR
23-66-234-1-291T,66,2015,FF1-10-10,,1_DANS_BDFOR
23-66-222-1-295T,66,2015,FF1-00-00,,1_DANS_BDFOR
23-66-238-1-289T,66,2015,LA4,,1_DANS_BDFOR
23-66-232-1-291T,66,2015,FF1-00-00,,1_DANS_BDFOR
23-66-236-1-289T,66,2015,FF1-00-00,,1_DANS_BDFOR
23-66-224-1-293T,66,2015,FF2G58-58,,1_DANS_BDFOR
23-66-234-1-289T,66,2015,FF32,,1_DANS_BDFOR
23-66-226-1-291T,66,2015,FF32,,1_DANS_BDFOR
23-66-236-1-287T,66,2015,FF1G01-01,,1_DANS_BDFOR
23-66-230-1-289T,66,2015,FF1-49A49,,1_DANS_BDFOR
23-66-218-1-293T,66,2015,FF2G58-58,,1_DANS_BDFOR
23-66-234-1-287T,66,2015,FO2,,1_DANS_BDFOR
23-66-216-1-293T,66,2015,FO2,,1_DANS_BDFOR
23-66-238-1-285T,66,2015,FF1-00-00,,1_DANS_BDFOR
23-66-226-1-289T,66,2015,FF1G06-06,,1_DANS_BDFOR
23-66-230-1-287T,66,2015,FF1-00-00,,1_DANS_BDFOR
23-66-218-1-291T,66,2015,FF2G58-58,,1_DANS_BDFOR
23-66-240-1-283T,66,2015,FF1G01-01,,1_DANS_BDFOR
23-66-234-1-285T,66,2015,FF1-00-00,,1_DANS_BDFOR
23-66-216-1-291T,66,2015,LA6,,1_DANS_BDFOR
23-66-222-1-289T,66,2015,FF2G58-58,,1_DANS_BDFOR
23-66-228-1-287T,66,2015,FF1-00-00,,1_DANS_BDFOR
23-66-238-1-283T,66,2015,FF1G06-06,,1_DANS_BDFOR
23-66-232-1-285T,66,2015,FF1G06-06,,1_DANS_BDFOR
23-66-220-1-289T,66,2015,FF2G58-58,,1_DANS_BDFOR
23-66-239-1-282T,66,2015,LA4,,1_DANS_BDFOR
23-66-230-1-285T,66,2015,LA4,,1_DANS_BDFOR
23-66-228-1-285T,66,2015,LA4,,1_DANS_BDFOR
23-66-234-1-283T,66,2015,FF1-00-00,,1_DANS_BDFOR
23-09-216-1-289T,09,2011,FF2G58-58,,1_DANS_BDFOR
23-66-232-1-283T,66,2015,FO1,,4_HORS_BDFOR
23-66-220-1-287T,66,2015,LA4,,1_DANS_BDFOR
23-66-226-1-285T,66,2015,LA6,,1_DANS_BDFOR
23-66-230-1-283T,66,2015,FF1G06-06,,1_DANS_BDFOR
23-09-212-1-289T,09,2011,FO1,,1_DANS_BDFOR
23-66-234-1-281T,66,2015,LA4,,1_DANS_BDFOR
23-09-222-1-285T,09,2011,FF1-09-09,,1_DANS_BDFOR
23-09-210-1-289T,09,2011,FO2,,1_DANS_BDFOR
23-66-232-1-281T,66,2015,FF1G06-06,,1_DANS_BDFOR
23-09-220-1-285T,09,2011,FF2G61-61,,1_DANS_BDFOR
23-09-214-1-287T,09,2011,FF2G61-61,,1_DANS_BDFOR
23-66-230-1-281T,66,2015,LA4,,1_DANS_BDFOR
23-11-224-1-283T,11,2015,FF2G61-61,,1_DANS_BDFOR
23-09-218-1-285T,09,2011,FF1-09-09,,1_DANS_BDFOR
23-66-236-1-279T,66,2015,LA4,,2_BDFOR_15m
23-09-206-1-289T,09,2011,LA4,,1_DANS_BDFOR
23-66-237-1-278T,66,2015,LA4,,1_DANS_BDFOR
23-66-234-1-279T,66,2015,FF2-91-91,,1_DANS_BDFOR
23-09-210-1-287T,09,2011,FF1-09-09,,1_DANS_BDFOR
23-66-232-1-279T,66,2015,FF1G06-06,,1_DANS_BDFOR
23-66-235-1-278T,66,2015,FF1G06-06,,1_DANS_BDFOR
23-11-226-1-281T,11,2015,FF1-00-00,,1_DANS_BDFOR
23-09-214-1-285T,09,2011,FF1-00-00,,1_DANS_BDFOR
23-66-230-1-279T,66,2015,FF1G06-06,,1_DANS_BDFOR
23-11-224-1-281T,11,2015,FF1-00-00,,1_DANS_BDFOR
23-11-218-1-283T,11,2015,FF2G61-61,,1_DANS_BDFOR
23-09-206-1-287T,09,2011,FF2-63-63,,1_DANS_BDFOR
23-66-233-1-278T,66,2015,FF1G06-06,,1_DANS_BDFOR
23-09-200-1-289T,09,2011,FF1-09-09,,1_DANS_BDFOR
23-09-212-1-285T,09,2011,FF1-49A49,,1_DANS_BDFOR
23-65-176-1-297T,65,2006,FO2,,1_DANS_BDFOR
23-09-216-1-283T,09,2011,FF2G61-61,,1_DANS_BDFOR
23-66-234-1-277T,66,2015,LA4,,1_DANS_BDFOR
23-09-204-1-287T,09,2011,LA4,,1_DANS_BDFOR
23-66-228-1-279T,66,2015,FF1G01-01,,1_DANS_BDFOR
23-09-198-1-289T,09,2011,FF1-09-09,,1_DANS_BDFOR
23-65-180-1-295T,65,2006,LA4,,1_DANS_BDFOR
23-66-232-1-277T,66,2015,FF1-00-00,,1_DANS_BDFOR
23-11-226-1-279T,11,2015,FF2-52-52,,1_DANS_BDFOR
23-09-208-1-285T,09,2011,FF1-00-00,,1_DANS_BDFOR
23-09-211-1-284T,09,2011,FO1,,1_DANS_BDFOR
23-09-196-1-289T,09,2011,FF1-09-09,,1_DANS_BDFOR
23-09-202-1-287T,09,2011,FF1-00-00,,1_DANS_BDFOR
23-31-184-1-293T,31,2013,FF2G61-61,,1_DANS_BDFOR
23-09-212-1-283T,09,2011,LA4,,1_DANS_BDFOR
23-09-206-1-285T,09,2011,LA4,,1_DANS_BDFOR
23-09-194-1-289T,09,2011,FF2G58-58,,1_DANS_BDFOR
23-31-182-1-293T,31,2013,FF1-00-00,,1_DANS_BDFOR
23-11-222-1-279T,11,2015,FF31,,1_DANS_BDFOR
23-66-228-1-277T,66,2015,FF1G06-06,,1_DANS_BDFOR
23-11-216-1-281T,11,2015,FF2G61-61,,1_DANS_BDFOR
23-09-210-1-283T,09,2011,FF1-09-09,,1_DANS_BDFOR
23-66-231-1-276T,66,2015,FF1G06-06,,1_DANS_BDFOR
23-09-198-1-287T,09,2011,FF1-09-09,,1_DANS_BDFOR
23-09-204-1-285T,09,2011,LA4,,1_DANS_BDFOR
23-31-183-1-292T,31,2013,FF1-09-09,,1_DANS_BDFOR
23-11-232-1-275T,11,2015,LA4,,1_DANS_BDFOR
23-11-226-1-277T,11,2015,FF1-09-09,,1_DANS_BDFOR
23-09-211-1-282T,09,2011,FF1-09-09,,1_DANS_BDFOR
23-11-220-1-279T,11,2015,FF2G61-61,,1_DANS_BDFOR
23-09-208-1-283T,09,2011,FF1-00-00,,1_DANS_BDFOR
23-09-196-1-287T,09,2011,FF1-00-00,,1_DANS_BDFOR
23-09-202-1-285T,09,2011,FF1-09-09,,1_DANS_BDFOR
23-09-214-1-281T,09,2011,FF2G61-61,,1_DANS_BDFOR
23-31-184-1-291T,31,2013,FF2G61-61,,1_DANS_BDFOR
23-09-190-1-289T,09,2011,LA4,,1_DANS_BDFOR
23-11-230-1-275T,11,2015,FF1-00-00,,1_DANS_BDFOR
23-65-166-1-297T,65,2006,FF2G58-58,,1_DANS_BDFOR
23-66-236-1-273T,66,2015,LA4,,1_DANS_BDFOR
23-11-224-1-277T,11,2015,FF1G01-01,,1_DANS_BDFOR
23-09-206-1-283T,09,2011,FF2G53-53,,1_DANS_BDFOR
23-11-218-1-279T,11,2015,FF2G61-61,,1_DANS_BDFOR
23-09-194-1-287T,09,2011,FF2G61-61,,1_DANS_BDFOR
23-09-209-1-282T,09,2011,FF1-00-00,,1_DANS_BDFOR
23-09-212-1-281T,09,2011,FF2G61-61,,1_DANS_BDFOR
23-31-188-1-289T,31,2013,FF2G61-61,,1_DANS_BDFOR
23-09-200-1-285T,09,2011,FF1-09-09,,1_DANS_BDFOR
23-65-164-1-297T,65,2006,FF2G61-61,,1_DANS_BDFOR
23-11-234-1-273T,11,2015,LA4,,1_DANS_BDFOR
23-09-207-1-282T,09,2011,FF1-00-00,,1_DANS_BDFOR
23-11-222-1-277T,11,2015,LA4,,4_HORS_BDFOR
23-09-213-1-280T,09,2011,FF1-09-09,,1_DANS_BDFOR
23-09-198-1-285T,09,2011,FF1-00-00,,1_DANS_BDFOR
23-11-232-1-273T,11,2015,FF1G06-06,,1_DANS_BDFOR
23-11-220-1-277T,11,2015,FF1G01-01,,1_DANS_BDFOR
23-09-214-1-279T,09,2011,FF1-00-00,,1_DANS_BDFOR
23-09-202-1-283T,09,2011,FF1-00-00,,1_DANS_BDFOR
23-09-208-1-281T,09,2011,FF1-00-00,,1_DANS_BDFOR
23-09-190-1-287T,09,2011,FF1-09-09,,1_DANS_BDFOR
23-31-184-1-289T,31,2013,FF1-09-09,,1_DANS_BDFOR
