"npp";"incref";"codesp";"libelle";"arbre";"couvert";"p1525";"flore"
"01575-19020-6-6T";2;"3407";"Populus tremula";1;1;"1";NA
"01585-11060-8-4T";2;"0005";"Acer campestre";1;1;"1";NA
"04587-18000-8-4T";4;"3799";"Salix viminalis";1;NA;NA;NA
"05587-14000-6-2T";2;"2316";"Juniperus thurifera";1;NA;NA;NA
"06597-10080-9-8T";2;"3281";"Pinus sylvestris";1;1;"1";NA
"06597-13000-9-4T";4;"3770";"Salix alba";1;NA;NA;NA
"06597-17000-9-2T";2;"3506";"Prunus mahaleb";1;NA;NA;NA
"07576-15000-9-2T";2;"2278";"Juglans regia";1;1;"1";NA
"10563-18040-4-0T";2;"0600";"Betula pendula";1;1;"1";NA
"11559-12060-0-0T";3;"3281";"Pinus sylvestris";1;1;"1";NA
"11559-13020-0-6T";2;"4222";"Sorbus torminalis";1;1;"1";NA
"12-52-229-1-091T";7;"3544";"Quercus pubescens";1;NA;NA;NA
"13-53-105-1-106T";8;"4793";"Pinus nigra subsp. nigra";1;NA;NA;NA
"14-30-268-1-216T";9;"1803";"Fraxinus excelsior";1;NA;NA;NA
"14-38-269-1-173T";9;"4222";"Sorbus torminalis";1;NA;NA;NA
"14-89-193-1-105T";9;"3546";"Quercus robur subsp. robur";1;NA;NA;NA
"15-83-303-1-216T";10;"0352";"Arbutus unedo";1;NA;NA;NA
"15-84-285-1-220T";10;"4790";"Cedrus brevifolia";1;NA;NA;NA
"16-64-156-1-277T";11;"3546";"Quercus robur subsp. robur";1;NA;NA;NA
"17-88-253-1-075T";12;"3256";"Picea abies subsp. abies";1;NA;NA;NA
"21-22-034-1-113T";16;"4898";"Peuplier ""Autre cultivé""";1;NA;NA;NA
"21-72-121-1-118T";16;"3549";"Quercus petraea subsp. petraea";1;1;"1";NA
"21573-12040-7-0T";2;"0005";"Acer campestre";1;1;"1";NA
"22-2B-351-1-222T";17;"1803";"Fraxinus excelsior";1;NA;NA;NA
"24547-14000-1-2T";2;"3551";"Quercus pyrenaica";1;1;"1";NA
"26576-17040-9-0T";2;"4214";"Sorbus aria";1;1;"1";NA
"26587-12060-1-0T";3;"0159";"Alnus incana";1;NA;NA;NA
"27541-12020-9-6T";2;"0954";"Castanea sativa";1;1;"1";NA
"27552-10000-1-2T";2;"4898";"Peuplier ""Autre cultivé""";1;1;"1";NA
"28542-15040-8-0T";2;"3549";"Quercus petraea subsp. petraea";1;1;"1";NA
"28542-18080-6-8T";2;"3499";"Prunus avium";1;1;"1";NA
"28553-10080-2-8T";2;"4562";"Ulmus minor subsp. minor";1;1;"1";NA
"2A500-19131-2-0T";6;"2316";"Juniperus thurifera";1;NA;NA;NA
"2A510-11111-4-6T";6;"2316";"Juniperus thurifera";1;NA;NA;NA
"30577-13020-5-6T";2;"2278";"Juglans regia";1;1;"1";NA
"34558-18020-3-2T";3;"3546";"Quercus robur subsp. robur";1;NA;NA;NA
"34568-10080-4-4T";3;"2316";"Juniperus thurifera";1;NA;NA;NA
"34568-16060-5-0T";3;"4808";"Pinus halepensis subsp. brutia";1;NA;NA;NA
"35522-16000-9-2T";2;"3546";"Quercus robur subsp. robur";1;1;"1";NA
"37544-10020-1-2T";3;"3540";"Quercus cerris";1;NA;NA;NA
"37544-10020-1-2T";3;"3546";"Quercus robur subsp. robur";1;NA;NA;NA
"38576-18040-5-2T";4;"4214";"Sorbus aria";1;NA;NA;NA
