"idp";"cd_ref";"campagne";"lib_ref"
609287;80759;2016;"Agrostis stolonifera"
609287;88819;2016;"Carex remota"
609287;91886;2016;"Clematis vitalba"
609287;92606;2016;"Corylus avellana"
609287;95567;2016;"Dryopteris filix-mas"
609287;99373;2016;"Galium aparine"
609287;100142;2016;"Geranium robertianum"
609287;100225;2016;"Geum urbanum"
609287;104160;2016;"Juncus conglomeratus"
609287;116936;2016;"Ranunculus auricomus"
609287;119585;2016;"Rumex sanguineus"
609287;119991;2016;"Salix cinerea"
609287;120717;2016;"Sambucus nigra"
609287;121471;2016;"Schedonorus giganteus"
609287;128268;2016;"Urtica dioica"
609287;133652;2016;"Dactylis glomerata subsp. glomerata"
609287;135306;2016;"Heracleum sphondylium subsp. sphondylium"
609287;138998;2016;"Poa nemoralis subsp. nemoralis"
609287;139596;2016;"Quercus robur var. robur"
609287;147897;2016;"Juncus bufonius var. bufonius"
609287;151786;2016;"Silene dioica var. dioica"
609287;197281;2016;"Rubus"
609287;198127;2016;"Symphytum"
609287;613128;2016;"Veronica chamaedrys var. chamaedrys"
609287;718362;2016;"Holcus lanatus subsp. lanatus"
609287;718424;2016;"Torilis japonica subsp. japonica"
629472;92606;2016;"Corylus avellana"
629472;92876;2016;"Crataegus monogyna"
629472;113260;2016;"Phragmites australis"
629472;119097;2016;"Rubus fruticosus"
629472;119977;2016;"Salix caprea"
629472;139596;2016;"Quercus robur var. robur"
629472;190355;2016;"Carex"
629472;609982;2016;"Euonymus europaeus"
636526;5922;2016;"Pseudoscleropodium purum"
636526;89653;2016;"Centaurea nigra"
636526;98921;2016;"Fraxinus excelsior"
636526;100787;2016;"Hedera helix"
636526;105966;2016;"Ligustrum vulgare"
636526;116142;2016;"Prunus spinosa"
636526;128175;2016;"Ulmus minor"
636526;132707;2016;"Carex flacca subsp. flacca"
636526;133652;2016;"Dactylis glomerata subsp. glomerata"
636526;139596;2016;"Quercus robur var. robur"
636526;140175;2016;"Rubia peregrina subsp. peregrina"
636526;187444;2016;"Poaceae"
636526;196579;2016;"Populus"
636526;613134;2016;"Hypericum perforatum var. perforatum"
660480;88833;2016;"Carex riparia"
660480;92353;2016;"Convolvulus sepium"
660480;98717;2016;"Filipendula ulmaria"
660480;98921;2016;"Fraxinus excelsior"
660480;99373;2016;"Galium aparine"
660480;103772;2016;"Iris pseudacorus"
660480;116142;2016;"Prunus spinosa"
660480;117860;2016;"Robinia pseudoacacia"
660480;119097;2016;"Rubus fruticosus"
660480;124168;2016;"Solidago gigantea"
660480;128171;2016;"Ulmus laevis"
660480;128268;2016;"Urtica dioica"
660480;133432;2016;"Cornus sanguinea subsp. sanguinea"
660480;134346;2016;"Eupatorium cannabinum subsp. cannabinum"
660480;139596;2016;"Quercus robur var. robur"
660480;198769;2016;"Typha"
660480;609982;2016;"Euonymus europaeus"
668018;79783;2016;"Acer pseudoplatanus"
668018;91289;2016;"Cirsium arvense"
668018;92606;2016;"Corylus avellana"
668018;116043;2016;"Prunus avium"
668018;117201;2016;"Ranunculus repens"
668018;119097;2016;"Rubus fruticosus"
668018;119977;2016;"Salix caprea"
668018;128268;2016;"Urtica dioica"
668018;134346;2016;"Eupatorium cannabinum subsp. cannabinum"
668018;140371;2016;"Rumex obtusifolius subsp. obtusifolius"
668018;187444;2016;"Poaceae"
668304;88318;2016;"Carex acutiformis"
668304;88819;2016;"Carex remota"
668304;96749;2016;"Erigeron canadensis"
668304;99494;2016;"Galium palustre"
668304;100310;2016;"Glechoma hederacea"
668304;103031;2016;"Humulus lupulus"
668304;108027;2016;"Mentha aquatica"
668304;113260;2016;"Phragmites australis"
668304;116142;2016;"Prunus spinosa"
668304;118073;2016;"Rosa canina"
668304;118993;2016;"Rubus caesius"
668304;119097;2016;"Rubus fruticosus"
668304;119915;2016;"Salix alba"
668304;128268;2016;"Urtica dioica"
668304;132549;2016;"Cardamine amara subsp. amara"
668304;133432;2016;"Cornus sanguinea subsp. sanguinea"
668304;137541;2016;"Lycopus europaeus var. europaeus"
668304;159536;2016;"Angelica sylvestris subsp. sylvestris"
668304;192232;2016;"Epilobium"
672483;92876;2016;"Crataegus monogyna"
672483;99373;2016;"Galium aparine"
672483;100787;2016;"Hedera helix"
672483;116751;2016;"Quercus pubescens"
672483;133652;2016;"Dactylis glomerata subsp. glomerata"
672483;187316;2016;"Geraniaceae"
672483;187444;2016;"Poaceae"
672483;198902;2016;"Vicia"
733083;79783;2017;"Acer pseudoplatanus"
733083;84112;2017;"Arum maculatum"
733083;86305;2017;"Brachypodium sylvaticum"
733083;92606;2017;"Corylus avellana"
733083;92876;2017;"Crataegus monogyna"
733083;98651;2017;"Ficaria verna"
733083;98717;2017;"Filipendula ulmaria"
733083;100787;2017;"Hedera helix"
733083;106595;2017;"Lonicera xylosteum"
733083;107795;2017;"Melampyrum pratense"
733083;116142;2017;"Prunus spinosa"
733083;118073;2017;"Rosa canina"
733083;119097;2017;"Rubus fruticosus"
733083;120717;2017;"Sambucus nigra"
733083;122028;2017;"Scrophularia nodosa"
733083;128924;2017;"Veronica montana"
733083;129087;2017;"Viburnum opulus"
733083;133787;2017;"Deschampsia cespitosa subsp. cespitosa"
733083;134348;2017;"Euphorbia amygdaloides subsp. amygdaloides"
733083;139364;2017;"Primula elatior subsp. elatior"
733083;159536;2017;"Angelica sylvestris subsp. sylvestris"
733083;187444;2017;"Poaceae"
733083;193623;2017;"Iris"
733083;609982;2017;"Euonymus europaeus"
733083;717630;2017;"Taraxacum officinale"
741288;86289;2017;"Brachypodium pinnatum"
741288;91886;2017;"Clematis vitalba"
741288;92876;2017;"Crataegus monogyna"
741288;98921;2017;"Fraxinus excelsior"
741288;100787;2017;"Hedera helix"
741288;105966;2017;"Ligustrum vulgare"
741288;116142;2017;"Prunus spinosa"
741288;117201;2017;"Ranunculus repens"
741288;119097;2017;"Rubus fruticosus"
741288;133432;2017;"Cornus sanguinea subsp. sanguinea"
741288;133652;2017;"Dactylis glomerata subsp. glomerata"
741288;133787;2017;"Deschampsia cespitosa subsp. cespitosa"
752463;84112;2017;"Arum maculatum"
752463;88766;2017;"Carex pendula"
752463;92876;2017;"Crataegus monogyna"
752463;98717;2017;"Filipendula ulmaria"
752463;98921;2017;"Fraxinus excelsior"
752463;99373;2017;"Galium aparine"
752463;103031;2017;"Humulus lupulus"
752463;116043;2017;"Prunus avium"
752463;116142;2017;"Prunus spinosa"
752463;117774;2017;"Ribes rubrum"
752463;118993;2017;"Rubus caesius"
752463;119097;2017;"Rubus fruticosus"
752463;119915;2017;"Salix alba"
752463;120717;2017;"Sambucus nigra"
752463;128268;2017;"Urtica dioica"
752463;133432;2017;"Cornus sanguinea subsp. sanguinea"
752463;139596;2017;"Quercus robur var. robur"
752463;788971;2017;"Equisetum telmateia subsp. telmateia"
769319;81569;2017;"Alnus glutinosa"
769319;88766;2017;"Carex pendula"
769319;119373;2017;"Rubus ulmifolius"
769319;139169;2017;"Populus nigra subsp. betulifolia"
769319;190093;2017;"Buddleja"
779572;85903;2017;"Betula pendula"
779572;89200;2017;"Carpinus betulus"
779572;91289;2017;"Cirsium arvense"
779572;92876;2017;"Crataegus monogyna"
779572;98921;2017;"Fraxinus excelsior"
779572;104160;2017;"Juncus conglomeratus"
779572;105044;2017;"Larix kaempferi"
779572;115110;2017;"Populus alba"
779572;116265;2017;"Pteridium aquilinum"
779572;119585;2017;"Rumex sanguineus"
779572;124814;2017;"Stachys sylvatica"
779572;132818;2017;"Carex sylvatica subsp. sylvatica"
779572;133646;2017;"Cytisus scoparius subsp. scoparius"
779572;139596;2017;"Quercus robur var. robur"
779572;197281;2017;"Rubus"
779572;717630;2017;"Taraxacum officinale"
