"campagne";"npp";"xl93";"yl93"
2006;"01575-F6080-7-2T";861627;6539401
2006;"04587-F5020-8-0T";943758;6330892
2006;"04588-F6080-0-2T";959551;6308778
2006;"05586-F6080-9-2T";960499;6418661
2006;"05587-F3080-2-2T";930272;6388950
2006;"06597-F3000-6-6T";1021794;6344203
2006;"07576-F5000-7-6T";842756;6435656
2006;"11558-F2000-7-6T";613177;6238197
2006;"11558-F3080-6-2T";629293;6254045
2006;"11558-F7060-6-8T";667319;6245335
2006;"11559-F8000-1-6T";670911;6197357
2006;"12557-F7040-3-4T";666446;6379205
2006;"12567-F0060-8-8T";697958;6324993
2006;"12568-F0020-1-0T";693777;6303051
2006;"13578-F9060-2-8T";887409;6283425
2006;"16545-F1080-8-2T";511868;6532356
2006;"19546-F8020-7-0T";575075;6443909
2006;"21573-F2000-6-6T";815425;6745635
2006;"24546-F1080-9-2T";510956;6422463
2006;"24547-F6020-1-0T";554762;6404116
2006;"25584-F9060-2-8T";990752;6682174
2006;"26576-F9080-7-2T";890742;6439242
2006;"28543-F7000-2-6T";565951;6787711
2006;"29502-F9060-5-8T";192775;6858722
2006;"2B519-F3041-5-4T";1223918;6154642
2006;"2B519-F4061-3-8T";1236044;6170517
2006;"32538-F9020-2-0T";483925;6294813
2006;"33536-F1060-8-8T";409093;6427300
2006;"33537-F5000-2-6T";442745;6389059
2006;"33537-F5020-0-0T";444957;6415016
2006;"38576-F9000-6-6T";882801;6445304
2006;"38586-F0040-5-4T";896890;6457172
2006;"38586-F2000-2-6T";913114;6485007
2006;"42575-F1020-9-0T";805526;6521896
2006;"43566-F6000-4-6T";753100;6466391
2006;"44524-F6080-3-2T";363233;6683459
2006;"48567-F3080-3-2T";730396;6380664
2006;"55572-F4060-4-8T";842413;6863327
2006;"57582-F2060-1-8T";922463;6891022
2006;"57582-F6040-5-4T";960280;6856317
2006;"57582-F8040-0-4T";980698;6906110
2006;"63555-F7060-5-8T";669922;6555016
2006;"63555-F8020-8-0T";675731;6532986
2006;"63556-F7040-1-4T";667453;6499085
2006;"63556-F7060-2-8T";669334;6485082
2006;"63565-F0020-8-0T";695713;6532817
2006;"65538-F6080-8-2T";459440;6233081
2006;"68593-F2040-9-4T";1019023;6715903
2006;"68593-F2060-3-8T";1021507;6771842
2006;"68593-F3060-2-8T";1031586;6781747
2006;"69575-F1020-8-0T";805611;6531886
2006;"71565-F9000-3-6T";784005;6576033
2006;"71574-F0040-6-4T";798604;6647850
2006;"73586-F5080-4-2T";950939;6468696
2006;"73586-F8080-2-2T";981083;6488418
2006;"74585-F5080-2-2T";951974;6588583
2006;"81558-F7040-1-4T";665774;6299291
2006;"84577-F8040-8-4T";875798;6327479
2006;"87546-F5020-0-0T";545686;6514091
2006;"89563-F0020-9-0T";697314;6722653
2006;"89563-F6000-7-6T";755387;6736152
2006;"91552-F3040-8-4T";630256;6829146
2006;"91552-F4040-9-4T";640165;6819070
2006;"94552-F6080-6-2T";664417;6850846
2007;"01585-10020-7-6T";895628;6534755
2007;"02561-11080-5-8T";715491;6954626
2007;"07576-12020-6-6T";814515;6445714
2007;"07576-12020-9-6T";814686;6416200
2007;"07577-12000-0-2T";812731;6409495
2007;"13588-12040-5-0T";915143;6261276
2007;"17536-16020-5-6T";455622;6458483
2007;"25584-17080-1-8T";972957;6692328
2007;"26577-14080-1-8T";840519;6394156
2007;"26577-15080-4-8T";850061;6364112
2007;"26577-18040-5-0T";876121;6361535
2007;"28543-16020-1-6T";557687;6797505
2007;"30567-17040-9-0T";765879;6322468
2007;"32538-17000-0-2T";462038;6313037
2007;"38586-10040-5-0T";896587;6461368
2007;"39574-18080-7-8T";882102;6633380
2007;"39574-19020-7-6T";886731;6635359
2007;"41554-13020-1-6T";626796;6697144
2007;"44523-17080-7-8T";374023;6737305
2007;"47547-10080-6-8T";500421;6346615
2007;"52573-15080-0-8T";854000;6803497
2007;"55572-17060-4-4T";872192;6867406
2007;"56513-16000-6-2T";255788;6754239
2007;"58564-13000-6-2T";724294;6650272
2007;"58564-19000-3-2T";784954;6679954
2007;"63565-15040-9-0T";747243;6522416
2007;"73585-17020-9-6T";965698;6514305
2007;"74585-13020-7-6T";925298;6534442
2007;"74585-13040-7-0T";927441;6541232
2007;"74585-15020-4-6T";946171;6564812
2007;"74585-16080-3-8T";961790;6572124
2007;"82547-14000-7-2T";532641;6342149
2007;"82548-16060-1-4T";557804;6300546
2007;"86534-18000-9-2T";472511;6623006
2007;"87545-16020-8-6T";556155;6527614
2007;"89564-17060-0-4T";770904;6708401
2008;"01585-11020-6-2T";905564;6548755
2008;"03565-15040-4-6T";748031;6566417
2008;"04588-14060-1-0T";937520;6301361
2008;"07577-11000-0-8T";802907;6404021
2008;"12567-13000-9-8T";721851;6314692
2008;"15556-14000-8-8T";632638;6425404
2008;"15556-19040-3-6T";687473;6476526
2008;"15566-12000-4-8T";713359;6464687
2008;"19556-13020-0-2T";625587;6511104
2008;"23555-16060-5-0T";660215;6563256
2008;"25584-14000-3-8T";935067;6672910
2008;"25584-16080-2-4T";963204;6686706
2008;"26577-17020-0-2T";864149;6409150
2008;"29502-19040-8-6T";190551;6831017
2008;"34568-12020-2-2T";713556;6290879
2008;"37544-10020-1-2T";497161;6702670
2008;"39585-11060-1-0T";910319;6601356
2008;"42576-10080-1-4T";801760;6497674
2008;"42576-13060-4-0T";828845;6471386
2008;"47547-11080-6-4T";510092;6350820
2008;"47547-13060-6-0T";528252;6354609
2008;"52573-18020-8-2T";877358;6729375
2008;"58564-17020-6-2T";766547;6650425
2008;"60561-10000-9-8T";696627;6914373
2008;"63555-18020-6-2T";675632;6551262
2008;"63556-18020-2-2T";675586;6491052
2008;"63565-10080-6-4T";701850;6548620
2008;"63565-13080-7-4T";731412;6538073
2008;"67592-12040-5-6T";1020407;6853789
2008;"69575-12040-9-6T";817750;6515454
2008;"71574-10000-7-8T";794881;6634256
2008;"72533-18020-8-2T";477826;6732491
2008;"74585-18080-5-4T";981921;6556123
2008;"80551-16080-3-4T";665813;6978888
2008;"81557-14020-9-2T";633662;6321964
2008;"82548-17060-0-0T";568386;6314449
2008;"83588-19060-6-0T";986617;6250861
2008;"84577-16060-5-0T";858144;6361814
2008;"89563-10080-3-4T";703551;6778620
2009;"01575-16080-5-0T";861410;6560944
2009;"01585-12020-6-8T";915164;6542558
2009;"02562-11060-0-6T";712932;6906138
