campagne;idp;dep;csa;utip;bois;tform;gest;dist;iti;pentexp;portance;asperite;pro_psg;u_ex_ap_uicn;expl;st_x;st_y;visite;passage
2018;1300015;73;1;X;1;2;2;1;1;1;1;1;4;0;2;920253.7048327156;6501930.675987123;1;1
2018;1300016;46;1;X;1;2;0;1;1;0;1;0;2;1;1;603636.9737132293;6394716.837538052;1;1
2018;1300025;6;1;X;1;2;0;NULL;0;4;NULL;NULL;4;2;3;1070662.4222877345;6334788.298884298;1;1
2018;1300030;4;1;X;1;2;1;3;2;4;NULL;NULL;2;0;3;995021.9129335389;6367412.0698451195;1;1
2018;1300038;23;1;X;1;2;2;NULL;0;0;1;0;2;0;0;579113.4282937776;6568765.191807194;1;1
2018;1300044;61;1;X;1;2;2;1;1;0;1;0;3;1;1;479370.0892652827;6831401.242608838;1;1
2018;1300045;63;1;X;1;2;2;3;1;2;1;0;2;1;3;750568.7761772941;6521363.321611525;1;1
2018;1300053;41;1;X;1;2;2;1;1;0;1;0;2;2;1;622113.4264312005;6692308.299928348;1;1
2018;1300066;88;1;X;1;2;2;NULL;0;0;1;0;4;0;0;950828.94557935;6803432.462040256;1;1
2018;1300079;12;1;X;1;2;0;NULL;0;3;1;0;2;2;3;647105.4394439759;6336409.84550841;1;1
2018;1300083;12;1;X;1;2;0;2;2;5;NULL;NULL;4;1;3;704925.0303349994;6321937.751519993;1;1
2018;1300101;2B;1;X;1;2;2;4;1;3;1;1;4;1;3;1189127.2893616352;6173925.960401318;1;1
2018;1300114;58;1;X;1;2;2;2;1;0;1;0;2;0;1;729907.4388206745;6677411.055409873;1;1
2018;1300116;40;1;X;1;2;2;NULL;0;0;2;0;2;3;0;339011.5904298919;6287014.33171759;1;1
2018;1300118;27;1;X;1;2;1;NULL;0;0;1;0;2;0;0;577934.2040427928;6906537.469106771;1;1
2018;1300126;61;1;X;1;2;0;2;1;1;1;0;2;0;2;487661.6856090652;6867310.21244033;1;1
2018;1300133;89;1;X;1;2;2;1;1;1;1;0;4;0;2;748180.5476222783;6711231.223948701;1;1
2018;1300151;77;1;X;1;2;2;NULL;0;0;1;0;3;3;0;671050.2230060918;6807817.126890072;1;1
2018;1300159;88;1;X;1;2;2;NULL;0;0;1;0;1;0;0;958684.9388689958;6787375.367597428;1;1
2018;1300165;52;1;X;1;2;2;NULL;0;0;1;0;1;0;0;860724.2696356984;6784220.511795263;1;1
2018;1300166;40;1;X;1;2;2;NULL;0;0;1;0;1;0;0;389349.32173888246;6334552.760133152;1;1
2018;1300171;34;1;X;1;2;0;NULL;0;1;1;0;2;0;1;722686.1213871299;6295814.441983202;1;1
2018;1300179;72;1;X;1;2;1;NULL;0;0;1;0;2;0;0;487166.18347504974;6807352.293498909;1;1
2018;1300190;26;1;X;1;2;2;1;1;2;1;0;2;0;3;851926.458765073;6456558.066200381;1;1
2018;1300196;22;1;X;1;2;1;1;1;0;1;0;2;0;1;283443.99456816463;6825010.859744339;1;1
2018;1300200;2A;1;X;1;2;0;NULL;0;2;1;2;4;1;3;1200375.4595192755;6089924.916078622;1;1
2018;1300209;87;1;X;1;2;1;2;1;1;1;0;1;0;2;576815.2778609957;6532814.827260658;1;1
2018;1300214;31;1;X;1;2;2;1;1;0;1;0;4;2;1;510191.32506443904;6209686.313132535;1;1
2018;1300221;40;1;X;1;2;2;2;1;0;1;0;1;0;1;383699.9586946217;6376557.212126033;1;1
2018;1300222;1;1;X;1;2;2;NULL;0;0;1;0;4;0;0;874742.9402615228;6554276.183604231;1;1
