"CAMPAGNE";"VISITE";"IDP"
2005;1;19
2005;1;23
2005;1;27
2005;1;41
2005;1;45
2005;1;47
2005;1;54
2005;1;65
2005;1;69
2005;1;83
2005;1;98
2005;1;101
2005;1;126
2005;1;127
2005;1;132
2005;1;147
2005;1;156
2005;1;162
2005;1;165
2005;1;168
2005;1;170
2005;1;172
2005;1;178
2005;1;179
2005;1;188
2005;1;190
2005;1;191
2005;1;201
2005;1;207
2005;1;209
2005;1;210
2005;1;214
2005;1;216
2005;1;233
2005;1;244
2005;1;252
2005;1;256
2005;1;257
2005;1;258
2005;1;259
2005;1;269
2005;1;271
2005;1;276
2005;1;283
2005;1;287
2005;1;293
2005;1;296
2005;1;297
2005;1;305
2005;1;321
2005;1;335
2005;1;340
2005;1;343
2005;1;344
2005;1;363
2005;1;373
2005;1;381
2005;1;385
2005;1;392
2005;1;405
2005;1;414
2005;1;425
2005;1;432
2005;1;440
2005;1;449
2005;1;456
2005;1;462
2005;1;484
2005;1;486
2005;1;492
2005;1;495
2005;1;498
2005;1;504
2005;1;507
2005;1;517
2005;1;524
2005;1;526
2005;1;534
2005;1;547
2005;1;548
2005;1;549
2005;1;554
2005;1;560
2005;1;572
2005;1;580
2005;1;586
2005;1;598
2005;1;605
2005;1;613
2005;1;617
2005;1;619
2005;1;628
2005;1;629
2005;1;637
2005;1;642
2005;1;652
2005;1;653
2005;1;659
2005;1;676
2005;1;677
2005;1;682
2005;1;694
2005;1;698
2005;1;700
2005;1;711
2005;1;715
2005;1;721
2005;1;756
2005;1;760
2005;1;769
2005;1;771
2005;1;780
2005;1;782
2005;1;790
2005;1;791
2005;1;810
2005;1;812
2005;1;819
2005;1;826
2005;1;828
2005;1;834
2005;1;836
2005;1;852
2005;1;854
2005;1;862
2005;1;875
2005;1;890
2005;1;894
2005;1;897
2005;1;905
2005;1;906
2005;1;909
2005;1;911
2005;1;921
2005;1;932
2005;1;933
2005;1;938
2005;1;940
2005;1;947
2005;1;959
2005;1;963
2005;1;985
2005;1;990
2005;1;999
2005;1;1000
2005;1;1002
2005;1;1005
2005;1;1011
2005;1;1012
2005;1;1030
2005;1;1033
2005;1;1040
2005;1;1055
2005;1;1059
2005;1;1061
2005;1;1067
2005;1;1076
2005;1;1085
2005;1;1087
2005;1;1096
2005;1;1103
2005;1;1109
2005;1;1113
2005;1;1118
2005;1;1129
2005;1;1130
2005;1;1131
2005;1;1132
2005;1;1135
2005;1;1147
2005;1;1150
2005;1;1181
2005;1;1190
2005;1;1191
2005;1;1199
2005;1;1202
2005;1;1203
2005;1;1210
2005;1;1223
2005;1;1233
2005;1;1236
2005;1;1269
2005;1;1271
2005;1;1274
2005;1;1283
2005;1;1288
2005;1;1312
2005;1;1315
2005;1;1318
2005;1;1321
2005;1;1325
2005;1;1327
2005;1;1338
2005;1;1344
2005;1;1353
2005;1;1356
2005;1;1364
2005;1;1372
2005;1;1384
2005;1;1390
2005;1;1398
2005;1;1407
2005;1;1414
2005;1;1415
2005;1;1416
2005;1;1419
2005;1;1422
2005;1;1428
2005;1;1432
2005;1;1433
2005;1;1437
2005;1;1441
2005;1;1442
