"","npp","ser_86","esspre","sver","vh","hm"
"1","20-18-170-1-132T","B70","02","5",20.8804043670174,15.7
"2","20-18-171-1-127T","B70","02","6",218.472238310089,25.7
"3","20-18-171-1-131T","B70","52","6",241.27779161754,36
"4","20-18-172-1-118T","B70","02","6",284.172061618342,20.9
"5","20-18-172-1-122T","B70","12","6",186.490342886925,24.7
"6","20-18-172-1-128T","B70","02","5",92.3268508109427,24.7
"7","20-18-173-1-121T","B70","12","6",144.044812673144,22.8
"8","20-18-173-1-123T","B70","53","6",83.4095886201146,16
"9","20-18-173-1-127T","B70","12","5",112.235967117378,19.7
"10","20-18-173-1-129T","B70","04","5",31.0178318312218,16.6
"11","20-18-173-1-131T","B70","03","5",480.414135406473,33.3
"12","20-18-174-1-120T","B70","52","6",142.723855067542,15
"13","20-18-174-1-124T","B70","12","6",138.146731551646,21.5
"14","20-18-174-1-132T","B70","03","5",130.281973517964,24.5
"15","20-18-175-1-121T","B70","02","5",61.9295485347972,20
"16","20-18-175-1-125T","B70","52","6",127.209834740195,24
"17","20-18-175-1-127T","B70","12","6",39.8555426355587,11
"18","20-18-175-1-129T","B70","12","6",150.583862605091,30.2
"19","20-18-176-1-122T","B70","52","6",163.258788113579,16.1
"20","20-18-176-1-124T","B70","52","6",303.235240693315,23
"21","20-18-176-1-126T","B70","10","6",168.526265943545,23.2
"22","20-18-176-1-130T","B70","52","6",191.380456862818,23
"23","20-18-176-1-132T","B70","53","6",69.9393187903821,19.8
"24","20-18-177-1-125T","B70","12","6",94.9900921594704,18.8
"25","20-41-155-1-123T","B70","52","6",266.618628351172,25
"26","20-41-155-1-125T","B70","03","5",211.538204095477,26.5
"27","20-41-155-1-129T","B70","13","5",208.239682743293,22.4
"28","20-41-155-1-131T","B70","52","6",23.7762302881877,18
"29","20-41-155-1-133T","B70","02","4",11.7178327889043,18.9
"30","20-41-156-1-120T","B70","02","5",38.8871725720545,19.7
"31","20-41-156-1-122T","B70","52","5",356.762223042703,23.9
"32","20-41-156-1-124T","B70","03","5",54.8415516550336,18.2
"33","20-41-156-1-128T","B70","25","5",70.465809901381,15
"34","20-41-156-1-130T","B70","02","6",106.855274809405,16.8
"35","20-41-156-1-132T","B70","11","5",41.3307473968406,14.8
"36","20-41-157-1-121T","B70","52","5",130.198691840734,29.7
"37","20-41-157-1-125T","B70","02","6",12.9152401381191,16.4
"38","20-41-157-1-129T","B70","02","5",96.0646356592841,21.4
"39","20-41-158-1-128T","B70","02","5",147.477691174177,23.2
"40","20-41-159-1-121T","B70","02","4",34.9932058605316,9.4
"41","20-41-159-1-125T","B70","53","6",249.374745365261,19.3
"42","20-41-160-1-122T","B70","51","5",544.637442420425,31.7
"43","20-41-161-1-125T","B70","17","5",503.897657104148,26
"44","20-41-161-1-127T","B70","02","5",201.486737215451,27.5
"45","20-41-161-1-129T","B70","53","5",210.891441221516,23
"46","20-41-161-1-131T","B70","02","6",109.574347668095,17.6
"47","20-41-162-1-120T","B70","02","6",261.394947429485,30.7
"48","20-41-162-1-128T","B70","53","6",133.474617961874,21.8
"49","20-41-163-1-119T","B70","12","6",115.192216940222,19.3
"50","20-41-163-1-121T","B70","52","6",182.844664060196,26.7
"51","20-41-163-1-123T","B70","52","5",167.887017095843,24.2
"52","20-41-163-1-127T","B70","02","5",285.074103317769,20.8
"53","20-41-163-1-133T","B70","51","5",742.979886563857,36.3
"54","20-41-164-1-122T","B70","02","5",186.239097409104,27.2
"55","20-41-164-1-126T","B70","02","6",17.3459929393245,22.3
"56","20-41-164-1-132T","B70","02","6",270.280494592208,21.6
"57","20-41-165-1-123T","B70","02","6",77.3395810059098,22
"58","20-41-165-1-125T","B70","02","5",33.7617963490718,17.7
"59","20-41-165-1-127T","B70","02","5",173.278563526067,29.5
"60","20-41-165-1-131T","B70","02","6",176.748752561322,20.1
"61","20-41-166-1-128T","B70","02","6",102.142578542848,24.5
"62","20-41-167-1-123T","B70","02","6",211.318494662047,28.1
"63","20-41-167-1-125T","B70","02","5",94.4488757647587,26.7
"64","20-41-167-1-127T","B70","02","6",86.446174969734,22.2
"65","20-41-167-1-129T","B70","52","5",298.570287920196,22.7
"66","20-41-167-1-131T","B70","02","6",319.595043883268,26.5
"67","20-41-168-1-118T","B70","02","4",2.72487623169344,7.1
"68","20-41-168-1-122T","B70","10","6",174.317520506646,17
"69","20-41-168-1-126T","B70","02","5",0.826556139327356,7.1
"70","20-41-168-1-128T","B70","52","5",257.682636315508,23.8
"71","20-41-168-1-130T","B70","02","5",144.873728160425,15.5
"72","20-41-169-1-117T","B70","02","4",11.4435965383213,13.3
"73","20-41-169-1-119T","B70","03","6",336.02831089302,26.3
"74","20-41-169-1-121T","B70","02","5",255.797969890968,25.3
"75","20-41-169-1-123T","B70","10","4",132.954253664484,31.4
"76","20-41-169-1-125T","B70","02","5",48.4089587984321,18.1
"77","20-41-169-1-127T","B70","24","6",156.435274504499,23.7
"78","20-41-169-1-129T","B70","52","5",253.077685711509,27.4
"79","20-41-169-1-131T","B70","02","5",144.596741440418,21.6
"80","20-41-170-1-124T","B70","02","6",144.151785871555,22.1
"81","20-41-170-1-128T","B70","53","5",275.200289248951,22.8
"82","20-41-171-1-123T","B70","52","6",178.756360732074,21.6
"83","20-41-171-1-125T","B70","52","6",278.561886259487,30
"84","20-41-171-1-129T","B70","52","3",4.52098226590276,5.1
"85","20-41-172-1-124T","B70","02","5",153.088476908529,20.5
"86","20-41-173-1-125T","B70","53","6",251.652830049257,25.9
"87","20-45-156-1-112T","B70","02","5",171.955291711089,23.3
"88","20-45-157-1-113T","B70","03","5",308.419578976788,27.8
"89","20-45-159-1-107T","B70","03","5",178.239982675665,30
