"","npp","ser_86","esspre","sver","vh","hm"
"1","20-54-264-1-052T","D11","61","6",301.85640661823,27.8
"2","20-54-264-1-054T","D11","61","6",436.981660844597,31.5
"3","20-54-265-1-049T","D11","61","4",338.13488536676,29.6
"4","20-54-265-1-053T","D11","61","5",193.663136382919,31.3
"5","20-54-266-1-048T","D11","64","6",676.266082365847,31.1
"6","20-54-267-1-049T","D11","61","5",524.046537610399,31.3
"7","20-57-265-1-047T","D11","12","6",135.831604094521,22.1
"8","20-57-267-1-031T","D11","62","6",692.009286216061,35.1
"9","20-57-267-1-033T","D11","09","6",337.436769253857,32.6
"10","20-57-267-1-047T","D11","62","6",65.7315085854272,11.7
"11","20-57-268-1-026T","D11","29","4",8.66029952870278,7.8
"12","20-57-268-1-028T","D11","52","5",224.625559153873,29.4
"13","20-57-268-1-030T","D11","09","5",371.101599767924,38.6
"14","20-57-268-1-042T","D11","64","6",220.473457416974,32.7
"15","20-57-268-1-044T","D11","09","6",230.268413025968,25.8
"16","20-57-268-1-046T","D11","52","4",91.6230594620144,17.6
"17","20-57-268-1-048T","D11","61","6",589.064934468468,38.6
"18","20-57-269-1-027T","D11","03","4",71.1445572018521,31.1
"19","20-57-269-1-029T","D11","03","6",209.688665644814,34.7
"20","20-57-269-1-031T","D11","09","6",155.493639326068,24.5
"21","20-57-269-1-041T","D11","09","6",222.395260382577,19.7
"22","20-57-269-1-043T","D11","61","6",509.135367291895,32.5
"23","20-57-269-1-045T","D11","09","4",53.7846587056601,23.2
"24","20-57-269-1-047T","D11","61","5",449.516096617592,34.3
"25","20-57-270-1-028T","D11","52","6",467.02848171174,26.1
"26","20-57-271-1-027T","D11","52","6",313.11257619758,23
"27","20-57-271-1-029T","D11","03","6",317.832203736504,30.4
"28","20-57-271-1-031T","D11","09","6",151.040386965537,19.5
"29","20-57-272-1-028T","D11","19","5",292.807833222491,32.2
"30","20-67-268-1-034T","D11","52","5",316.715282181768,32.3
"31","20-67-269-1-033T","D11","52","6",330.130450771089,34.5
"32","20-67-269-1-037T","D11","52","4",49.3125421968004,11.8
"33","20-67-269-1-051T","D11","62","6",370.815625505368,27.8
"34","20-67-270-1-032T","D11","04","6",202.972533300056,27.3
"35","20-67-270-1-036T","D11","52","6",126.186385983173,17.1
"36","20-67-270-1-040T","D11","09","4",53.3157897632635,22.3
"37","20-67-270-1-048T","D11","09","6",288.954438911858,31.2
"38","20-67-271-1-033T","D11","52","6",148.942574438659,16.7
"39","20-67-271-1-043T","D11","09","5",196.422256456972,28.2
"40","20-67-271-1-045T","D11","61","4",422.524130535784,36
"41","20-67-271-1-047T","D11","62","6",350.254302245999,26.7
"42","20-67-271-1-051T","D11","09","5",427.623170216573,33.4
"43","20-67-271-1-053T","D11","12","4",84.3827934700854,17.5
"44","20-67-272-1-044T","D11","64","6",532.863509411452,32.6
"45","20-67-272-1-046T","D11","61","6",207.327459802126,18.1
