"","npp","ser_86","esspre","sver","vh","hm"
"1","20-33-118-1-218T","F21","51","6",57.5160043202257,21.3
"2","20-33-118-1-220T","F21","12","4",21.0920014557997,7.9
"3","20-33-120-1-218T","F21","51","2",56.4339346628041,9.9
"4","20-33-120-1-222T","F21","51","6",176.462705325662,15.1
"5","20-33-122-1-220T","F21","02","5",260.359982795285,23.6
"6","20-33-122-1-222T","F21","02",NA,7.71553639380859,6.4
"7","20-33-122-1-226T","F21","51","6",117.755919193046,18.3
"8","20-33-122-1-230T","F21","51","2",39.5557159426679,9.1
"9","20-33-122-1-232T","F21","51","6",109.285475149646,21.1
"10","20-33-122-1-234T","F21","51","6",351.805059089313,25.1
"11","20-33-124-1-220T","F21","14","5",140.205006316905,24.7
"12","20-33-124-1-226T","F21","51","6",86.3923587637637,15.8
"13","20-33-124-1-228T","F21","51","6",288.26282181084,19.3
"14","20-33-124-1-236T","F21","02",NA,3.70463808596922,4.8
"15","20-33-126-1-224T","F21","51","2",36.1425879811793,7.5
"16","20-33-126-1-226T","F21","02","6",204.538792304264,16.6
"17","20-33-126-1-228T","F21","02","4",39.8329439017514,12.3
"18","20-33-126-1-234T","F21","51","2",101.962667309366,10.3
"19","20-33-126-1-238T","F21","51","6",199.820836952926,21.3
"20","20-33-126-1-244T","F21","02","2",13.2624433579222,15.8
"21","20-33-128-1-230T","F21","51","6",117.362373730928,15.8
"22","20-33-128-1-238T","F21","51","6",272.566103954394,20.4
"23","20-33-128-1-240T","F21","51","6",95.7123755731044,10.8
"24","20-33-128-1-242T","F21","02",NA,26.2331930274001,19.4
"25","20-33-130-1-230T","F21","02","6",91.4228455018008,15.1
"26","20-33-130-1-232T","F21","07","4",146.144284030835,21.2
"27","20-33-130-1-238T","F21","51","6",139.35069642794,15.1
"28","20-33-130-1-242T","F21","02",NA,9.36454743480014,8.2
"29","20-33-130-1-244T","F21","51","6",62.7936133541261,13.3
"30","20-33-132-1-228T","F21","02","5",242.490516069815,25
"31","20-33-132-1-242T","F21","24","6",37.2517491684635,15.8
"32","20-33-132-1-244T","F21","51","2",11.4256248573821,6.4
"33","20-33-132-1-246T","F21","51","2",49.5718868692339,8.2
"34","20-33-134-1-242T","F21","51","4",45.2199676164468,17.5
"35","20-33-136-1-238T","F21","51","6",105.431263510556,10.9
"36","20-33-136-1-240T","F21","02",NA,23.5616834214417,17.5
"37","20-33-136-1-242T","F21","51","4",276.95251986224,28
"38","20-33-138-1-236T","F21","51","5",230.065165795356,21.8
"39","20-33-138-1-238T","F21","02","5",168.379807378441,24.6
"40","20-33-140-1-238T","F21","02","4",39.9736500073626,10.9
"41","20-33-140-1-242T","F21","51","6",94.4506501969763,19.7
"42","20-33-140-1-244T","F21","51","2",117.106649244222,10.1
"43","20-33-140-1-246T","F21","51","6",109.769025737485,13.3
"44","20-33-142-1-242T","F21","51","6",143.540175510345,17.2
"45","20-33-142-1-244T","F21","51","5",193.901399831869,20.5
"46","20-33-144-1-248T","F21","51","4",19.0424909818946,17.3
"47","20-33-146-1-244T","F21","02","6",33.3453320111555,18.4
"48","20-33-146-1-248T","F21","51","6",129.982308852194,16
"49","20-33-146-1-250T","F21","51","6",204.80619568705,17.5
"50","20-33-148-1-250T","F21","51","6",216.20855958089,21.6
"51","20-33-150-1-244T","F21","77","6",169.448995760529,16.6
"52","20-33-150-1-246T","F21","51","2",13.1376687325314,9.2
"53","20-33-150-1-248T","F21","51","6",359.091574813625,27.4
"54","20-33-152-1-246T","F21","51","6",454.069244630211,28.4
"55","20-33-152-1-248T","F21","51","5",284.233484473286,22.9
"56","20-40-126-1-248T","F21","51","6",150.276385621752,16.6
"57","20-40-126-1-250T","F21","51","4",11.2826713132999,13.9
"58","20-40-126-1-262T","F21","51","2",70.406389055825,10.4
"59","20-40-126-1-266T","F21","51","6",81.8476872884423,11.8
"60","20-40-127-1-277T","F21","51","6",199.352313564462,26.5
"61","20-40-128-1-250T","F21","51","2",40.1444120978999,7.4
"62","20-40-128-1-258T","F21","51","6",194.774624844978,29.1
"63","20-40-128-1-266T","F21","51","6",197.677098666221,18
"64","20-40-128-1-274T","F21","51","6",221.482107052679,21.5
"65","20-40-128-1-276T","F21","02","5",51.7081109780417,17.2
"66","20-40-130-1-250T","F21","51","6",82.0438225399175,15.7
"67","20-40-130-1-252T","F21","02","5",261.560525452274,24.1
"68","20-40-130-1-256T","F21","51","6",65.7464133421861,12.8
"69","20-40-130-1-258T","F21","51","6",128.206188063744,16.3
"70","20-40-130-1-262T","F21","51","6",453.122695802442,25.3
"71","20-40-130-1-266T","F21","51","6",90.3625632259668,18.1
"72","20-40-130-1-268T","F21","51","6",114.175110000125,16.6
"73","20-40-130-1-274T","F21","51","6",175.205800863199,23
"74","20-40-132-1-262T","F21","51","6",27.825107819863,10.8
"75","20-40-132-1-266T","F21","51","2",1.15288429375935,5
"76","20-40-132-1-268T","F21","51","5",367.671032054545,25.8
"77","20-40-132-1-274T","F21","51","6",8.52097674725151,16.4
"78","20-40-134-1-248T","F21","51","5",331.686980651403,25.2
"79","20-40-134-1-250T","F21","51","4",84.5944155444911,17.6
"80","20-40-134-1-252T","F21","51","6",74.0927475584244,16.7
"81","20-40-134-1-256T","F21","51","6",158.173647387453,18.1
"82","20-40-134-1-264T","F21","51","2",9.70654311188729,5.6
"83","20-40-134-1-268T","F21","51","2",38.9910837955454,6.8
"84","20-40-134-1-272T","F21","51","5",212.360893767653,14.7
"85","20-40-136-1-246T","F21","51","2",9.98916702766289,5.8
"86","20-40-136-1-248T","F21","51","2",1.40953286495165,6.2
"87","20-40-136-1-258T","F21","51","2",37.895830805096,8.7
"88","20-40-136-1-262T","F21","02","4",92.7915285290007,21.8
"89","20-40-136-1-270T","F21","51","2",5.87997039648598,6.1
"90","20-40-138-1-254T","F21","51",NA,37.7837668591565,15.8
"91","20-40-138-1-260T","F21","51","2",10.1042876643306,8.5
"92","20-40-138-1-262T","F21","02","2",5.65861834965772,8.5
"93","20-40-138-1-264T","F21","02","5",114.855552016862,13.8
"94","20-40-138-1-266T","F21","51","5",163.512237341597,16.1
"95","20-40-140-1-262T","F21","51","6",235.596403814492,15.8
"96","20-40-142-1-250T","F21","51","6",105.34250019445,19
"97","20-40-142-1-252T","F21","51","6",267.139386753743,19.4
"98","20-40-142-1-256T","F21","51","2",9.53496294804071,5.3
"99","20-40-142-1-258T","F21","51","2",32.6956526445045,9.5
