"id_ech";"id_point";"npp";"nph";"echelon_init";"dir";"type_point";"geom"
115;915188;"19-29-014-1-133R";"190141133";"02";DIRNO;nouveau;POINT (160683.05585672462 6841267.555098812)
115;915326;"19-29-025-1-151R";"190251151";"02";DIRNO;nouveau;POINT (175212.77124297118 6776246.058454117)
115;915470;"19-29-023-1-130R";"190231130";"02";DIRNO;nouveau;POINT (190597.20372829237 6841195.5566586135)
115;915513;"19-29-032-1-152R";"190321152";"02";DIRNO;nouveau;POINT (194747.9723413103 6766184.315528553)
115;915603;"19-29-027-1-129R";"190271129";"02";DIRNO;nouveau;POINT (203912.60319310683 6839831.292239898)
115;916309;"19-22-047-1-134R";"190471134";"02";DIRNO;nouveau;POINT (258557.8709623228 6806073.246419578)
115;916418;"19-22-046-1-123R";"190461123";"02";DIRNO;nouveau;POINT (266788.686523134 6839663.555896847)
115;916706;"19-56-064-1-153R";"190641153";"02";DIRNO;nouveau;POINT (289516.0932269885 6730279.12229647)
115;916793;"19-56-065-1-150R";"190651150";"02";DIRNO;nouveau;POINT (295408.89487452735 6739849.219058927)
115;917247;"19-35-069-1-136R";"190691136";"02";DIRNO;nouveau;POINT (321989.9823544577 6775990.1663343925)
115;917658;"19-44-081-1-155R";"190811155";"02";DIRNO;nouveau;POINT (338159.18192969175 6708271.148781567)
115;917953;"19-35-076-1-130R";"190761130";"02";DIRNO;nouveau;POINT (348640.8133077548 6786990.100937084)
115;918044;"19-40-125-1-275R";"191251275";"01";DIRSO;nouveau;POINT (346970.40458302916 6303166.342981521)
115;918219;"19-64-131-1-288R";"191311288";"01";DIRSO;nouveau;POINT (351334.0262960923 6259465.724919257)
115;918583;"19-85-100-1-187R";"191001187";"02";DIRNO;nouveau;POINT (362400.68927920755 6591837.369409419)
115;918629;"19-85-094-1-168R";"190941168";"02";DIRNO;nouveau;POINT (363769.15086007357 6656415.213458869)
115;918823;"19-17-106-1-201R";"191061201";"01";DIRSO;nouveau;POINT (366384.2629973392 6543662.307262519)
115;918904;"19-64-138-1-295R";"191381295";"01";DIRSO;nouveau;POINT (365276.774012123 6231497.553170176)
115;919593;"19-44-090-1-140R";"190901140";"02";DIRNO;nouveau;POINT (380372.94649462885 6742425.261136062)
115;919622;"19-17-111-1-203R";"191111203";"01";DIRSO;nouveau;POINT (379005.4701523991 6534271.001971487)
115;919894;"19-40-129-1-253R";"191291253";"01";DIRSO;nouveau;POINT (381458.2076102984 6364989.997871259)
